Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Cook,BUF,11,78,2,5,23,2.1,55,5.0,1,11.0
Ray Davis,BUF,9,29,0,2,10,1.1,19,2.1,0,
Josh Allen,BUF,2,2,0,0,2,1.0,0,0.0,0,
Mitchell Trubisky,BUF,2,-2,0,,-2,-1.0,0,0.0,0,
Ty Johnson,BUF,1,-1,0,0,-1,-1.0,0,0.0,0,
Khalil Shakir,BUF,1,2,0,0,1,1.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
De'Von Achane,MIA,22,96,0,4,50,2.3,46,2.1,1,22.0
Jaylen Wright,MIA,5,4,0,,-4,-0.8,8,1.6,0,
Alec Ingold,MIA,2,2,0,1,0,0.0,2,1.0,0,
Tua Tagovailoa,MIA,2,17,0,2,17,8.5,0,0.0,0,
Tyreek Hill,MIA,1,12,0,1,10,10.0,2,2.0,0,
Skylar Thompson,MIA,1,4,0,0,4,4.0,0,0.0,0,
Jaylen Waddle,MIA,1,4,0,0,3,3.0,1,1.0,0,
