Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,29,155,0,7,51,1.8,104,3.6,3,9.7
Taysom Hill,NOR,5,19,1,3,6,1.2,13,2.6,0,
Jordan Mims,NOR,5,13,0,0,4,0.8,9,1.8,0,
Matthew Hayball,NOR,1,11,0,1,11,11.0,0,0.0,0,
Jermaine Jackson,NOR,1,-1,0,,-1,-1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Chuba Hubbard,CAR,15,72,2,3,17,1.1,55,3.7,4,3.8
Bryce Young,CAR,4,9,0,1,4,1.0,5,1.3,1,4.0
Miles Sanders,CAR,2,-5,0,,-5,-2.5,0,0.0,0,
Xavier Legette,CAR,1,6,0,1,6,6.0,0,0.0,0,
Deven Thompkins,CAR,1,-2,0,,-2,-2.0,0,0.0,0,
