Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alexander Mattison,LVR,5,19,0,1,7,1.4,12,2.4,0,
Zamir White,LVR,5,9,0,,3,0.6,6,1.2,0,
Gardner Minshew II,LVR,2,7,0,1,7,3.5,0,0.0,0,
Ameer Abdullah,LVR,1,1,0,0,0,0.0,1,1.0,0,
Brock Bowers,LVR,1,-3,0,0,-3,-3.0,0,0.0,0,
Jakobi Meyers,LVR,1,20,0,1,9,9.0,11,11.0,0,
Tre Tucker,LVR,1,7,0,0,5,5.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
De'Von Achane,MIA,17,73,1,4,21,1.2,52,3.1,0,
Jaylen Wright,MIA,5,4,0,,-1,-0.2,5,1.0,0,
Raheem Mostert,MIA,3,-2,0,,-3,-1.0,1,0.3,0,
Malik Washington,MIA,1,7,0,,0,0.0,7,7.0,0,
