Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,10,67,0,3,34,3.4,33,3.3,2,5.0
Taysom Hill,NOR,4,20,0,,12,3.0,8,2.0,0,
Kendre Miller,NOR,3,16,0,1,3,1.0,13,4.3,1,3.0
Jake Haener,NOR,2,10,0,0,10,5.0,0,0.0,0,
Jamaal Williams,NOR,2,4,0,,2,1.0,2,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
J.K. Dobbins,LAC,17,57,1,5,24,1.4,33,1.9,4,4.3
Kimani Vidal,LAC,6,16,0,,13,2.2,3,0.5,0,
Justin Herbert,LAC,4,49,0,1,46,11.5,3,0.8,0,
Hassan Haskins,LAC,1,0,0,,0,0.0,0,0.0,0,
JK Scott,LAC,1,0,0,,0,0.0,0,0.0,0,
