Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Rico Dowdle,DAL,19,86,0,3,53,2.8,33,1.7,0,
Cooper Rush,DAL,4,1,0,0,1,0.3,0,0.0,0,
Ezekiel Elliott,DAL,3,6,0,,3,1.0,3,1.0,0,
CeeDee Lamb,DAL,1,1,0,0,1,1.0,0,0.0,0,
Trey Lance,DAL,1,-3,0,,-3,-3.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Austin Ekeler,WAS,9,22,0,1,17,1.9,5,0.6,0,
Jayden Daniels,WAS,7,74,1,4,71,10.1,3,0.4,0,
Brian Robinson Jr.,WAS,5,13,0,1,4,0.8,9,1.8,0,
Jeremy McNichols,WAS,3,22,0,1,18,6.0,4,1.3,0,
Dyami Brown,WAS,1,14,0,1,12,12.0,2,2.0,0,
