Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ameer Abdullah,LVR,20,115,0,5,60,3.0,55,2.8,4,5.0
Alexander Mattison,LVR,10,32,0,1,15,1.5,17,1.7,0,
Chris Collier,LVR,3,6,0,,3,1.0,3,1.0,0,
Aidan O'Connell,LVR,3,-1,0,1,-2,-0.7,1,0.3,0,
Brock Bowers,LVR,1,-1,0,0,-1,-1.0,0,0.0,0,
Tre Tucker,LVR,1,5,0,0,4,4.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Clyde Edwards-Helaire,NOR,5,20,0,1,11,2.2,9,1.8,2,2.5
Kendre Miller,NOR,3,3,0,0,2,0.7,1,0.3,0,
Spencer Rattler,NOR,3,46,0,3,43,14.3,3,1.0,0,
Jamaal Williams,NOR,2,12,0,0,9,4.5,3,1.5,0,
