Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Bijan Robinson,ATL,13,63,0,3,43,3.3,20,1.5,0,
Tyler Allgeier,ATL,12,33,0,3,14,1.2,19,1.6,1,12.0
Kirk Cousins,ATL,3,16,0,1,12,4.0,4,1.3,0,
Ray-Ray McCloud,ATL,1,17,0,1,12,12.0,5,5.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Bucky Irving,TAM,9,44,0,4,25,2.8,19,2.1,2,4.5
Rachaad White,TAM,6,29,0,1,16,2.7,13,2.2,0,
Baker Mayfield,TAM,3,11,0,2,6,2.0,5,1.7,0,
Sean Tucker,TAM,2,3,0,0,2,1.0,1,0.5,0,
Jalen McMillan,TAM,1,17,0,1,6,6.0,11,11.0,1,1.0
Tavierre Thomas,TAM,1,-2,0,,-2,-2.0,0,0.0,0,
