Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
De'Von Achane,MIA,11,121,1,4,52,4.7,69,6.3,1,11.0
Jaylen Wright,MIA,6,-4,0,1,-9,-1.5,5,0.8,0,
Tyler Huntley,MIA,3,16,0,1,14,4.7,2,0.7,0,
Jeff Wilson,MIA,2,-4,0,,-4,-2.0,0,0.0,0,
Jaylen Waddle,MIA,1,6,0,1,6,6.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Breece Hall,NYJ,12,57,0,3,29,2.4,28,2.3,0,
Braelon Allen,NYJ,4,15,0,2,6,1.5,9,2.3,0,
Isaiah Davis,NYJ,4,41,0,1,13,3.3,28,7.0,0,
Xavier Gipson,NYJ,1,5,0,1,0,0.0,5,5.0,1,1.0
Garrett Wilson,NYJ,1,0,0,0,0,0.0,0,0.0,0,
