Player,Pos,Num,Pct,Num,Pct,Num,Pct
Daniel Faalele,T,59,100%,0,0%,5,24%
Roger Rosengarten,T,59,100%,0,0%,1,5%
Patrick Mekari,G,49,83%,0,0%,5,24%
Ronnie Stanley,T,49,83%,0,0%,3,14%
Tyler Linderbaum,C,49,83%,0,0%,0,0%
Lamar Jackson,QB,49,83%,0,0%,0,0%
Zay Flowers,WR,48,81%,0,0%,0,0%
Rashod Bateman,WR,45,76%,0,0%,0,0%
Isaiah Likely,TE,39,66%,0,0%,0,0%
Mark Andrews,TE,39,66%,0,0%,0,0%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Derrick Henry,RB,27,46%,0,0%,0,0%
Justice Hill,RB,22,37%,0,0%,3,14%
Patrick Ricard,FB,21,36%,0,0%,0,0%
Nelson Agholor,WR,17,29%,0,0%,0,0%
Tylan Wallace,WR,14,24%,0,0%,11,52%
Devontez Walker,WR,11,19%,0,0%,15,71%
Ben Cleveland,G,11,19%,0,0%,5,24%
Josh Jones,G,11,19%,0,0%,5,24%
Rasheen Ali,RB,10,17%,0,0%,7,33%
Andrew Vorhees,G,10,17%,0,0%,5,24%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Josh Johnson,QB,10,17%,0,0%,0,0%
Ar'Darius Washington,FS,0,0%,68,100%,2,10%
Brandon Stephens,FS,0,0%,64,94%,1,5%
Nate Wiggins,CB,0,0%,61,90%,11,52%
Malik Harrison,LB,0,0%,54,79%,16,76%
Roquan Smith,LB,0,0%,52,76%,0,0%
Marlon Humphrey,CB,0,0%,52,76%,0,0%
Kyle Hamilton,SS,0,0%,50,74%,2,10%
Nnamdi Madubuike,DT,0,0%,41,60%,0,0%
Kyle Van Noy,LB,0,0%,39,57%,0,0%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Tavius Robinson,LB,0,0%,38,56%,7,33%
Travis Jones,DT,0,0%,36,53%,7,33%
Odafe Oweh,LB,0,0%,32,47%,0,0%
Chris Board,LB,0,0%,29,43%,16,76%
Broderick Washington Jr.,DE,0,0%,29,43%,3,14%
Tre'Davious White,CB,0,0%,24,35%,0,0%
Michael Pierce,NT,0,0%,23,34%,0,0%
David Ojabo,LB,0,0%,19,28%,0,0%
Brent Urban,DE,0,0%,16,24%,5,24%
Desmond King,CB,0,0%,15,22%,12,57%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Trenton Simpson,LB,0,0%,5,7%,14,67%
Kristian Welch,LB,0,0%,1,1%,16,76%
Beau Brade,FS,0,0%,0,0%,16,76%
William Kwenkeu,LB,0,0%,0,0%,13,62%
Justin Tucker,K,0,0%,0,0%,9,43%
Jordan Stout,P,0,0%,0,0%,9,43%
Nick Moore,LS,0,0%,0,0%,7,33%
