Player,Pos,Num,Pct,Num,Pct,Num,Pct
Jake Kubas,G,59,100%,0,0%,1,4%
Greg Van Roten,G,59,100%,0,0%,1,4%
Evan Neal,T,59,100%,0,0%,1,4%
Jermaine Eluemunor,T,59,100%,0,0%,1,4%
Drew Lock,QB,59,100%,0,0%,0,0%
John Michael Schmitz,C,59,100%,0,0%,0,0%
Wan'Dale Robinson,WR,55,93%,0,0%,0,0%
Malik Nabers,WR,53,90%,0,0%,0,0%
Darius Slayton,WR,50,85%,0,0%,0,0%
Daniel Bellinger,TE,39,66%,0,0%,13,54%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Tyrone Tracy Jr.,RB,37,63%,0,0%,0,0%
Chris Manhertz,TE,16,27%,0,0%,13,54%
Devin Singletary,RB,13,22%,0,0%,0,0%
Jalin Hyatt,WR,12,20%,0,0%,0,0%
Eric Gray,RB,9,15%,0,0%,9,38%
Greg Dulcich,TE,8,14%,0,0%,7,29%
Joshua Ezeudu,G,2,3%,0,0%,1,4%
Ihmir Smith-Marsette,WR,1,2%,0,0%,9,38%
Darius Muasau,LB,0,0%,66,99%,14,58%
Andru Phillips,CB,0,0%,65,97%,0,0%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Dane Belton,SS,0,0%,60,90%,14,58%
Jason Pinnock,SS,0,0%,55,82%,0,0%
Adoree' Jackson,CB,0,0%,52,78%,0,0%
Brian Burns,LB,0,0%,44,66%,0,0%
Kayvon Thibodeaux,LB,0,0%,44,66%,0,0%
Deonte Banks,CB,0,0%,41,61%,0,0%
Cordale Flott,CB,0,0%,41,61%,0,0%
Rakeem Nunez-Roches,NT,0,0%,34,51%,0,0%
Elijah Chatman,DT,0,0%,32,48%,7,29%
Jordon Riley,NT,0,0%,31,46%,7,29%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Micah McFadden,LB,0,0%,30,45%,0,0%
Ty Summers,LB,0,0%,29,43%,22,92%
Tomon Fox,LB,0,0%,24,36%,23,96%
Cory Durden,DT,0,0%,24,36%,7,29%
Raheem Layne,SS,0,0%,22,33%,5,21%
Boogie Basham,LB,0,0%,22,33%,2,8%
Elijah Garcia,DE,0,0%,21,31%,7,29%
Bryce Ford-Wheaton,WR,0,0%,0,0%,23,96%
Art Green,CB,0,0%,0,0%,23,96%
Matthew Adams,LB,0,0%,0,0%,23,96%
,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Anthony Johnson,FS,0,0%,0,0%,11,46%
Jamie Gillan,P,0,0%,0,0%,6,25%
Casey Kreiter,LS,0,0%,0,0%,6,25%
Isaiah Simmons,LB,0,0%,0,0%,4,17%
Graham Gano,K,0,0%,0,0%,3,13%
Tyre Phillips,T,0,0%,0,0%,1,4%
