Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brian Thomas,JAX,13,9,132,1,4,76,8.4,56,6.2,10.8,0,,0,0.0,0,127.7
Parker Washington,JAX,6,6,54,0,2,41,6.8,13,2.2,6.8,0,,0,0.0,0,104.2
Brenton Strange,JAX,4,2,22,0,1,9,4.5,13,6.5,4.3,0,,0,0.0,0,66.7
Travis Etienne,JAX,3,2,15,0,1,1,0.5,14,7.0,0.3,0,,0,0.0,0,78.5
Luke Farrell,JAX,3,2,8,0,1,7,3.5,1,0.5,3.0,0,,0,0.0,0,70.1
Tank Bigsby,JAX,1,1,1,0,0,-1,-1.0,2,2.0,-1.0,0,,0,0.0,0,79.2
D'Ernest Johnson,JAX,2,1,8,0,,5,5.0,3,3.0,4.0,0,,0,0.0,0,60.4
Devin Duvernay,JAX,1,1,3,0,,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2
Josiah Deguara,JAX,1,1,4,0,,2,2.0,2,2.0,2.0,0,,0,0.0,0,83.3
Josh Reynolds,JAX,1,0,0,0,,0,,0,,11.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brock Bowers,LVR,13,11,99,0,6,35,3.2,64,5.8,3.3,0,,2,15.4,0,98.4
Ameer Abdullah,LVR,6,5,47,0,2,21,4.2,26,5.2,4.2,0,,0,0.0,0,99.3
Alexander Mattison,LVR,7,4,29,0,1,-8,-2.0,37,9.3,2.3,0,,0,0.0,0,67.0
Jakobi Meyers,LVR,5,2,41,0,2,17,8.5,24,12.0,13.4,0,,0,0.0,0,69.6
Tre Tucker,LVR,4,2,41,0,2,34,17.0,7,3.5,16.8,0,,0,0.0,0,86.5
Terrace Marshall Jr.,LVR,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
Michael Mayer,LVR,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
