Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jordan Whittington,LAR,8,6,62,0,3,37,6.2,25,4.2,6.6,0,,0,0.0,0,96.9
Tutu Atwell,LAR,6,4,82,0,4,72,18.0,10,2.5,13.0,0,,0,0.0,0,109.7
Colby Parkinson,LAR,7,4,33,0,2,7,1.8,26,6.5,4.4,0,,0,0.0,0,69.3
Kyren Williams,LAR,4,4,10,0,0,-14,-3.5,24,6.0,-3.5,0,,0,0.0,0,79.2
Demarcus Robinson,LAR,3,2,37,0,2,35,17.5,2,1.0,15.0,0,,0,0.0,1,69.4
Tyler Johnson,LAR,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
D'Andre Swift,CHI,7,7,72,0,3,4,0.6,68,9.7,0.6,1,7.0,0,0.0,0,109.5
Keenan Allen,CHI,3,3,19,0,1,7,2.3,12,4.0,2.3,0,,0,0.0,0,93.1
Cole Kmet,CHI,3,3,34,0,2,23,7.7,11,3.7,7.7,0,,0,0.0,0,113.9
D.J. Moore,CHI,6,3,22,1,1,18,6.0,4,1.3,11.5,0,,0,0.0,0,98.6
Rome Odunze,CHI,3,1,10,0,,4,4.0,6,6.0,14.3,0,,0,0.0,0,43.7
