Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brian Thomas,JAX,4,4,47,1,3,39,9.8,8,2.0,9.8,0,,0,0.0,0,155.2
Gabriel Davis,JAX,3,3,62,0,3,48,16.0,14,4.7,16.0,0,,0,0.0,0,118.7
Travis Etienne,JAX,3,2,15,0,1,9,4.5,6,3.0,3.0,0,,0,0.0,0,78.5
Evan Engram,JAX,4,1,5,0,,4,4.0,1,1.0,4.5,0,,0,0.0,0,39.6
Christian Kirk,JAX,4,1,30,0,1,24,24.0,6,6.0,14.3,0,,0,0.0,0,58.3
Parker Washington,JAX,1,1,3,0,,-2,-2.0,5,5.0,-2.0,1,1.0,0,0.0,0,79.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
De'Von Achane,MIA,7,7,76,0,2,-25,-3.6,101,14.4,-3.6,1,7.0,0,0.0,0,111.9
Tyreek Hill,MIA,12,7,130,1,4,46,6.6,84,12.0,11.9,1,7.0,0,0.0,0,123.6
Jaylen Waddle,MIA,5,5,109,0,4,72,14.4,37,7.4,14.4,0,,0,0.0,0,118.7
Raheem Mostert,MIA,3,2,10,0,1,-7,-3.5,17,8.5,-0.3,1,2.0,0,0.0,0,71.5
Julian Hill,MIA,1,1,6,0,,3,3.0,3,3.0,3.0,0,,0,0.0,0,91.7
Jonnu Smith,MIA,2,1,7,0,,6,6.0,1,1.0,1.0,0,,1,50.0,0,58.3
Braxton Berrios,MIA,2,0,0,0,,0,,0,,6.5,0,,0,0.0,0,39.6
Alec Ingold,MIA,1,0,0,0,0,0,,0,,5.0,0,,0,0.0,0,39.6
Durham Smythe,MIA,3,0,0,0,,0,,0,,5.7,0,,0,0.0,0,39.6
