Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jake Ferguson,DAL,7,7,49,0,2,22,3.1,27,3.9,3.1,0,,0,0.0,0,95.8
CeeDee Lamb,DAL,8,7,98,1,3,50,7.1,48,6.9,6.8,0,,0,0.0,0,157.3
Jalen Tolbert,DAL,3,3,24,0,1,19,6.3,5,1.7,6.3,0,,0,0.0,0,100.0
Hunter Luepke,DAL,2,2,14,0,1,11,5.5,3,1.5,5.5,0,,0,0.0,0,95.8
Brandin Cooks,DAL,4,1,16,0,1,7,7.0,9,9.0,10.0,0,,0,0.0,0,43.7
Rico Dowdle,DAL,1,1,15,1,1,-4,-4.0,19,19.0,-4.0,0,,0,0.0,0,158.3
Ezekiel Elliott,DAL,1,1,5,0,,2,2.0,3,3.0,2.0,0,,0,0.0,0,87.5
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Malik Nabers,NYG,15,12,115,0,5,86,7.2,29,2.4,10.4,0,,0,0.0,0,98.6
Wan'Dale Robinson,NYG,14,11,71,0,2,34,3.1,37,3.4,5.2,1,11.0,1,7.1,0,87.8
Darius Slayton,NYG,5,3,56,0,3,47,15.7,9,3.0,18.8,0,,1,20.0,0,98.7
Theo Johnson,NYG,1,1,6,0,,5,5.0,1,1.0,5.0,0,,0,0.0,0,91.7
Devin Singletary,NYG,1,1,14,0,1,-4,-4.0,18,18.0,-4.0,0,,0,0.0,0,118.7
Tyrone Tracy Jr.,NYG,1,1,19,0,1,-7,-7.0,26,26.0,-7.0,1,1.0,0,0.0,0,118.7
Jalin Hyatt,NYG,1,0,0,0,,0,,0,,55.0,0,,0,0.0,1,0.0
