Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Josh Jacobs,GNB,5,4,58,0,2,0,0.0,58,14.5,-0.2,1,4.0,0,0.0,0,115.0
Christian Watson,GNB,4,4,150,0,4,104,26.0,46,11.5,26.0,0,,0,0.0,0,118.7
Chris Brooks,GNB,2,2,13,0,1,-11,-5.5,24,12.0,-5.5,1,2.0,0,0.0,0,93.7
Jayden Reed,GNB,2,2,23,1,2,8,4.0,15,7.5,4.0,0,,0,0.0,0,154.2
Romeo Doubs,GNB,2,1,17,0,1,17,17.0,0,0.0,12.0,0,,1,50.0,0,79.2
Tucker Kraft,GNB,1,0,0,0,,0,,0,,14.0,0,,0,0.0,1,0.0
Dontayvion Wicks,GNB,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
D.J. Moore,CHI,7,7,62,0,4,6,0.9,56,8.0,0.9,1,7.0,0,0.0,0,103.6
Rome Odunze,CHI,10,6,65,0,3,46,7.7,19,3.2,11.3,1,6.0,0,0.0,0,79.2
Keenan Allen,CHI,8,4,41,0,2,31,7.8,10,2.5,8.1,0,,1,12.5,0,65.1
Cole Kmet,CHI,3,3,42,0,2,28,9.3,14,4.7,9.3,0,,0,0.0,0,118.7
D'Andre Swift,CHI,2,2,13,0,0,-2,-1.0,15,7.5,-1.0,0,,0,0.0,0,93.7
Roschon Johnson,CHI,1,1,8,0,1,2,2.0,6,6.0,2.0,0,,0,0.0,0,100.0
