Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss, Dolphins to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIA 25,0,0,Jaylen Waddle right end for 2 yards (tackle by Jason Pierre-Paul),0.610,0.330
1,14:20,2,8,MIA 27,0,0,"Jacoby Brissett pass complete deep left to Preston Williams for 21 yards (tackle by Jamel Dean) TAM challenged the pass completion ruling, and the play was upheld.",0.330,2.130
1,13:55,1,10,MIA 48,0,0,"Jacoby Brissett pass incomplete short right (defended by Jason Pierre-Paul). Penalty on Jason Pierre-Paul: Defensive Offside, 5 yards (accepted) (no play)",2.130,2.860
1,13:50,1,5,TAM 47,0,0,Jacoby Brissett pass complete short left to Myles Gaskin for 4 yards (tackle by Jordan Whitehead),2.860,2.800
1,13:29,2,1,TAM 43,0,0,Jacoby Brissett pass complete short right to Preston Williams for 34 yards (tackle by Mike Edwards),2.800,5.140
1,12:42,1,9,TAM 9,0,0,Myles Gaskin left end for 4 yards (tackle by Mike Edwards),5.140,5.150
1,12:07,2,5,TAM 5,0,0,Myles Gaskin up the middle for no gain (tackle by Shaquil Barrett),5.150,4.260
1,11:24,3,5,TAM 5,0,0,"Jacoby Brissett pass incomplete intended for Jaylen Waddle. Penalty on Mike Gesicki: Offensive Pass Interference, 10 yards (declined)",4.260,3.010
1,11:21,4,5,TAM 5,3,0,Jason Sanders 23 yard field goal good,3.010,3.000
1,11:17,,,MIA 35,3,0,"Jason Sanders kicks off 65 yards, touchback.. Penalty on Kevin Minter: Illegal Formation, 5 yards (accepted)",0.000,0.280
1,11:17,1,10,TAM 20,3,0,Leonard Fournette right guard for 1 yard (tackle by Jaelan Phillips),0.280,-0.130
1,10:42,2,9,TAM 21,3,0,Tom Brady pass complete short left to O.J. Howard for 9 yards (tackle by Eric Rowe),-0.130,0.940
1,10:04,1,10,TAM 30,3,0,Tom Brady pass complete deep right to Mike Evans for 26 yards (tackle by Byron Jones),0.940,2.650
1,9:26,1,10,MIA 44,3,0,Leonard Fournette left end for 17 yards (tackle by Xavien Howard and Christian Wilkins),2.650,3.780
1,8:43,1,10,MIA 27,3,0,Tom Brady pass complete short left to Chris Godwin for 13 yards (tackle by Xavien Howard),3.780,4.650
1,8:00,1,10,MIA 14,3,0,Leonard Fournette up the middle for 4 yards (tackle by Andrew Van Ginkel and Brandon Jones),4.650,4.710
1,7:14,2,6,MIA 10,3,0,Tom Brady pass incomplete short middle intended for Chris Godwin,4.710,3.820
1,7:09,3,6,MIA 10,3,6,"Tom Brady pass complete short middle to Giovani Bernard for 10 yards, touchdown",3.820,7.000
1,7:04,,,MIA 15,3,7,Ryan Succop kicks extra point good,0.000,0.000
1,7:04,,,TAM 35,3,7,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,7:04,1,10,MIA 25,3,7,Jacoby Brissett pass complete short right to Myles Gaskin for 9 yards (tackle by Richard Sherman),0.610,1.280
1,6:37,2,1,MIA 34,3,7,Myles Gaskin up the middle for 3 yards (tackle by Devin White and Lavonte David),1.280,1.400
1,6:04,1,10,MIA 37,3,7,Jacoby Brissett pass complete to Myles Gaskin for 12 yards (tackle by Mike Edwards),1.400,2.190
1,5:22,1,10,MIA 49,3,7,Jacoby Brissett pass incomplete short right intended for Salvon Ahmed,2.190,1.650
1,5:19,2,10,MIA 49,3,7,Jacoby Brissett pass complete short left to Mack Hollins for 10 yards (tackle by Devin White),1.650,2.850
1,4:39,1,10,TAM 41,3,7,Jacoby Brissett sacked by Lavonte David for no gain,2.850,2.310
1,4:04,2,10,TAM 41,3,7,"Jacoby Brissett pass incomplete deep left intended for Jaylen Waddle. Penalty on Ross Cockrell: Defensive Pass Interference, 12 yards (accepted) (no play)",2.310,3.640
1,3:58,1,10,TAM 29,3,7,Jacoby Brissett pass complete short middle to Adam Shaheen for 5 yards (tackle by Devin White),3.640,3.780
1,3:22,2,5,TAM 24,9,7,"Jacoby Brissett pass complete deep left to Myles Gaskin for 24 yards, touchdown",3.780,7.000
1,3:16,,,TAM 15,10,7,Jason Sanders kicks extra point good,0.000,0.000
1,3:16,,,MIA 35,10,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,3:16,,,,,,Timeout #1 by Miami Dolphins,,
1,3:16,1,10,TAM 25,10,7,Tom Brady pass complete short middle to Antonio Brown for 10 yards (tackle by Jerome Baker),0.610,1.270
1,2:41,1,10,TAM 35,10,7,Leonard Fournette left guard for 8 yards (tackle by Brennan Scarlett),1.270,1.800
1,2:06,2,2,TAM 43,10,7,Tom Brady pass complete short left to Chris Godwin for 18 yards (tackle by Jevon Holland),1.800,2.980
1,1:26,1,10,MIA 39,10,7,Tom Brady pass incomplete deep left intended for Leonard Fournette (defended by Elandon Roberts),2.980,2.440
1,1:19,2,10,MIA 39,10,7,Tom Brady pass complete short left to Leonard Fournette for 6 yards,2.440,2.540
1,0:39,3,4,MIA 33,10,7,"Tom Brady pass complete short middle to Mike Evans for 15 yards (tackle by Byron Jones and Jevon Holland). Penalty on Xavien Howard: Defensive Holding, 5 yards (declined)",2.540,4.370
1,0:10,1,10,MIA 18,10,7,Ronald Jones right guard for 4 yards (tackle by Elandon Roberts),4.370,4.430
Quarter,Time,Down,ToGo,Location,MIA,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,MIA 14,10,7,Tom Brady pass incomplete short middle intended for Chris Godwin (defended by Xavien Howard),4.430,3.630
2,14:57,3,6,MIA 14,10,7,Tom Brady sacked by Jerome Baker for -10 yards,3.630,1.870
2,14:12,4,16,MIA 24,10,10,Ryan Succop 42 yard field goal good,1.870,3.000
2,14:06,,,TAM 35,10,10,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,14:06,1,10,MIA 25,10,10,Jacoby Brissett pass complete short left to Myles Gaskin for 5 yards (tackle by Jason Pierre-Paul and Devin White),0.610,0.740
2,13:32,2,5,MIA 30,10,10,Salvon Ahmed up the middle for 1 yard (tackle by Jamel Dean),0.740,0.170
2,12:50,3,4,MIA 31,10,10,Jacoby Brissett pass incomplete short left intended for Preston Williams,0.170,-1.310
2,12:46,4,4,MIA 31,10,10,Michael Palardy punts 39 yards downed by Mack Hollins,-1.310,-0.940
2,12:35,1,10,TAM 30,10,10,Ronald Jones up the middle for 4 yards (tackle by Zach Sieler),0.940,0.930
2,11:54,2,6,TAM 34,10,10,Ronald Jones right tackle for 4 yards (tackle by Xavien Howard and Emmanuel Ogbah),0.930,0.760
2,11:11,3,2,TAM 38,10,16,"Tom Brady pass complete short left to Antonio Brown for 62 yards, touchdown",0.760,7.000
2,11:01,,,MIA 15,10,17,Ryan Succop kicks extra point good,0.000,0.000
2,11:01,,,TAM 35,10,17,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,11:01,1,10,MIA 25,10,17,Jacoby Brissett pass complete short right to Isaiah Ford for 3 yards (tackle by Richard Sherman),0.610,0.470
2,10:25,2,7,MIA 28,10,17,Jacoby Brissett pass incomplete deep middle intended for Mike Gesicki,0.470,-0.230
2,10:19,3,7,MIA 28,10,17,Jacoby Brissett pass complete short left to Mike Gesicki for 12 yards (tackle by Joe Tryon-Shoyinka),-0.230,1.600
2,9:42,1,10,MIA 40,10,17,Jacoby Brissett pass complete short right to Preston Williams for 5 yards (tackle by Ross Cockrell and Devin White),1.600,1.730
2,9:03,2,5,MIA 45,10,17,Jacoby Brissett pass complete short left to Durham Smythe for 2 yards (tackle by Devin White),1.730,1.290
2,8:20,3,3,MIA 47,10,17,Jacoby Brissett pass incomplete short right intended for Jaylen Waddle (defended by Ross Cockrell),1.290,-0.260
2,8:16,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,8:16,4,3,MIA 47,10,17,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",-0.260,-0.590
2,8:16,4,8,MIA 42,10,17,Michael Palardy punts 35 yards downed by Andrew Van Ginkel,-0.590,-0.480
2,8:07,1,10,TAM 23,10,17,Leonard Fournette right tackle for 6 yards (tackle by Raekwon Davis),0.480,0.740
2,7:25,2,4,TAM 29,10,17,Tom Brady pass complete short left to Antonio Brown for 6 yards (tackle by Xavien Howard),0.740,1.270
2,6:43,1,10,TAM 35,10,17,Tom Brady pass incomplete deep right intended for Mike Evans,1.270,0.720
2,6:36,2,10,TAM 35,10,17,Tom Brady pass complete short middle to O.J. Howard for 10 yards (tackle by Nik Needham),0.720,1.930
2,5:54,1,10,TAM 45,10,17,Tom Brady pass incomplete deep left intended for Antonio Brown,1.930,1.380
2,5:47,2,10,TAM 45,10,17,Tom Brady pass complete short middle to Leonard Fournette for 10 yards (tackle by Jason McCourty),1.380,2.590
2,5:13,1,10,MIA 45,10,17,Tom Brady pass incomplete deep middle intended for Chris Godwin,2.590,2.040
2,5:05,2,10,MIA 45,10,17,"Penalty on Eric Rowe: Encroachment, 5 yards (accepted) (no play)",2.040,2.720
2,5:05,2,5,MIA 40,10,17,Tom Brady pass complete short right to Leonard Fournette for 11 yards (tackle by Raekwon Davis and Brandon Jones),2.720,3.640
2,4:11,1,10,MIA 29,10,17,Tom Brady pass complete short middle to Cameron Brate for 12 yards (tackle by Jerome Baker),3.640,4.440
2,3:25,1,10,MIA 17,10,17,Leonard Fournette left tackle for 4 yards (tackle by Elandon Roberts and Jaelan Phillips),4.440,4.500
2,2:45,2,6,MIA 13,10,17,Tom Brady pass complete short right to Chris Godwin for 3 yards (tackle by Christian Wilkins),4.500,4.340
2,2:00,3,3,MIA 10,10,17,"Tom Brady pass incomplete short middle intended for Antonio Brown. Penalty on Eric Rowe: Defensive Pass Interference, 7 yards (accepted) (no play)",4.340,6.510
2,1:57,1,3,MIA 3,10,17,Leonard Fournette up the middle for -1 yards (tackle by Elandon Roberts),6.510,5.340
2,1:51,,,,,,Timeout #2 by Miami Dolphins,,
2,1:51,2,4,MIA 4,10,23,"Tom Brady pass complete short middle to Antonio Brown for 4 yards, touchdown",5.340,7.000
2,1:48,,,MIA 15,10,24,Ryan Succop kicks extra point good,0.000,0.000
2,1:48,,,TAM 35,10,24,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,1:48,1,10,MIA 25,10,24,Jacoby Brissett pass complete short right to Jaylen Waddle for 21 yards (tackle by Jordan Whitehead),0.610,1.990
2,1:26,1,10,MIA 46,10,24,Jacoby Brissett pass complete short middle to Myles Gaskin for 6 yards (tackle by Devin White),1.990,2.260
2,1:14,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
2,1:14,2,4,TAM 48,10,24,Jacoby Brissett pass complete short right to Adam Shaheen for 10 yards (tackle by Jason Pierre-Paul),2.260,3.050
2,1:08,1,10,TAM 38,10,24,Jacoby Brissett pass complete short left to Mike Gesicki for 8 yards (tackle by Ross Cockrell),3.050,3.590
2,0:58,2,2,TAM 30,10,24,"Jacoby Brissett sacked by Shaquil Barrett for -5 yards. Jacoby Brissett fumbles (forced by Shaquil Barrett), recovered by Ndamukong Suh at TB-34 (tackle by Shaquil Barrett)",3.590,-1.200
2,0:34,1,10,TAM 34,10,24,Tom Brady pass incomplete short middle,1.200,0.660
2,0:29,2,10,TAM 34,10,24,Tom Brady pass complete short left to Mike Evans for 11 yards (tackle by Byron Jones),0.660,1.930
2,0:13,1,10,TAM 45,10,24,Tom Brady spiked the ball,1.930,1.380
