Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Joe Burrow pass incomplete short left,0.610,0.060
1,14:53,2,10,CIN 25,0,0,Joe Burrow pass complete short right to Tee Higgins for 11 yards (tackle by Anthony Averett),0.060,1.330
1,14:05,1,10,CIN 36,0,0,Joe Mixon right tackle for 2 yards (tackle by Justin Houston and Calais Campbell),1.330,1.060
1,13:23,2,8,CIN 38,0,0,Joe Burrow pass incomplete short right intended for Tee Higgins,1.060,0.370
1,13:19,3,8,CIN 38,0,0,Joe Burrow pass complete short right to Samaje Perine for 23 yards (tackle by DeShon Elliott),0.370,2.980
1,12:33,1,10,BAL 39,0,0,Joe Burrow pass incomplete short left intended for Tyler Boyd (defended by Tavon Young),2.980,2.440
1,12:29,2,10,BAL 39,0,0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Anthony Averett),2.440,1.750
1,12:25,,,,,,Timeout #1 by Cincinnati Bengals,,
1,12:25,3,10,BAL 39,0,0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Anthony Averett),1.750,0.660
1,12:19,4,10,BAL 39,0,0,"Kevin Huber punts 39 yards, touchback.",0.660,-0.280
1,12:12,1,10,BAL 20,0,0,Lamar Jackson right tackle for 2 yards (tackle by Larry Ogunjobi),0.280,0.000
1,11:35,2,8,BAL 22,0,0,Lamar Jackson pass incomplete short left intended for Rashod Bateman,0.000,-0.690
1,11:32,3,8,BAL 22,0,0,Lamar Jackson scrambles right end for 10 yards (tackle by Cameron Sample),-0.690,1.070
1,10:49,1,10,BAL 32,0,0,Lamar Jackson pass incomplete deep left intended for Marquise Brown,1.070,0.530
1,10:40,2,10,BAL 32,0,0,Le'Veon Bell left end for -5 yards (tackle by Logan Wilson),0.530,-0.820
1,9:55,3,15,BAL 27,0,0,Lamar Jackson sacked by Larry Ogunjobi for -5 yards,-0.820,-1.900
1,9:17,4,20,BAL 22,0,0,"Sam Koch punts 48 yards, returned by Darius Phillips for 13 yards (tackle by Kristian Welch and Tylan Wallace)",-1.900,-1.800
1,9:02,1,10,CIN 43,0,0,Joe Mixon left guard for 9 yards (tackle by Tavon Young),1.800,2.470
1,8:17,2,1,BAL 48,0,0,Joe Burrow up the middle for no gain (tackle by Josh Bynes),2.470,1.750
1,7:33,3,1,BAL 48,0,0,Joe Burrow pass incomplete deep left intended for Tyler Boyd,1.750,0.070
1,7:28,4,1,BAL 48,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Jimmy Smith),0.070,2.980
1,6:42,1,10,BAL 39,0,0,Joe Mixon left tackle for -1 yards (tackle by Patrick Queen),2.980,2.300
1,5:59,2,11,BAL 40,0,0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Josh Bynes),2.300,2.410
1,5:20,3,5,BAL 34,0,0,Joe Burrow pass incomplete deep middle intended for Tee Higgins,2.410,1.070
1,5:13,4,5,BAL 34,3,0,Evan McPherson 52 yard field goal good,1.070,3.000
1,5:08,,,CIN 35,3,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,5:08,1,10,BAL 25,3,0,Ty'Son Williams left guard for 4 yards (tackle by Larry Ogunjobi),0.610,0.600
1,4:28,2,6,BAL 29,3,0,Lamar Jackson pass incomplete deep right intended for Marquise Brown,0.600,-0.100
1,4:23,3,6,BAL 29,3,0,Lamar Jackson pass incomplete deep middle intended for Rashod Bateman,-0.100,-1.440
1,4:19,4,6,BAL 29,3,0,"Sam Koch punts 49 yards, returned by Darius Phillips for 7 yards (tackle by Tylan Wallace)",-1.440,-0.870
1,4:08,1,10,CIN 29,3,0,Samaje Perine right end for -1 yards (tackle by Justin Madubuike),0.870,0.190
1,3:26,2,11,CIN 28,3,0,Joe Burrow pass complete short right to Tyler Boyd for 5 yards (tackle by Anthony Averett),0.190,0.170
1,2:47,3,6,CIN 33,3,0,Joe Burrow pass incomplete deep left intended for Tee Higgins (defended by Anthony Averett),0.170,-1.180
1,2:41,4,6,CIN 33,3,0,"Kevin Huber punts 60 yards, returned by Devin Duvernay for 16 yards (tackle by Logan Wilson)",-1.180,-0.480
1,2:30,1,10,BAL 23,3,0,Lamar Jackson pass complete deep middle to Mark Andrews for 24 yards (tackle by Jessie Bates and Akeem Davis-Gaither),0.480,2.060
1,1:46,1,10,BAL 47,3,0,Devin Duvernay left end for -2 yards (tackle by Jessie Bates),2.060,1.250
1,1:09,2,12,BAL 45,3,0,Lamar Jackson pass complete short left to Devonta Freeman for 6 yards (tackle by Chidobe Awuzie),1.250,1.360
1,0:29,3,6,CIN 49,3,0,Lamar Jackson pass complete deep middle to Mark Andrews for 23 yards (tackle by Vonn Bell),1.360,3.840
Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 26,3,0,Lamar Jackson pass incomplete short right intended for Mark Andrews,3.840,3.300
2,14:56,2,10,CIN 26,3,0,Le'Veon Bell up the middle for -1 yards (tackle by Larry Ogunjobi and D.J. Reader),3.300,2.480
2,14:13,3,11,CIN 27,3,0,Lamar Jackson pass incomplete short right intended for Mark Andrews,2.480,1.670
2,14:08,4,11,CIN 27,3,3,Justin Tucker 45 yard field goal good,1.670,3.000
2,14:03,,,BAL 35,3,3,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,14:03,1,10,CIN 25,3,3,Joe Mixon right tackle for 9 yards (tackle by Malik Harrison),0.610,1.280
2,13:18,2,1,CIN 34,3,3,Joe Mixon left guard for no gain (tackle by Calais Campbell and Josh Bynes),1.280,0.560
2,12:32,3,1,CIN 34,3,3,Samaje Perine left guard for no gain (tackle by Tyus Bowser and Marlon Humphrey),0.560,-1.110
2,11:54,4,1,CIN 34,3,3,"Kevin Huber punts 58 yards, returned by Devin Duvernay for 21 yards (tackle by Ricardo Allen)",-1.110,-0.870
2,11:42,1,10,BAL 29,3,3,Lamar Jackson right end for 12 yards (tackle by Chidobe Awuzie),0.870,1.660
2,11:04,1,10,BAL 41,3,3,Lamar Jackson right guard for 3 yards (tackle by Vonn Bell),1.660,1.530
2,10:22,2,7,BAL 44,3,3,Lamar Jackson pass complete deep middle to Josh Oliver for 19 yards (tackle by Vonn Bell),1.530,3.120
2,9:37,1,10,CIN 37,3,3,Lamar Jackson sacked by and Larry Ogunjobi for -1 yards and Sam Hubbard for -1 yards,3.120,2.440
2,8:54,2,11,CIN 38,3,3,Lamar Jackson sacked by Sam Hubbard for -2 yards,2.440,1.490
2,8:08,3,13,CIN 40,3,3,"Lamar Jackson pass complete short right to Mark Andrews for no gain (tackle by Akeem Davis-Gaither). Penalty on Devin Duvernay: Offensive Holding, 10 yards (accepted) (no play)",1.490,0.170
2,7:49,3,23,CIN 50,3,3,Lamar Jackson scrambles left tackle for 10 yards (tackle by Logan Wilson),0.170,0.590
2,7:11,4,13,CIN 40,3,3,"Sam Koch punts 40 yards, touchback.",0.590,-0.280
2,7:06,1,10,CIN 20,3,3,"Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Anthony Averett). Penalty on Pernell McPhee: Roughing the Passer, 16 yards (accepted)",0.280,1.930
2,6:41,1,10,CIN 45,9,3,"Joe Burrow pass complete deep middle to C.J. Uzomah for 55 yards, touchdown",1.930,7.000
2,6:29,,,BAL 15,10,3,Evan McPherson kicks extra point good,0.000,0.000
2,6:29,,,CIN 35,10,3,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
2,6:29,1,10,BAL 25,10,3,Lamar Jackson pass complete short middle to Rashod Bateman for 20 yards (tackle by Germaine Pratt),0.610,1.930
2,5:48,1,10,BAL 45,10,3,Lamar Jackson pass incomplete deep right intended for Marquise Brown,1.930,1.380
2,5:43,2,10,BAL 45,10,3,Lamar Jackson scrambles left end for 3 yards (tackle by Logan Wilson),1.380,1.090
2,4:59,3,7,BAL 48,10,3,Lamar Jackson scrambles up the middle for 7 yards (tackle by Logan Wilson),1.090,2.590
2,4:13,1,10,CIN 45,10,3,Lamar Jackson pass complete deep middle to Marquise Brown for 18 yards (tackle by Jessie Bates),2.590,3.780
2,3:33,1,10,CIN 27,10,3,Lamar Jackson pass complete short middle to Marquise Brown for 7 yards (tackle by Chidobe Awuzie),3.780,4.180
2,2:55,2,3,CIN 20,10,3,Devonta Freeman right end for 1 yard (tackle by Akeem Davis-Gaither and Jessie Bates),4.180,3.640
2,2:14,3,2,CIN 19,10,3,Lamar Jackson left end for 16 yards (tackle by Cameron Sample and Jessie Bates),3.640,6.510
2,2:00,1,3,CIN 3,10,3,Devonta Freeman right guard for 2 yards (tackle by D.J. Reader and Logan Wilson),6.510,5.910
2,1:56,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:56,2,1,CIN 1,10,9,"Devonta Freeman left guard for 1 yard, touchdown",5.910,7.000
2,1:51,,,CIN 15,10,10,Justin Tucker kicks extra point good,0.000,0.000
2,1:51,,,BAL 35,10,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,1:51,1,10,CIN 25,10,10,Joe Burrow pass complete short right to Tee Higgins for 7 yards (tackle by Anthony Averett),0.610,1.010
2,1:28,2,3,CIN 32,10,10,Joe Burrow pass complete short right to C.J. Uzomah for 4 yards (tackle by Brandon Stephens),1.010,1.330
2,1:24,1,10,CIN 36,10,10,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Tavon Young),1.330,1.600
2,1:01,2,4,CIN 42,10,10,Joe Burrow pass complete short left to Ja'Marr Chase for 13 yards (tackle by Marlon Humphrey),1.600,2.590
2,0:38,1,10,BAL 45,10,10,Joe Burrow pass incomplete deep right intended for Tee Higgins,2.590,2.040
2,0:32,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:32,2,10,BAL 45,10,10,Joe Burrow pass complete short middle to Ja'Marr Chase for 26 yards (tackle by Chuck Clark),2.040,4.310
2,0:24,1,10,BAL 19,10,10,Joe Burrow pass complete short middle to Tyler Boyd for 7 yards (tackle by Marlon Humphrey),4.310,4.920
2,0:10,2,3,BAL 12,10,10,Joe Burrow spiked the ball,4.920,4.190
2,0:10,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:10,3,3,BAL 12,10,10,Joe Burrow pass incomplete short left intended for Tee Higgins,4.190,2.730
2,0:06,4,3,BAL 12,13,10,Evan McPherson 30 yard field goal good,2.730,3.000
2,0:03,,,CIN 35,13,10,"Evan McPherson kicks off 66 yards, returned by Devin Duvernay for 21 yards (tackle by Akeem Davis-Gaither)",0.000,1.270
Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,13,10,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BAL 25,13,10,"Lamar Jackson pass complete short left to Mark Andrews for 1 yard. Mark Andrews fumbles (forced by Akeem Davis-Gaither), recovered by Mark Andrews at BAL-26 (tackle by Chidobe Awuzie and Akeem Davis-Gaither)",0.610,0.200
