Quarter,Time,Down,ToGo,Location,CHI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CLE 25,0,0,Baker Mayfield pass incomplete deep left intended for Harrison Bryant (defended by Deon Bush),0.610,0.060
1,14:53,2,10,CLE 25,0,0,Baker Mayfield pass incomplete short middle intended for Odell Beckham,0.060,-0.620
1,14:51,3,10,CLE 25,0,0,Baker Mayfield pass complete short middle to Odell Beckham for 13 yards (tackle by DeAndre Houston-Carson),-0.620,1.470
1,14:13,1,10,CLE 38,0,0,Nick Chubb left tackle for 2 yards (tackle by Bilal Nichols and Khyiris Tonga),1.470,1.190
1,13:27,2,8,CLE 40,0,0,Baker Mayfield pass incomplete short left intended for Anthony Schwartz,1.190,0.500
1,13:23,3,8,CLE 40,0,0,"Baker Mayfield scrambles left end for 12 yards (tackle by Eddie Jackson). Penalty on Jaylon Johnson: Defensive Holding, 5 yards (accepted)",0.500,2.720
1,12:56,1,10,CHI 43,0,0,Nick Chubb left end for 1 yard (tackle by Roquan Smith),2.720,2.310
1,12:18,2,9,CHI 42,0,0,Nick Chubb right guard for 4 yards (tackle by Roquan Smith),2.310,2.150
1,11:36,3,5,CHI 38,0,0,Baker Mayfield pass incomplete deep left intended for Demetric Felton,2.150,0.720
1,11:31,4,5,CHI 38,0,0,Baker Mayfield sacked by and Robert Quinn for -9 yards and Angelo Blackson for -9 yards,0.720,-2.060
1,11:26,1,10,CHI 47,0,0,David Montgomery left tackle for 16 yards (tackle by Denzel Ward),2.060,3.120
1,10:54,1,10,CLE 37,0,0,David Montgomery right guard for 1 yard (tackle by John Johnson and Malcolm Smith),3.120,2.710
1,10:14,2,9,CLE 36,0,0,Justin Fields scrambles up the middle for 7 yards (tackle by Greg Newsome),2.710,2.940
1,9:29,3,2,CLE 29,0,0,David Montgomery left tackle for no gain (tackle by Jeremiah Owusu-Koramoah),2.940,1.600
1,8:45,4,2,CLE 29,3,0,Cairo Santos 47 yard field goal good,1.600,3.000
1,8:40,,,CHI 35,3,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,8:40,1,10,CLE 25,3,0,Nick Chubb right tackle for 2 yards (tackle by Deon Bush and Kindle Vildor),0.610,0.330
1,8:00,2,8,CLE 27,3,0,"Baker Mayfield pass incomplete deep right intended for Odell Beckham. Penalty on Khyiris Tonga: Roughing the Passer, 15 yards (accepted) . Penalty on Kindle Vildor: Defensive Holding, 5 yards (declined) (no play)",0.330,1.730
1,7:54,1,10,CLE 42,3,0,Baker Mayfield pass complete short right to Demetric Felton for 13 yards (tackle by Kindle Vildor),1.730,2.590
