Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,David Johnson up the middle for 2 yards (tackle by Andrew Wingard),0.610,0.330
1,14:21,2,8,HOU 27,0,0,Davis Mills pass incomplete short left intended for Chris Conley (defended by Malcom Brown),0.330,-0.360
1,14:16,3,8,HOU 27,0,0,"Penalty on HOU: Delay of Game, 5 yards (accepted) (no play)",-0.360,-1.020
1,14:16,3,13,HOU 22,0,0,Davis Mills pass complete short left to Phillip Dorsett for 10 yards (tackle by Myles Jack),-1.020,-1.240
1,13:38,4,3,HOU 32,0,0,"Cameron Johnston punts out of bounds. Penalty on Adam Gotsis: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",-1.240,1.400
1,13:29,1,10,HOU 37,0,0,David Johnson up the middle for 3 yards (tackle by Myles Jack),1.400,1.260
1,12:55,2,7,HOU 40,0,0,David Johnson up the middle for 6 yards (tackle by K'Lavon Chaisson),1.260,1.360
1,12:18,3,1,HOU 46,0,0,Davis Mills up the middle for 2 yards (tackle by Damien Wilson),1.360,2.130
1,11:42,1,10,HOU 48,0,0,Davis Mills pass complete short left to Brandin Cooks for 5 yards (tackle by Myles Jack),2.130,2.260
1,11:07,2,5,JAX 47,0,0,Rex Burkhead up the middle for no gain (tackle by Andrew Wingard),2.260,1.550
1,10:27,3,5,JAX 47,0,0,Davis Mills pass complete short right to Brandin Cooks for 6 yards (tackle by Rudy Ford),1.550,2.850
1,9:49,1,10,JAX 41,0,0,David Johnson up the middle for 3 yards (tackle by Roy Robertson-Harris and Andrew Wingard),2.850,2.710
1,9:10,2,7,JAX 38,0,0,David Johnson up the middle for 4 yards (tackle by Shaquill Griffin and Andrew Wingard),2.710,2.540
1,8:37,3,3,JAX 34,0,0,Davis Mills pass complete short middle to David Johnson for 3 yards (tackle by Rudy Ford),2.540,3.510
1,8:00,1,10,JAX 31,0,0,Rex Burkhead up the middle for 2 yards (tackle by Andrew Wingard),3.510,3.240
1,7:23,2,8,JAX 29,0,0,Davis Mills pass complete short left to Nico Collins for 7 yards (tackle by Tyson Campbell),3.240,3.470
1,6:46,3,1,JAX 22,6,0,"Davis Mills pass complete short middle to Brandin Cooks for 22 yards, touchdown",3.470,7.000
1,6:39,,,JAX 15,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,6:39,,,HOU 35,7,0,"Ka'imi Fairbairn kicks off 68 yards, returned by Jaydon Mickens for 20 yards (tackle by Eric Wilson and Chris Moore)",0.000,-0.060
1,6:32,1,10,JAX 17,7,0,James Robinson right end for 3 yards (tackle by Roy Lopez),-0.060,-0.060
1,5:53,2,7,JAX 20,7,0,Laviska Shenault left end for 10 yards (tackle by Tavierre Thomas),-0.060,0.940
1,5:13,1,10,JAX 30,7,0,Trevor Lawrence pass complete short left to James O'Shaughnessy for 30 yards (tackle by Garret Wallow),0.940,2.920
1,4:37,1,10,HOU 40,7,0,"James Robinson up the middle for 3 yards (tackle by Eric Murray and Jonathan Owens). Penalty on Eric Murray: Face Mask (15 Yards), 15 yards (accepted)",2.920,4.110
1,4:08,1,10,HOU 22,7,0,Trevor Lawrence pass complete short right to Chris Manhertz for 11 yards (tackle by Garret Wallow and Jonathan Owens),4.110,4.840
1,3:22,1,10,HOU 11,7,0,James Robinson up the middle for no gain (tackle by Eric Murray and Garret Wallow),4.840,4.140
1,2:35,2,10,HOU 11,7,0,Trevor Lawrence pass incomplete short right intended for Marvin Jones,4.140,3.130
1,2:29,3,10,HOU 11,7,0,James Robinson up the middle for 7 yards (tackle by Garret Wallow and Jonathan Owens),3.130,3.030
1,1:47,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,1:47,4,3,HOU 4,7,3,Matthew Wright 22 yard field goal good,3.030,3.000
1,1:42,,,JAX 35,13,3,"Matthew Wright kicks off 63 yards, returned by Tremon Smith for 98 yards, touchdown",0.000,7.000
1,1:26,,,JAX 15,14,3,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,1:26,,,HOU 35,14,3,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,1:26,1,10,JAX 25,14,3,"James Robinson for -6 yards (tackle by Maliek Collins). Penalty on James Robinson: Personal Foul / Offense, 15 yards (offset) . Penalty on Jacob Martin: Defensive Offside, 5 yards (offset) . Penalty on Maliek Collins: Face Mask (15 Yards), 15 yards (offset) (no play)",0.610,0.610
1,1:04,1,10,JAX 25,14,3,James Robinson up the middle for 12 yards (tackle by Jonathan Owens),0.610,1.400
1,0:31,1,10,JAX 37,14,3,Trevor Lawrence pass incomplete short left intended for Laquon Treadwell,1.400,0.860
1,0:25,2,10,JAX 37,14,3,Trevor Lawrence pass complete short left to James O'Shaughnessy for 12 yards (tackle by Jonathan Owens),0.860,2.190
Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
