Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 65 yards, returned by Corey Clement for 20 yards (tackle by Isaiah Simmons)",0.000,0.280
1,14:55,1,10,DAL 20,0,0,Dak Prescott pass complete short middle to Michael Gallup for 9 yards (tackle by Isaiah Simmons),0.280,0.950
1,14:32,2,1,DAL 29,0,0,Dak Prescott pass complete short right to Michael Gallup for 6 yards (tackle by Byron Murphy),0.950,1.270
1,14:01,1,10,DAL 35,0,0,Ezekiel Elliott up the middle for 4 yards (tackle by Jalen Thompson and Zach Allen),1.270,1.260
1,13:24,2,6,DAL 39,0,0,Dak Prescott pass complete short right to Dalton Schultz for 7 yards (tackle by Byron Murphy),1.260,1.990
1,12:52,1,10,DAL 46,0,0,Ezekiel Elliott up the middle for -1 yards (tackle by Chandler Jones),1.990,1.320
1,12:29,2,11,DAL 45,0,0,Dak Prescott pass complete short left to Dalton Schultz for 7 yards (tackle by Kevin Peterson),1.320,1.550
1,11:45,3,4,ARI 48,0,0,"Dak Prescott pass complete short right to Ezekiel Elliott for no gain (tackle by Jordan Hicks). Penalty on Tyron Smith: Offensive Holding, 10 yards (accepted) (no play)",1.550,0.230
1,11:19,3,14,DAL 42,0,0,Dak Prescott pass incomplete deep right,0.230,-0.590
1,11:09,4,14,DAL 42,0,0,Bryan Anger punts 42 yards downed by Luke Gifford,-0.590,0.140
1,10:58,1,10,ARI 16,0,0,Greg Dortch right end for 24 yards (tackle by Leighton Vander Esch),-0.140,1.600
1,10:25,1,10,ARI 40,0,0,Chase Edmonds up the middle for 14 yards (tackle by Leighton Vander Esch),1.600,2.520
1,9:58,1,10,DAL 46,0,0,Chase Edmonds right guard for 1 yard (tackle by Carlos Watkins and Neville Gallimore),2.520,2.110
1,9:28,2,9,DAL 45,0,0,Kyler Murray pass incomplete short left intended for A.J. Green (defended by Anthony Brown),2.110,1.420
1,9:26,3,9,DAL 45,0,0,Kyler Murray pass complete deep right to A.J. Green for 42 yards (tackle by Trevon Diggs),1.420,6.510
1,8:40,1,3,DAL 3,0,0,Chase Edmonds left tackle for 2 yards (tackle by Leighton Vander Esch and Donovan Wilson),6.510,5.910
1,8:01,2,1,DAL 1,0,0,Kyler Murray pass incomplete short right intended for A.J. Green (defended by Dorance Armstrong),5.910,5.170
1,7:55,3,1,DAL 1,0,0,"Penalty on Josh Jones: False Start, 5 yards (accepted) (no play)",5.170,4.040
1,7:55,3,6,DAL 6,0,0,"Kyler Murray pass incomplete short right intended for Christian Kirk Penalty on ARI: Illegal Shift, 5 yards (declined)",4.040,2.990
1,7:49,4,6,DAL 6,3,0,Matt Prater 24 yard field goal good,2.990,3.000
1,7:46,,,ARI 35,3,0,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,7:46,1,10,DAL 25,3,0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Budda Baker),0.610,0.060
1,7:43,2,10,DAL 25,3,0,Ezekiel Elliott right guard for 2 yards (tackle by Tanner Vallejo and Jalen Thompson),0.060,-0.360
1,7:04,3,8,DAL 27,3,0,Dak Prescott pass complete short left to Ezekiel Elliott for 14 yards (tackle by Kevin Peterson and Victor Dimukeje),-0.360,1.660
1,6:34,1,10,DAL 41,3,0,Dak Prescott pass complete short left to Dalton Schultz for 11 yards (tackle by Michael Dogbe),1.660,2.390
1,6:03,1,10,ARI 48,3,0,Dak Prescott pass complete short right to CeeDee Lamb for 9 yards (tackle by Byron Murphy),2.390,3.060
1,5:24,2,1,ARI 39,3,0,Tony Pollard up the middle for no gain (tackle by Isaiah Simmons),3.060,2.340
1,4:46,3,1,ARI 39,3,0,Ezekiel Elliott left tackle for -1 yards (tackle by Corey Peters),2.340,0.590
1,4:12,4,2,ARI 40,3,0,Dak Prescott pass complete short left to Dalton Schultz for 14 yards (tackle by Byron Murphy),0.590,3.840
1,3:37,1,10,ARI 26,3,0,Dak Prescott pass incomplete short left intended for Tony Pollard (defended by Corey Peters),3.840,3.300
1,3:32,2,10,ARI 26,3,0,Dak Prescott pass complete short left to Tony Pollard for 6 yards (tackle by Isaiah Simmons),3.300,3.400
1,3:05,3,4,ARI 20,3,0,"Penalty on Tyler Biadasz: False Start, 5 yards (accepted) (no play)",3.400,2.740
1,2:47,3,9,ARI 25,3,0,Dak Prescott pass incomplete short right intended for Amari Cooper,2.740,1.800
1,2:39,4,9,ARI 25,3,0,Greg Zuerlein 43 yard field goal no good,1.800,-1.140
1,2:35,1,10,ARI 33,3,0,Chase Edmonds up the middle for 1 yard (tackle by Micah Parsons and Leighton Vander Esch),1.140,0.730
1,2:00,2,9,ARI 34,3,0,Kyler Murray pass complete short right to Zach Ertz for 4 yards (tackle by Jayron Kearse and Donovan Wilson),0.730,0.560
1,1:19,3,5,ARI 38,3,0,Kyler Murray pass incomplete deep left intended for Antoine Wesley (defended by Anthony Brown),0.560,-0.850
1,1:15,4,5,ARI 38,3,0,Andy Lee punts 31 yards out of bounds,-0.850,-1.000
1,1:06,1,10,DAL 31,3,0,Tony Pollard up the middle for 5 yards (tackle by Jalen Thompson),1.000,1.140
1,0:34,2,5,DAL 36,3,0,Tony Pollard right guard for 4 yards (tackle by Rashard Lawrence and Isaiah Simmons),1.140,0.960
Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,14:53,3,1,DAL 40,3,0,Tony Pollard up the middle for 7 yards (tackle by Byron Murphy and Jordan Hicks) (no play),0.960,-0.360
