Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BAL 25,0,0,Devonta Freeman left tackle for 5 yards (tackle by Roquan Smith),0.610,0.740
1,14:20,2,5,BAL 30,0,0,Devonta Freeman left guard for 10 yards (tackle by DeAndre Houston-Carson and Tashaun Gipson),0.740,1.600
1,13:45,1,10,BAL 40,0,0,Tyler Huntley right tackle for 1 yard (tackle by Alec Ogletree),1.600,1.190
1,13:05,2,9,BAL 41,0,0,Tyler Huntley pass complete short right to Sammy Watkins for 11 yards (tackle by Kindle Vildor and Trevis Gipson),1.190,2.390
1,12:31,1,10,CHI 48,0,0,Latavius Murray right guard for -1 yards (tackle by Robert Quinn),2.390,1.710
1,11:55,2,11,CHI 49,0,0,Tyler Huntley pass incomplete short left intended for Patrick Ricard,1.710,1.030
1,11:52,3,11,CHI 49,0,0,Tyler Huntley sacked by Robert Quinn for -2 yards,1.030,-0.130
1,11:07,4,13,BAL 49,0,0,Sam Koch punts 37 yards downed by James Proche,-0.130,0.280
1,10:58,1,10,CHI 14,0,0,Justin Fields left end for 8 yards (tackle by Marlon Humphrey),-0.280,0.420
1,10:26,2,2,CHI 22,0,0,Justin Fields pass complete short left to Jakeem Grant for 6 yards (tackle by Brandon Stephens),0.420,0.810
1,10:03,1,10,CHI 28,0,0,David Montgomery right guard for 9 yards (tackle by Chuck Clark),0.810,1.480
1,9:24,2,1,CHI 37,0,0,Justin Fields pass complete deep right to Darnell Mooney for 29 yards,1.480,3.310
1,9:00,1,10,BAL 34,0,0,David Montgomery left tackle for 2 yards (tackle by Justin Ellis and Calais Campbell),3.310,3.040
1,8:11,2,8,BAL 32,0,0,Jakeem Grant left end for 11 yards (tackle by Calais Campbell),3.040,4.170
1,7:31,1,10,BAL 21,0,0,Justin Fields pass incomplete,4.170,3.630
1,7:25,2,10,BAL 21,0,0,David Montgomery left tackle for 5 yards (tackle by Josh Bynes),3.630,3.630
1,6:46,3,5,BAL 16,0,0,David Montgomery right end for -6 yards (tackle by Patrick Queen),3.630,1.990
1,6:05,4,11,BAL 22,0,0,Cairo Santos 40 yard field goal no good,1.990,-0.940
1,5:59,1,10,BAL 30,0,0,Tyler Huntley pass complete short left to Devonta Freeman for 1 yard (tackle by Roquan Smith),0.940,0.530
1,5:21,2,9,BAL 31,0,0,Devonta Freeman right guard for -3 yards (tackle by Roquan Smith),0.530,-0.560
1,4:41,3,12,BAL 28,0,0,Tyler Huntley pass complete deep left to Mark Andrews for 16 yards (tackle by Duke Shelley),-0.560,1.860
1,3:59,1,10,BAL 44,0,0,Latavius Murray right tackle for 4 yards (tackle by Alec Ogletree and Khyiris Tonga),1.860,1.860
1,3:20,2,6,BAL 48,0,0,Latavius Murray right tackle for 1 yard (tackle by Cassius Marsh),1.860,1.290
1,2:44,3,5,BAL 49,0,0,Tyler Huntley sacked by Robert Quinn for -11 yards. Tyler Huntley fumbles (forced by Robert Quinn),1.290,-0.850
1,2:06,4,5,BAL 38,0,0,Sam Koch punts 42 yards downed by Anthony Levine,-0.850,-0.280
1,1:55,1,10,CHI 20,0,0,Justin Fields left end for 3 yards (tackle by Tyus Bowser),0.280,0.140
1,1:19,2,7,CHI 23,0,0,Justin Fields pass incomplete intended for Darnell Mooney (defended by Chris Westry),0.140,-0.560
1,1:12,3,7,CHI 23,0,0,Justin Fields pass incomplete short left intended for Marquise Goodwin,-0.560,-1.830
1,1:08,4,7,CHI 23,0,0,"Pat O'Donnell punts 53 yards, returned by Devin Duvernay for 7 yards (tackle by Marqui Christian)",-1.830,-1.000
1,0:57,1,10,BAL 31,0,0,Devonta Freeman left end for 4 yards (tackle by Eddie Goldman),1.000,1.000
1,0:25,2,6,BAL 35,0,0,Devonta Freeman right guard for 2 yards (tackle by Roquan Smith),1.000,0.560
Quarter,Time,Down,ToGo,Location,BAL,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,BAL 37,0,0,Tyler Huntley pass complete short right to Devonta Freeman for 5 yards (tackle by Christian Jones),0.560,1.730
2,14:31,1,10,BAL 42,0,0,Tyler Huntley pass complete short left to Mark Andrews for 9 yards (tackle by Jaylon Johnson and Roquan Smith),1.730,2.400
2,13:53,2,1,CHI 49,0,0,Latavius Murray right guard for 5 yards (tackle by DeAndre Houston-Carson),2.400,2.650
2,13:12,1,10,CHI 44,0,0,Latavius Murray right guard for 4 yards (tackle by Roquan Smith),2.650,2.650
2,12:37,2,6,CHI 40,0,0,Tyler Huntley sacked by Kindle Vildor for -7 yards,2.650,1.030
2,11:50,3,13,CHI 47,0,0,"Tyler Huntley pass complete short right to Mark Andrews for 8 yards (tackle by Kindle Vildor and Roquan Smith). Penalty on Mark Andrews: Illegal Shift, 5 yards (declined)",1.030,0.660
2,11:15,4,5,CHI 39,0,0,"Penalty on BAL: Delay of Game, 5 yards (accepted) (no play)",0.660,0.330
2,11:15,4,10,CHI 44,0,0,"Sam Koch punts 44 yards, touchback.",0.330,-0.280
2,11:05,1,10,CHI 20,0,0,David Montgomery right guard for 10 yards (tackle by Marlon Humphrey),0.280,0.940
2,10:37,1,10,CHI 30,0,0,David Montgomery left guard for 7 yards (tackle by Patrick Queen),0.940,1.340
2,9:56,2,3,CHI 37,0,0,Justin Fields pass complete deep middle to Marquise Goodwin for 22 yards (tackle by Chris Westry),1.340,2.850
2,9:15,1,10,BAL 41,0,0,David Montgomery right tackle for 5 yards (tackle by Patrick Queen),2.850,2.980
2,8:33,2,5,BAL 36,0,0,"Justin Fields sacked by Tyus Bowser for no gain. Justin Fields fumbles (forced by Tyus Bowser), recovered by Calais Campbell at BAL-34",2.980,-1.200
2,8:27,1,10,BAL 34,0,0,Tyler Huntley left tackle for 2 yards (tackle by Angelo Blackson),1.200,0.930
2,7:50,2,8,BAL 36,0,0,Tyler Huntley pass complete short right to Devin Duvernay for -2 yards (tackle by Roquan Smith),0.930,-0.030
2,7:03,3,10,BAL 34,0,0,Tyler Huntley scrambles left end for 19 yards (tackle by DeAndre Houston-Carson),-0.030,2.460
2,6:24,1,10,CHI 47,0,0,Devonta Freeman right tackle for no gain (tackle by Khyiris Tonga),2.460,1.910
2,5:41,2,10,CHI 47,0,0,Tyler Huntley pass complete short middle to Mark Andrews for 11 yards (tackle by Kindle Vildor),1.910,3.180
2,5:01,1,10,CHI 36,0,0,Tyler Huntley pass complete short middle to Mark Andrews for 11 yards (tackle by DeAndre Houston-Carson),3.180,3.910
2,4:18,1,10,CHI 25,0,0,Tyler Huntley pass complete short left to Rashod Bateman for 2 yards (tackle by Roquan Smith),3.910,3.630
2,3:41,2,8,CHI 23,0,0,Tyler Huntley pass complete short middle to Latavius Murray for 3 yards (tackle by Roquan Smith),3.630,3.340
2,3:03,3,5,CHI 20,0,0,Tyler Huntley left end for 3 yards (tackle by Alec Ogletree),3.340,2.440
2,2:18,4,2,CHI 17,3,0,Justin Tucker 35 yard field goal good,2.440,3.000
2,2:11,,,BAL 35,3,0,"Justin Tucker kicks off 61 yards, returned by Khalil Herbert for 17 yards (tackle by Kristian Welch)",0.000,0.340
2,2:06,1,10,CHI 21,3,0,Justin Fields left end for 6 yards (tackle by Patrick Queen),0.340,0.610
2,2:00,2,4,CHI 27,3,0,Justin Fields pass incomplete short middle intended for Marquise Goodwin,0.610,-0.100
2,1:57,3,4,CHI 27,3,0,"Justin Fields sacked by Tyus Bowser for no gain. Penalty on Marlon Humphrey: Defensive Holding, 5 yards (accepted) (no play)",-0.100,1.070
2,1:49,1,10,CHI 32,3,0,David Montgomery left guard for 4 yards (tackle by Justin Houston and Tyus Bowser),1.070,1.070
2,1:30,2,6,CHI 36,3,0,Justin Fields pass incomplete short left intended for Darnell Mooney (defended by Marlon Humphrey),1.070,0.370
2,1:25,3,6,CHI 36,3,0,Justin Fields pass incomplete short middle intended for Darnell Mooney,0.370,-0.980
2,1:17,4,6,CHI 36,3,0,"Pat O'Donnell punts 40 yards, returned by Devin Duvernay for 12 yards (tackle by Ryan Nall)",-0.980,-1.330
2,1:07,1,10,BAL 36,3,0,Tyler Huntley pass incomplete short left intended for Sammy Watkins (defended by Jaylon Johnson),1.330,0.790
2,1:03,2,10,BAL 36,3,0,Tyler Huntley pass complete short middle to Rashod Bateman for 12 yards (tackle by Roquan Smith),0.790,2.130
2,0:55,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:55,1,10,BAL 48,3,0,Tyler Huntley pass incomplete short right intended for Devin Duvernay,2.130,1.580
2,0:51,2,10,BAL 48,3,0,Tyler Huntley pass incomplete deep right intended for Rashod Bateman,1.580,0.890
2,0:46,3,10,BAL 48,3,0,"Tyler Huntley pass complete short left to Devin Duvernay for 9 yards (tackle by Jaylon Johnson) Replay Assistant challenged the first down ruling, and the play was upheld.",0.890,0.400
2,0:42,4,1,CHI 43,3,0,Tyler Huntley left end for 8 yards (tackle by Marqui Christian),0.400,3.250
2,0:24,1,10,CHI 35,3,0,Tyler Huntley pass complete short right to Rashod Bateman for 15 yards (tackle by Kindle Vildor),3.250,4.240
