Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Football Team to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 63 yards, returned by DeAndre Carter for 21 yards (tackle by Nate Ebner)",0.000,0.480
1,14:56,1,10,WAS 23,0,0,Taylor Heinicke pass incomplete deep left intended for Logan Thomas,0.480,-0.070
1,14:51,2,10,WAS 23,0,0,Taylor Heinicke pass complete short right to Terry McLaurin for 7 yards (tackle by James Bradberry),-0.070,0.170
1,14:21,3,3,WAS 30,0,0,Taylor Heinicke sacked by Azeez Ojulari for -16 yards,0.170,-2.470
1,13:41,4,19,WAS 14,0,0,"Tress Way punts 55 yards, returned by Jabrill Peppers for no gain (tackle by James Smith-Williams). Penalty on Keion Crossen: Offensive Holding, 10 yards (accepted)",-2.470,-0.340
1,13:30,1,10,NYG 21,0,0,Saquon Barkley right guard for 5 yards (tackle by Landon Collins),0.340,0.480
1,12:56,2,5,NYG 26,0,0,Daniel Jones pass complete short middle to Kyle Rudolph for 12 yards (tackle by Jonathan Bostic and Landon Collins),0.480,1.470
1,12:20,1,10,NYG 38,0,0,Daniel Jones pass complete deep middle to Kenny Golladay for 16 yards (tackle by William Jackson),1.470,2.520
1,11:57,1,10,WAS 46,0,0,Daniel Jones scrambles right end for 2 yards (tackle by Chase Young),2.520,2.250
1,11:25,2,8,WAS 44,0,0,Daniel Jones sacked by Jonathan Allen for -2 yards,2.250,1.290
1,10:42,3,10,WAS 46,0,0,Daniel Jones pass complete short left to Sterling Shepard for 13 yards (tackle by Kendall Fuller),1.290,3.380
1,10:09,1,10,WAS 33,0,0,Daniel Jones pass complete short left to Sterling Shepard for 4 yards (tackle by William Jackson),3.380,3.380
1,9:34,2,6,WAS 29,0,0,Daniel Jones left end for 15 yards (tackle by Landon Collins),3.380,4.650
1,9:00,1,10,WAS 14,0,0,Saquon Barkley right end for -2 yards (tackle by James Smith-Williams and Kamren Curl),4.650,3.720
1,8:22,2,12,WAS 16,0,0,"Daniel Jones pass incomplete short middle intended for Sterling Shepard. Penalty on Chase Young: Roughing the Passer, 8 yards (accepted) (no play)",3.720,5.370
1,8:17,1,8,WAS 8,0,0,Saquon Barkley for 2 yards (tackle by Jonathan Allen and Matthew Ioannidis),5.370,4.950
1,7:40,2,6,WAS 6,6,0,"Daniel Jones up the middle for 6 yards, touchdown",4.950,7.000
1,7:35,3,6,WAS 6,7,0,Graham Gano kicks extra point good,0.000,0.000
1,7:35,,,NYG 35,7,0,"Graham Gano kicks off 62 yards, returned by DeAndre Carter for 27 yards (tackle by Elijhaa Penny)",0.000,0.940
1,7:30,1,10,WAS 30,7,0,Taylor Heinicke pass complete short right to Logan Thomas for 5 yards (tackle by Xavier McKinney and Blake Martinez),0.940,1.070
1,6:56,2,5,WAS 35,7,0,Antonio Gibson left guard for 1 yard (tackle by Lorenzo Carter and Jabrill Peppers),1.070,0.500
1,6:15,3,4,WAS 36,7,0,Taylor Heinicke pass incomplete short right,0.500,-0.980
1,6:08,4,4,WAS 36,7,0,"Tress Way punts 48 yards, returned by Jabrill Peppers for 8 yards (tackle by David Mayo)",-0.980,-0.540
1,5:57,1,10,NYG 24,7,0,Daniel Jones pass incomplete short right intended for Saquon Barkley,0.540,0.000
1,5:52,2,10,NYG 24,7,0,Saquon Barkley right end for 41 yards (tackle by Kamren Curl),0.000,3.250
1,5:11,1,10,WAS 35,7,0,C.J. Board left end for 6 yards (tackle by Bobby McCain),3.250,3.510
1,4:35,2,4,WAS 29,7,0,Devontae Booker for 2 yards (tackle by Daron Payne),3.510,3.070
1,3:49,,,,,,Timeout #1 by New York Giants,,
1,3:49,3,2,WAS 27,7,0,"Penalty on Andrew Thomas: False Start, 5 yards (accepted) (no play)",3.070,2.410
1,3:49,3,7,WAS 32,7,0,Daniel Jones sacked by Montez Sweat for -6 yards,2.410,0.720
1,3:20,4,13,WAS 38,7,0,Riley Dixon punts 28 yards downed by Keion Crossen,0.720,0.380
1,3:17,1,10,WAS 10,7,0,Antonio Gibson for 6 yards (tackle by Lorenzo Carter and Blake Martinez),-0.380,-0.230
1,2:36,2,4,WAS 16,7,0,Taylor Heinicke pass complete deep middle to Dyami Brown for 22 yards (tackle by Blake Martinez),-0.230,1.470
1,1:55,1,10,WAS 38,7,0,DeAndre Carter for 2 yards (tackle by Lorenzo Carter and Leonard Williams),1.470,1.190
1,1:10,2,8,WAS 40,7,0,Taylor Heinicke pass complete to Terry McLaurin for 12 yards (tackle by Blake Martinez and Jabrill Peppers),1.190,2.390
1,0:37,1,10,NYG 48,7,0,Antonio Gibson for 5 yards (tackle by Danny Shelton and Reggie Ragland),2.390,2.520
1,0:08,2,5,NYG 43,7,0,Taylor Heinicke pass complete short right to Terry McLaurin for 4 yards (tackle by Blake Martinez),2.520,2.340
