Quarter,Time,Down,ToGo,Location,LAR,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, returned by Isaiah Rodgers for 41 yards (tackle by Ernest Jones)",0.000,1.660
1,14:50,1,10,IND 41,0,0,Carson Wentz pass complete short right to Michael Pittman for 14 yards (tackle by Kenny Young),1.660,2.590
1,14:14,1,10,LAR 45,0,0,Carson Wentz pass complete short middle to Ashton Dulin for 10 yards (tackle by Taylor Rapp),2.590,3.250
1,13:36,1,10,LAR 35,0,0,Carson Wentz pass complete short right to Michael Pittman for 9 yards (tackle by David Long),3.250,3.920
1,12:55,2,1,LAR 26,0,0,Jonathan Taylor right guard for 3 yards (tackle by Leonard Floyd and Aaron Donald),3.920,4.040
1,12:17,1,10,LAR 23,0,0,Jonathan Taylor up the middle for 4 yards (tackle by Sebastian Joseph-Day),4.040,4.050
1,11:33,2,6,LAR 19,0,0,Carson Wentz pass complete short right to Jack Doyle for 5 yards (tackle by Darious Williams),4.050,4.280
1,10:52,3,1,LAR 14,0,0,Jonathan Taylor left guard for 13 yards (tackle by Troy Reeder and Kenny Young),4.280,6.970
1,10:07,1,1,LAR 1,0,0,Jonathan Taylor up the middle for no gain (tackle by Justin Hollins and Aaron Donald),6.970,5.910
1,9:22,2,1,LAR 1,0,0,Jonathan Taylor up the middle for no gain (tackle by Aaron Donald and Ernest Jones),5.910,5.170
1,8:43,3,1,LAR 1,0,0,Jonathan Taylor up the middle for no gain (tackle by Taylor Rapp and Sebastian Joseph-Day),5.170,3.550
1,8:21,4,1,LAR 1,0,0,Carson Wentz sacked by Leonard Floyd for -9 yards,3.550,0.380
1,8:13,1,10,LAR 10,0,0,Darrell Henderson left end for 2 yards (tackle by T.J. Carrie),-0.380,-0.630
1,7:31,2,8,LAR 12,0,0,Matthew Stafford pass complete short middle to Robert Woods for 16 yards (tackle by T.J. Carrie),-0.630,0.810
1,6:47,1,10,LAR 28,0,0,Matthew Stafford pass complete short left to Darrell Henderson for 23 yards (tackle by Julian Blackmon and Bobby Okereke),0.810,2.320
1,6:10,1,10,IND 49,0,0,Matthew Stafford pass complete short middle to Van Jefferson for 14 yards (tackle by T.J. Carrie),2.320,3.250
1,5:27,1,10,IND 35,0,0,Darrell Henderson right tackle for 2 yards (tackle by Kwity Paye and DeForest Buckner),3.250,2.970
1,4:43,2,8,IND 33,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 13 yards (tackle by T.J. Carrie and Julian Blackmon),2.970,4.240
1,4:06,1,10,IND 20,0,0,Darrell Henderson left guard for 4 yards (tackle by DeForest Buckner),4.240,4.280
1,3:23,2,6,IND 16,6,0,"Matthew Stafford pass complete deep left to Cooper Kupp for 16 yards, touchdown",4.280,7.000
1,3:18,,,IND 15,7,0,Matt Gay kicks extra point good,0.000,0.000
1,3:18,,,LAR 35,7,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,3:18,1,10,IND 25,7,0,Carson Wentz sacked by and Taylor Rapp for -8 yards and Greg Gaines for -8 yards,0.610,-1.150
1,2:39,2,18,IND 17,7,0,"Penalty on Julie'n Davenport: False Start, 5 yards (accepted) (no play)",-1.150,-1.730
1,2:19,2,23,IND 12,7,0,Carson Wentz pass complete short middle to Zach Pascal for 9 yards (tackle by Jordan Fuller),-1.730,-1.150
1,1:33,3,14,IND 21,7,0,Carson Wentz pass complete deep right to Michael Pittman for 42 yards (tackle by Jordan Fuller),-1.150,3.180
1,0:52,1,10,LAR 36,7,0,Jonathan Taylor up the middle for 5 yards (tackle by Troy Reeder and Sebastian Joseph-Day),3.180,3.180
1,0:04,2,6,LAR 32,7,0,Carson Wentz pass complete short right to Jonathan Taylor for 2 yards (tackle by Darious Williams and Leonard Floyd),3.180,2.740
Quarter,Time,Down,ToGo,Location,LAR,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,LAR 30,7,0,Carson Wentz pass incomplete short left intended for Nyheim Hines,2.740,1.460
2,14:57,4,4,LAR 30,7,3,Rodrigo Blankenship 48 yard field goal good,1.460,3.000
2,14:52,,,IND 35,7,3,"Rigoberto Sanchez kicks off 64 yards, returned by Jake Funk for 21 yards (tackle by George Odum and Matthew Adams)",0.000,0.410
2,14:48,1,10,LAR 22,7,3,Matthew Stafford pass incomplete short left,0.410,-0.130
2,14:42,2,10,LAR 22,7,3,Matthew Stafford pass deep middle (defended by Tyquan Lewis) intended for Cooper Kupp is intercepted by Khari Willis at LA-42 and returned for no gain,-0.130,-2.790
2,14:37,1,10,LAR 42,7,3,Jonathan Taylor left guard for 2 yards (tackle by Sebastian Joseph-Day and Aaron Donald),2.790,2.510
2,13:57,2,8,LAR 40,7,3,Carson Wentz pass complete short left to Mo Alie-Cox for 18 yards (tackle by Kenny Young),2.510,4.110
2,13:10,1,10,LAR 22,7,3,Jonathan Taylor up the middle for 8 yards (tackle by Darious Williams),4.110,4.850
2,12:26,2,2,LAR 14,7,3,Jonathan Taylor up the middle for 4 yards (tackle by Taylor Rapp and Jordan Fuller),4.850,4.910
2,11:42,1,10,LAR 10,7,3,Carson Wentz pass complete short right to Michael Pittman for 7 yards (tackle by Darious Williams),4.910,5.530
2,11:03,2,3,LAR 3,7,3,Jonathan Taylor left guard for no gain (tackle by Sebastian Joseph-Day and Leonard Floyd),5.530,4.720
2,10:15,3,3,LAR 3,7,3,Carson Wentz pass short middle intended for Jack Doyle is intercepted by Troy Reeder at LA-3 and returned for 2 yards (tackle by Julie'n Davenport),4.720,0.380
2,10:09,1,10,LAR 5,7,3,Matthew Stafford pass complete short right to Cooper Kupp for 9 yards (tackle by Khari Willis),-0.380,-0.100
