Quarter,Time,Down,ToGo,Location,CHI,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 61 yards, returned by Jakeem Grant for 24 yards (tackle by Roderic Teamer)",0.000,0.810
1,14:51,1,10,CHI 28,0,0,Damien Williams left end for 6 yards (tackle by Yannick Ngakoue),0.810,1.070
1,14:10,2,4,CHI 34,0,0,"Penalty on Germain Ifedi: False Start, 5 yards (accepted) (no play)",1.070,0.400
1,13:52,2,9,CHI 29,0,0,Damien Williams up the middle for 1 yard (tackle by Denzel Perryman),0.400,-0.160
1,13:09,3,8,CHI 30,0,0,Justin Fields pass incomplete short right intended for Damien Williams,-0.160,-1.370
1,13:05,4,8,CHI 30,0,0,"Pat O'Donnell punts 43 yards, fair catch by Hunter Renfrow at LV-27",-1.370,-0.740
1,12:58,1,10,LVR 27,0,0,Josh Jacobs up the middle for no gain (tackle by Robert Quinn),0.740,0.200
1,12:28,2,10,LVR 27,0,0,Derek Carr pass incomplete short middle intended for Hunter Renfrow,0.200,-0.490
1,12:23,3,10,LVR 27,0,0,Derek Carr pass complete short right to Hunter Renfrow for 3 yards (tackle by Roquan Smith),-0.490,-1.370
1,11:50,4,7,LVR 30,0,0,"AJ Cole punts 68 yards, returned by Jakeem Grant for 17 yards (tackle by Dallin Leavitt and Nick Kwiatkoski)",-1.370,-0.150
1,11:35,1,10,CHI 19,0,0,Damien Williams left tackle for 1 yard (tackle by K.J. Wright and Quinton Jefferson),0.150,-0.200
1,10:57,2,9,CHI 20,0,0,Justin Fields pass incomplete deep left intended for Cole Kmet,-0.200,-0.940
1,10:52,3,9,CHI 20,0,0,"Penalty on Yannick Ngakoue: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.940,-0.290
1,10:52,3,4,CHI 25,0,0,Justin Fields up the middle for 3 yards (tackle by Johnathan Abram),-0.290,-1.500
1,10:16,4,1,CHI 28,0,0,"Pat O'Donnell punts 53 yards, fair catch by Hunter Renfrow at LV-19",-1.500,-0.150
1,10:08,1,10,LVR 19,0,0,Derek Carr pass complete short left to Bryan Edwards for 12 yards (tackle by Robert Quinn),0.150,1.000
1,9:39,1,10,LVR 31,0,0,Josh Jacobs right guard for 3 yards (tackle by Alec Ogletree),1.000,0.870
1,9:07,2,7,LVR 34,0,0,"Derek Carr pass complete short middle to Kenyan Drake for no gain (tackle by Kindle Vildor). Penalty on Alex Leatherwood: Offensive Holding (declined) . Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",0.870,-0.490
1,8:40,2,17,LVR 24,0,0,Derek Carr pass complete short left to Josh Jacobs for 8 yards (tackle by Alec Ogletree),-0.490,-0.100
1,7:58,3,9,LVR 32,0,0,Derek Carr pass complete short right to Darren Waller for 29 yards (tackle by Eddie Jackson),-0.100,2.980
1,7:21,,,,,,Timeout #1 by Chicago Bears,,
1,7:21,1,10,CHI 39,0,0,Derek Carr pass complete short left to Hunter Renfrow for 9 yards (tackle by Roquan Smith),2.980,3.660
1,6:42,2,1,CHI 30,0,0,Josh Jacobs left tackle for 11 yards (tackle by Jaylon Johnson),3.660,4.310
1,6:02,1,10,CHI 19,0,0,Derek Carr pass incomplete deep middle intended for Bryan Edwards (defended by Roquan Smith),4.310,3.750
1,5:55,2,10,CHI 19,0,0,Kenyan Drake right guard for 3 yards (tackle by Alec Ogletree),3.750,3.410
1,5:16,3,7,CHI 16,0,0,Kenyan Drake left tackle for 8 yards (tackle by Alec Ogletree),3.410,5.370
1,4:57,1,8,CHI 8,0,0,Josh Jacobs up the middle for 6 yards (tackle by Deon Bush),5.370,5.720
1,4:22,,,,,,Timeout #1 by Las Vegas Raiders,,
1,4:22,2,2,CHI 2,0,0,"Josh Jacobs right end for no gain, touchdown. Penalty on Brandon Parker: Offensive Holding (declined) . Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted) (no play)",5.720,3.860
1,4:16,2,12,CHI 12,0,0,Derek Carr pass incomplete short right intended for Josh Jacobs (defended by Deon Bush),3.860,3.100
1,4:09,3,12,CHI 12,0,0,Derek Carr pass incomplete short middle intended for Bryan Edwards,3.100,2.630
1,4:05,4,12,CHI 12,0,3,Daniel Carlson 31 yard field goal good,2.630,3.000
1,4:00,,,LVR 35,0,3,"Daniel Carlson kicks off 69 yards, returned by Jakeem Grant for 32 yards (tackle by Nick Kwiatkoski)",0.000,0.810
1,3:53,1,10,CHI 28,0,3,Justin Fields aborted snap. Justin Fields fumbles out of bounds,0.810,-0.680
1,3:24,2,17,CHI 21,0,3,"Penalty on CHI: Delay of Game, 5 yards (accepted) (no play)",-0.680,-1.510
1,3:09,2,22,CHI 16,0,3,"Justin Fields pass complete short right to Allen Robinson for 4 yards (tackle by Amik Robertson). Penalty on Yannick Ngakoue: Roughing the Passer, 15 yards (accepted)",-1.510,1.270
