Quarter,Time,Down,ToGo,Location,ATL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIA 25,0,0,Malcolm Brown up the middle for 4 yards (tackle by Grady Jarrett),0.610,0.600
1,14:24,2,6,MIA 29,0,0,Tua Tagovailoa pass complete short right to Malcolm Brown for -1 yards (tackle by Deion Jones),0.600,-0.230
1,13:44,3,7,MIA 28,0,0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 9 yards (tackle by Chris Williamson),-0.230,1.400
1,13:24,1,10,MIA 37,0,0,Malcolm Brown right guard for 3 yards (tackle by Tyeler Davison and Chris Williamson),1.400,1.260
1,12:50,2,7,MIA 40,0,0,Malcolm Brown up the middle for 3 yards (tackle by Duron Harmon),1.260,0.960
1,12:09,3,4,MIA 43,0,0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 17 yards (tackle by Erik Harris),0.960,2.920
1,11:45,1,10,ATL 40,0,0,Myles Gaskin left guard for 6 yards (tackle by Deion Jones),2.920,3.180
1,11:13,2,4,ATL 34,0,0,Myles Gaskin right tackle for 5 yards (tackle by Jonathan Bullard),3.180,3.640
1,10:50,1,10,ATL 29,0,0,Tua Tagovailoa pass complete short middle to Adam Shaheen for 5 yards (tackle by Foyesade Oluokun and Deion Jones),3.640,3.780
1,10:11,2,5,ATL 24,0,0,Tua Tagovailoa pass complete short left to Myles Gaskin for 2 yards (tackle by Foyesade Oluokun),3.780,3.340
1,9:27,3,3,ATL 22,0,0,Tua Tagovailoa pass complete short middle to Mike Gesicki for 10 yards (tackle by Erik Harris),3.340,4.780
1,8:45,1,10,ATL 12,0,0,Myles Gaskin up the middle for 2 yards (tackle by Duron Harmon and AJ Terrell),4.780,4.450
1,8:05,2,8,ATL 10,0,0,Tua Tagovailoa pass incomplete short left intended for Preston Williams (defended by Fabian Moreau),4.450,3.480
1,7:58,3,8,ATL 10,0,6,"Tua Tagovailoa pass complete short middle to Isaiah Ford for 10 yards, touchdown",3.480,7.000
1,7:53,,,ATL 15,0,7,Jason Sanders kicks extra point good,0.000,0.000
1,7:53,,,MIA 35,0,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,7:53,1,10,ATL 25,0,7,Cordarrelle Patterson right tackle for 1 yard (tackle by Andrew Van Ginkel and Raekwon Davis),0.610,0.200
1,7:12,2,9,ATL 26,0,7,Matt Ryan pass complete short right to Cordarrelle Patterson for -3 yards (tackle by Elandon Roberts and Raekwon Davis),0.200,-0.890
1,6:31,3,12,ATL 23,0,7,"Matt Ryan pass incomplete deep left intended for Calvin Ridley. Penalty on Mike Davis: Offensive Pass Interference, 10 yards (declined)",-0.890,-1.830
1,6:20,4,12,ATL 23,0,7,"Dustin Colquitt punts 50 yards, fair catch by Jevon Holland at MIA-27",-1.830,-0.740
1,6:12,1,10,MIA 27,0,7,Tua Tagovailoa pass incomplete deep left intended for Mack Hollins (defended by Fabian Moreau),0.740,0.200
1,6:06,2,10,MIA 27,0,7,Tua Tagovailoa pass complete short left to Myles Gaskin for no gain (tackle by Foyesade Oluokun and AJ Terrell),0.200,-0.490
1,5:28,3,10,MIA 27,0,7,Tua Tagovailoa pass complete short left to Adam Shaheen for 7 yards (tackle by Deion Jones),-0.490,-1.110
1,4:47,4,3,MIA 34,0,7,"Michael Palardy punts 49 yards, fair catch by Olamide Zaccheaus at ATL-17",-1.110,0.060
1,4:38,1,10,ATL 17,0,7,Matt Ryan pass complete short right to Kyle Pitts for 23 yards (tackle by Jevon Holland),-0.060,1.600
1,4:04,1,10,ATL 40,0,7,Matt Ryan pass complete short right to Hayden Hurst for 11 yards (tackle by Andrew Van Ginkel),1.600,2.320
1,3:36,1,10,MIA 49,0,7,Cordarrelle Patterson left guard for 7 yards (tackle by Brandon Jones),2.320,2.730
1,2:59,2,3,MIA 42,0,7,Matt Ryan pass incomplete short left intended for Calvin Ridley,2.730,2.020
1,2:56,3,3,MIA 42,0,7,Mike Davis up the middle for 3 yards (tackle by Eric Rowe and Jerome Baker),2.020,2.980
1,2:13,1,10,MIA 39,0,7,Matt Ryan pass complete short middle to Lee Smith for 7 yards (tackle by Elandon Roberts),2.980,3.390
1,1:32,2,3,MIA 32,0,7,Cordarrelle Patterson up the middle for 13 yards (tackle by Eric Rowe and Byron Jones),3.390,4.310
1,0:50,1,10,MIA 19,0,7,Matt Ryan sacked by Jevon Holland for -11 yards,4.310,2.280
1,0:10,2,21,MIA 30,0,7,Matt Ryan pass complete short right to Russell Gage for 2 yards (tackle by Jevon Holland),2.280,1.880
Quarter,Time,Down,ToGo,Location,ATL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,19,MIA 28,0,7,Matt Ryan pass complete short middle to Kyle Pitts for 13 yards (tackle by Eric Rowe and Brandon Jones),1.880,2.470
2,14:17,4,6,MIA 15,3,7,Younghoe Koo 33 yard field goal good,2.470,3.000
2,14:13,,,ATL 35,3,7,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
2,14:13,1,10,MIA 25,3,7,Tua Tagovailoa pass complete short right to Mike Gesicki for 2 yards (tackle by Deion Jones),0.610,0.330
2,13:34,2,8,MIA 27,3,7,Tua Tagovailoa scrambles up the middle for 8 yards (tackle by Deion Jones),0.330,1.270
2,12:52,1,10,MIA 35,3,7,Tua Tagovailoa pass complete short middle to Mike Gesicki for 15 yards (tackle by Duron Harmon and AJ Terrell),1.270,2.260
2,12:09,1,10,MIA 50,3,7,Salvon Ahmed right guard for 3 yards (tackle by Grady Jarrett),2.260,2.120
2,11:24,2,7,ATL 47,3,7,Tua Tagovailoa pass complete short right to Salvon Ahmed for 9 yards (tackle by Foyesade Oluokun),2.120,3.050
2,10:44,1,10,ATL 38,3,7,Salvon Ahmed left end for 7 yards (tackle by Foyesade Oluokun and Fabian Moreau),3.050,3.450
2,10:12,2,3,ATL 31,3,7,Tua Tagovailoa pass incomplete short right intended for Preston Williams (defended by AJ Terrell),3.450,2.740
2,10:06,3,3,ATL 31,3,7,Tua Tagovailoa pass incomplete short left intended for Mike Gesicki (defended by Fabian Moreau),2.740,1.380
2,10:03,4,3,ATL 31,3,7,Jason Sanders 49 yard field goal no good blocked by Adetokunbo Ogundeji,1.380,-1.530
2,9:56,1,10,ATL 39,3,7,Cordarrelle Patterson up the middle for 1 yard (tackle by Zach Sieler and Christian Wilkins),1.530,1.120
2,9:16,2,9,ATL 40,3,7,Matt Ryan pass incomplete short right intended for Cordarrelle Patterson (defended by Emmanuel Ogbah),1.120,0.430
2,9:12,3,9,ATL 40,3,7,Matt Ryan pass complete short left to Russell Gage for 12 yards (tackle by Byron Jones),0.430,2.390
2,8:29,1,10,MIA 48,3,7,Matt Ryan pass complete short right to Keith Smith for 6 yards (tackle by Elandon Roberts and Christian Wilkins),2.390,2.660
2,7:50,2,4,MIA 42,3,7,Matt Ryan pass complete short right to Olamide Zaccheaus for 13 yards (tackle by Xavien Howard),2.660,3.640
2,7:08,1,10,MIA 29,3,7,Mike Davis right end for 2 yards (tackle by Andrew Van Ginkel and Samuel Eguavoen),3.640,3.370
2,6:25,2,8,MIA 27,3,7,Matt Ryan pass complete short middle to Hayden Hurst for 15 yards (tackle by Jevon Holland),3.370,4.780
2,5:41,1,10,MIA 12,3,7,Matt Ryan pass incomplete short right intended for Calvin Ridley,4.780,4.100
2,5:36,2,10,MIA 12,3,7,Cordarrelle Patterson right guard for 7 yards (tackle by Elandon Roberts and Eric Rowe),4.100,4.610
2,4:53,3,3,MIA 5,9,7,"Matt Ryan pass complete to Calvin Ridley for 5 yards, touchdown",4.610,7.000
2,4:47,,,MIA 15,10,7,Younghoe Koo kicks extra point good,0.000,0.000
2,4:47,,,ATL 35,10,7,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
2,4:47,1,10,MIA 25,10,7,Myles Gaskin right tackle for 5 yards (tackle by Foyesade Oluokun),0.610,0.740
2,4:15,2,5,MIA 30,10,7,Tua Tagovailoa pass complete short left to Jaylen Waddle for 7 yards (tackle by Richie Grant),0.740,1.400
2,3:37,1,10,MIA 37,10,7,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 19 yards (tackle by AJ Terrell),1.400,2.650
2,3:03,1,10,ATL 44,10,7,Salvon Ahmed up the middle for 2 yards (tackle by Foyesade Oluokun and Tyeler Davison),2.650,2.380
2,3:03,2,8,ATL 42,10,7,"Penalty on Liam Eichenberg: False Start, 5 yards (accepted) (no play)",2.380,1.710
2,2:16,2,13,ATL 47,10,7,"Tua Tagovailoa pass complete short right to Preston Williams for 5 yards (tackle by Foyesade Oluokun and Adetokunbo Ogundeji). Penalty on Adetokunbo Ogundeji: Face Mask (15 Yards), 15 yards (accepted)",1.710,3.780
