Quarter,Time,Down,ToGo,Location,TAM,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Bradley Pinion kicks off 64 yards, out of bounds",0.000,1.600
1,15:00,1,10,NWE 40,0,0,Mac Jones pass complete short right to Hunter Henry for 7 yards (tackle by Richard Sherman),1.600,2.000
1,14:42,2,3,NWE 47,0,0,Mac Jones pass complete short right to Kendrick Bourne for 4 yards (tackle by Richard Sherman),2.000,2.320
1,14:13,1,10,TAM 49,0,0,Mac Jones pass complete short right to Hunter Henry for 5 yards (tackle by Lavonte David),2.320,2.460
1,13:51,2,5,TAM 44,0,0,Mac Jones sacked by Joe Tryon-Shoyinka for -4 yards,2.460,1.220
1,13:11,3,9,TAM 48,0,0,Mac Jones pass incomplete short middle intended for Nelson Agholor (defended by Carlton Davis),1.220,0.070
1,13:04,4,9,TAM 48,0,0,Jake Bailey punts 37 yards downed by Jakob Johnson,0.070,0.370
1,12:54,1,10,TAM 11,0,0,Tom Brady pass incomplete deep middle intended for Mike Evans,-0.370,-0.780
1,12:50,2,10,TAM 11,0,0,Tom Brady pass complete short right to Mike Evans for 8 yards (tackle by J.C. Jackson),-0.780,-0.480
1,12:10,3,2,TAM 19,0,0,Leonard Fournette up the middle for 21 yards (tackle by Jonathan Jones),-0.480,1.600
1,11:37,1,10,TAM 40,0,0,Leonard Fournette for -1 yards (tackle by Kyle Dugger and Deatrich Wise),1.600,0.920
1,10:54,2,11,TAM 39,0,0,Tom Brady pass complete short right to Antonio Brown for 6 yards (tackle by Jonathan Jones),0.920,1.030
1,10:09,3,5,TAM 45,0,0,Tom Brady pass incomplete deep right intended for Cameron Brate,1.030,-0.390
1,10:04,4,5,TAM 45,0,0,Bradley Pinion punts 55 yards,-0.390,-0.280
1,9:55,1,10,NWE 20,0,0,Damien Harris for -4 yards (tackle by Lavonte David),0.280,-0.940
1,9:31,2,14,NWE 16,0,0,"Mac Jones pass complete short middle to Jakobi Meyers for no gain. Jakobi Meyers fumbles (forced by Shaquil Barrett), recovered by Devin White at NE-24 (tackle by Isaiah Wynn) Replay Assistant challenged the fumble ruling, and the original play was overturned. Mac Jones pass incomplete intended for Jakobi Meyers (defended by Shaquil Barrett)",-0.940,-1.690
1,9:27,3,14,NWE 16,0,0,Mac Jones pass complete short middle to Brandon Bolden for 7 yards (tackle by Ross Cockrell and Mike Edwards),-1.690,-1.830
1,8:53,4,7,NWE 23,0,0,"Jake Bailey punts 49 yards, returned by Jaydon Mickens for no gain (tackle by Matthew Slater). Penalty on Rashard Robinson: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.830,-0.040
1,8:42,1,10,TAM 18,0,0,Leonard Fournette left end for 11 yards (tackle by J.C. Jackson),0.040,0.870
1,8:04,1,10,TAM 29,0,0,Tom Brady pass incomplete deep middle intended for Mike Evans (defended by J.C. Jackson),0.870,0.330
1,7:59,2,10,TAM 29,0,0,Tom Brady pass complete short left to Leonard Fournette for 13 yards (tackle by Dont'a Hightower and J.C. Jackson),0.330,1.730
1,7:23,1,10,TAM 42,0,0,Ronald Jones up the middle for 3 yards (tackle by Deatrich Wise),1.730,1.930
1,6:43,1,10,TAM 45,0,0,Tom Brady pass complete to Mike Evans for 13 yards (tackle by J.C. Jackson),1.930,2.790
1,6:10,1,10,NWE 42,0,0,Tom Brady pass complete deep middle to Mike Evans for 28 yards (tackle by Devin McCourty),2.790,4.650
1,5:20,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
1,5:20,1,10,NWE 14,0,0,Tom Brady pass complete to Antonio Brown for 3 yards (tackle by Jalen Mills),4.650,4.520
1,5:02,2,7,NWE 11,0,0,Tom Brady pass incomplete short middle intended for Codey McElroy,4.520,3.620
1,4:57,3,7,NWE 11,0,0,Tom Brady pass incomplete short middle intended for Cameron Brate,3.620,2.700
1,4:53,4,7,NWE 11,3,0,Ryan Succop 29 yard field goal good,2.700,3.000
1,4:49,,,TAM 35,3,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,4:49,1,10,NWE 25,3,0,Mac Jones pass complete short middle to Kendrick Bourne for 17 yards (tackle by Devin White and Antoine Winfield),0.610,1.730
1,4:20,1,10,NWE 42,3,0,J.J. Taylor left tackle for no gain (tackle by William Gholston),1.730,1.190
1,3:55,2,10,NWE 42,3,0,Mac Jones pass incomplete short middle intended for Hunter Henry,1.190,0.500
1,3:46,3,10,NWE 42,3,0,Mac Jones pass deep middle (defended by Ross Cockrell) intended for Nelson Agholor is intercepted by Antoine Winfield at TB-34 and returned for no gain (tackle by Nelson Agholor),0.500,-1.200
1,3:39,1,10,TAM 34,3,0,Leonard Fournette for 4 yards (tackle by Kyle Dugger),1.200,1.130
1,3:11,2,7,TAM 38,3,0,Tom Brady pass incomplete deep right intended for Tyler Johnson,1.130,0.500
1,3:07,3,6,TAM 38,3,0,"Penalty on NWE: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",0.500,1.160
1,3:07,3,1,TAM 43,3,0,Leonard Fournette up the middle for 3 yards (tackle by Deatrich Wise),1.160,1.990
1,2:36,1,10,TAM 46,3,0,Tom Brady pass complete short right to Mike Evans for 6 yards (tackle by J.C. Jackson),1.990,2.260
1,1:57,2,4,NWE 48,3,0,Tom Brady pass complete short right to Mike Evans for no gain (tackle by Kyle Van Noy),2.260,1.550
1,1:10,3,4,NWE 48,3,0,Tom Brady pass complete deep left to Antonio Brown for 27 yards (tackle by Jonathan Jones),1.550,4.170
1,0:35,1,10,NWE 21,3,0,Leonard Fournette up the middle for 3 yards (tackle by Deatrich Wise and Dont'a Hightower),4.170,4.040
Quarter,Time,Down,ToGo,Location,TAM,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,NWE 18,3,0,Tom Brady pass incomplete short middle intended for Mike Evans,4.040,3.310
2,14:56,3,7,NWE 18,3,0,Tom Brady pass incomplete short left intended for Leonard Fournette,3.310,2.250
2,14:53,4,7,NWE 18,3,0,Ryan Succop 36 yard field goal no good,2.250,-0.670
2,14:49,1,10,NWE 26,3,0,"Damien Harris up the middle for no gain. Penalty on Michael Onwenu: Offensive Holding, 10 yards (accepted) (no play)",0.670,-0.300
2,14:29,1,20,NWE 16,3,0,Mac Jones pass complete short right to Jonnu Smith for 1 yard (tackle by William Gholston),-0.300,-1.220
2,13:57,2,19,NWE 17,3,0,Mac Jones pass complete deep right to Kendrick Bourne for 16 yards (tackle by Richard Sherman),-1.220,0.370
2,13:22,3,3,NWE 33,3,0,Mac Jones pass complete to Jakobi Meyers for 15 yards (tackle by Ross Cockrell),0.370,2.130
2,12:49,1,10,NWE 48,3,0,Mac Jones pass incomplete short middle intended for Jakobi Meyers,2.130,1.580
2,12:44,2,10,NWE 48,3,0,Mac Jones pass complete short right to Kendrick Bourne for 5 yards (tackle by Antoine Winfield),1.580,1.550
2,12:08,3,5,TAM 47,3,0,"Mac Jones pass incomplete short right intended for N'Keal Harry. Penalty on Richard Sherman: Defensive Pass Interference, 10 yards (accepted) (no play)",1.550,3.120
2,12:02,1,10,TAM 37,3,0,Damien Harris up the middle for no gain (tackle by Lavonte David and Ndamukong Suh),3.120,2.570
2,11:25,2,10,TAM 37,3,0,"Damien Harris for no gain (tackle by Lavonte David). Penalty on Michael Onwenu: Offensive Holding, 10 yards (accepted) (no play)",2.570,1.220
2,11:06,2,20,TAM 47,3,0,Mac Jones pass complete short middle to Kendrick Bourne for 16 yards (tackle by Richard Sherman),1.220,2.680
2,10:24,3,4,TAM 31,3,0,Mac Jones pass complete short right to Brandon Bolden for 7 yards (tackle by Mike Edwards),2.680,3.970
2,9:53,1,10,TAM 24,3,0,Brandon Bolden left guard for no gain (tackle by Jordan Whitehead),3.970,3.430
2,9:14,2,10,TAM 24,3,0,"Mac Jones pass incomplete intended for Nelson Agholor. Penalty on Carlton Davis: Defensive Pass Interference, 10 yards (accepted) (no play)",3.430,4.650
2,9:10,1,10,TAM 14,3,0,Mac Jones pass complete short middle to Jakobi Meyers for 3 yards (tackle by Devin White and Lavonte David),4.650,4.520
2,8:35,2,7,TAM 11,3,6,"Mac Jones pass complete to Hunter Henry for 11 yards, touchdown",4.520,7.000
2,8:28,,,TAM 15,3,7,Nick Folk kicks extra point good,0.000,0.000
2,8:28,,,NWE 35,3,7,"Jake Bailey kicks off 65 yards, touchback.",0.000,0.610
2,8:28,1,10,TAM 25,3,7,Ronald Jones right guard for 6 yards (tackle by Henry Anderson),0.610,0.870
2,7:50,2,4,TAM 31,3,7,"Penalty on O.J. Howard: False Start, 5 yards (accepted) (no play)",0.870,0.200
2,7:50,2,9,TAM 26,3,7,Tom Brady pass complete short left to Antonio Brown for 8 yards (tackle by Jonathan Jones),0.200,0.560
2,7:07,3,1,TAM 34,3,7,Leonard Fournette right end for 3 yards (tackle by Matt Judon and Jonathan Jones),0.560,1.400
2,6:39,1,10,TAM 37,3,7,Tom Brady sacked by Matt Judon for -8 yards,1.400,-0.220
2,5:51,2,18,TAM 29,3,7,Tom Brady pass incomplete deep right intended for Cameron Brate,-0.220,-0.890
