Quarter,Time,Down,ToGo,Location,PHI,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Jalen Hurts right end for 10 yards (tackle by Justin Simmons),0.610,1.270
1,14:33,1,10,PHI 35,0,0,Boston Scott left guard for 17 yards (tackle by Justin Simmons and Kyle Fuller),1.270,2.390
1,14:06,1,10,DEN 48,0,0,Boston Scott right tackle for -2 yards (tackle by Kyle Fuller),2.390,1.580
1,13:25,2,12,DEN 50,0,0,Jalen Hurts pass complete short left to Boston Scott for 16 yards (tackle by Kareem Jackson),1.580,3.310
1,12:58,1,10,DEN 34,0,0,Boston Scott right guard for no gain (tackle by Kenny Young),3.310,2.770
1,12:22,2,10,DEN 34,0,0,Jalen Hurts pass complete deep right to Quez Watkins for 18 yards (tackle by Patrick Surtain),2.770,4.510
1,11:46,1,10,DEN 16,0,0,Jalen Hurts pass complete short left to Quez Watkins for 3 yards (tackle by Kyle Fuller),4.510,4.390
1,11:07,2,7,DEN 13,0,0,Jordan Howard left guard for 1 yard (tackle by Kyle Fuller and Stephen Weatherly),4.390,3.730
1,10:24,3,6,DEN 12,0,0,Jalen Hurts pass incomplete short right intended for Jalen Reagor,3.730,2.660
1,10:17,4,6,DEN 12,3,0,Jake Elliott 30 yard field goal good,2.660,3.000
1,10:13,,,PHI 35,3,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,10:13,1,10,DEN 25,3,0,Melvin Gordon left guard for 1 yard (tackle by T.J. Edwards),0.610,0.200
1,9:35,2,9,DEN 26,3,0,Teddy Bridgewater pass incomplete short right intended for Melvin Gordon,0.200,-0.490
1,9:30,3,9,DEN 26,3,0,Teddy Bridgewater pass complete short right to Melvin Gordon for -2 yards (tackle by Darius Slay),-0.490,-1.770
