Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Football Team won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 68 yards, returned by Deonte Harty for 27 yards (tackle by Jared Norris and Dustin Hopkins)",0.000,0.540
1,14:55,1,10,NOR 24,0,0,Jameis Winston pass incomplete short left,0.540,0.000
1,14:49,2,10,NOR 24,0,0,Jameis Winston pass complete short middle to Alvin Kamara for 4 yards (tackle by Landon Collins),0.000,-0.160
1,14:10,3,6,NOR 28,0,0,Jameis Winston pass complete short middle to Kenny Stills for 11 yards (tackle by William Jackson),-0.160,1.530
1,13:36,1,10,NOR 39,0,0,Jameis Winston pass incomplete short left intended for Kenny Stills,1.530,0.990
1,13:29,2,10,NOR 39,0,0,Jameis Winston pass deep left intended for Taysom Hill is intercepted by Cole Holcomb at WAS-46 and returned for 23 yards (tackle by Alvin Kamara),0.990,-3.510
1,13:19,1,10,NOR 31,0,0,Taylor Heinicke pass incomplete short middle intended for Adam Humphries (defended by Tanoh Kpassagnon),3.510,2.970
1,13:14,2,10,NOR 31,0,0,Antonio Gibson up the middle for 5 yards (tackle by Demario Davis),2.970,2.870
1,12:38,3,6,NOR 26,0,0,Taylor Heinicke pass incomplete deep right intended for DeAndre Carter,2.870,1.760
1,12:31,4,6,NOR 26,0,3,Dustin Hopkins 45 yard field goal good,1.760,3.000
1,12:27,,,WAS 35,0,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,12:27,1,10,NOR 25,0,3,Alvin Kamara up the middle for 2 yards (tackle by Daron Payne),0.610,0.330
1,11:56,2,8,NOR 27,0,3,Alvin Kamara right end for 1 yard (tackle by Daron Payne),0.330,-0.230
1,11:23,3,7,NOR 28,6,3,"Jameis Winston pass complete deep middle to Deonte Harty for 72 yards, touchdown",-0.230,7.000
1,11:13,,,WAS 15,7,3,Cody Parkey kicks extra point good,0.000,0.000
1,11:13,,,NOR 35,7,3,"Cody Parkey kicks off 64 yards, returned by DeAndre Carter for 22 yards (tackle by Jeff Heath)",0.000,0.480
1,11:08,1,10,WAS 23,7,3,Taylor Heinicke pass complete short left to Adam Humphries for 20 yards (tackle by C.J. Gardner-Johnson),0.480,1.800
1,10:27,1,10,WAS 43,7,3,Curtis Samuel left end for 8 yards (tackle by Pete Werner and Payton Turner),1.800,2.330
1,9:51,2,2,NOR 49,7,3,Antonio Gibson left tackle for 3 yards (tackle by Malcolm Roach),2.330,2.520
1,9:12,1,10,NOR 46,7,3,Taylor Heinicke pass complete to Antonio Gibson for 9 yards (tackle by Pete Werner),2.520,3.190
1,8:35,2,1,NOR 37,7,3,Antonio Gibson right guard for no gain (tackle by Cameron Jordan),3.190,2.480
1,7:51,3,1,NOR 37,7,3,Jaret Patterson left guard for 1 yard (tackle by Cameron Jordan and Shy Tuttle),2.480,3.180
1,7:09,1,10,NOR 36,7,3,Antonio Gibson right end for 8 yards (tackle by Malcolm Jenkins and C.J. Gardner-Johnson),3.180,3.720
1,6:27,2,2,NOR 28,7,3,Taylor Heinicke pass complete deep right to Terry McLaurin for 18 yards (tackle by Marcus Williams),3.720,4.910
1,5:48,1,10,NOR 10,7,3,Taylor Heinicke scrambles right end for 5 yards (tackle by Pete Werner),4.910,5.150
1,5:12,2,5,NOR 5,7,3,Taylor Heinicke pass incomplete short middle intended for Ricky Seals-Jones,5.150,4.260
1,5:02,3,5,NOR 5,7,3,Taylor Heinicke pass incomplete short middle intended for Ricky Seals-Jones (defended by Marshon Lattimore),4.260,3.010
1,4:58,4,5,NOR 5,7,6,Dustin Hopkins 23 yard field goal good,3.010,3.000
1,4:55,,,WAS 35,7,6,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,4:55,1,10,NOR 25,7,6,Jameis Winston pass complete short right to Alvin Kamara for 20 yards (tackle by Jamin Davis),0.610,1.930
1,4:16,1,10,NOR 45,7,6,Alvin Kamara right end for 5 yards (tackle by Jamin Davis),1.930,2.060
1,3:36,2,5,WAS 50,7,6,"Jameis Winston sacked by Chase Young for no gain. Jameis Winston fumbles (forced by Chase Young), recovered by Daron Payne at 50 and returned for 6 yards (tackle by Taysom Hill)",2.060,-2.650
1,3:27,1,10,NOR 44,7,6,"Antonio Gibson left end for no gain (tackle by C.J. Gardner-Johnson). Penalty on Charles Leno: Offensive Holding, 10 yards (accepted) (no play)",2.650,1.990
1,3:03,1,20,WAS 46,7,6,Taylor Heinicke sacked by Carl Granderson for -4 yards,1.990,0.220
1,2:17,2,24,WAS 42,7,6,J.D. McKissic right end for 1 yard (tackle by Tanoh Kpassagnon),0.220,-0.300
1,1:41,3,23,WAS 43,7,6,Taylor Heinicke pass complete short middle to J.D. McKissic for 8 yards (tackle by Payton Turner),-0.300,0.000
1,1:02,4,15,NOR 49,7,6,"Tress Way punts out of bounds. Penalty on Carl Granderson: Roughing the Kicker, 15 yards (accepted) (no play)",0.000,3.310
1,0:53,1,10,NOR 34,7,6,"Taylor Heinicke pass incomplete deep right intended for Dax Milne. Penalty on Bradley Roby: Defensive Pass Interference, 16 yards (accepted) (no play)",3.310,4.370
1,0:47,1,10,NOR 18,7,6,Antonio Gibson right end for -7 yards (tackle by Cameron Jordan),4.370,2.880
1,0:06,2,17,NOR 25,7,6,Taylor Heinicke scrambles right end for 13 yards (tackle by Malcolm Jenkins),2.880,4.030
Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,NOR 12,7,6,Taylor Heinicke pass complete short middle to Ricky Seals-Jones for 7 yards (tackle by Malcolm Jenkins),4.030,6.060
2,14:20,1,5,NOR 5,7,12,"Antonio Gibson left guard for 5 yards, touchdown",6.060,7.000
2,14:16,,,NOR 15,7,13,Dustin Hopkins kicks extra point good,0.000,0.000
2,14:16,,,WAS 35,7,13,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,14:16,1,10,NOR 25,7,13,Jameis Winston pass complete short right to Taysom Hill for 11 yards (tackle by Bobby McCain and Kamren Curl),0.610,1.330
2,13:46,1,10,NOR 36,7,13,Alvin Kamara right tackle for 3 yards (tackle by Kamren Curl and Matthew Ioannidis),1.330,1.200
2,13:09,2,7,NOR 39,7,13,Jameis Winston pass complete short middle to Marquez Callaway for 10 yards (tackle by William Jackson),1.200,2.190
2,12:24,,,,,,Timeout #1 by New Orleans Saints,,
2,12:24,1,10,NOR 49,7,13,"Jameis Winston pass incomplete short right intended for Taysom Hill. Penalty on William Jackson: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",2.190,3.180
2,12:19,1,10,WAS 36,7,13,Kenny Stills right end for 1 yard (tackle by Montez Sweat),3.180,2.770
2,11:41,2,9,WAS 35,7,13,Jameis Winston pass complete short right to Alvin Kamara for 12 yards (tackle by Cole Holcomb),2.770,4.040
2,11:05,1,10,WAS 23,13,13,"Alvin Kamara right tackle for 23 yards, touchdown",4.040,7.000
2,10:58,,,WAS 15,13,13,Cody Parkey kicks extra point no good,0.000,-1.000
2,10:58,,,NOR 35,13,13,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
2,10:58,1,10,WAS 25,13,13,Taylor Heinicke pass complete deep left to DeAndre Carter for 17 yards,0.610,1.730
2,10:31,1,10,WAS 42,13,13,Taylor Heinicke pass complete short left to Terry McLaurin for 13 yards,1.730,2.590
2,10:14,1,10,NOR 45,13,13,"Antonio Gibson left tackle for no gain (tackle by Pete Werner). Penalty on Chase Roullier: Offensive Holding, 10 yards (accepted) (no play)",2.590,1.930
2,9:51,1,20,WAS 45,13,13,Antonio Gibson left guard for 3 yards (tackle by Pete Werner),1.930,1.100
2,9:13,2,17,WAS 48,13,13,Taylor Heinicke pass complete short middle to Ricky Seals-Jones for 7 yards (tackle by Pete Werner and Demario Davis),1.100,1.360
2,8:40,3,10,NOR 45,13,13,"Taylor Heinicke pass complete to Ricky Seals-Jones for 16 yards NOR challenged the pass completion ruling, and the play was upheld.",1.360,3.640
2,8:29,1,10,NOR 29,13,13,Taylor Heinicke pass complete short right to DeAndre Carter for 10 yards (tackle by Paulson Adebo),3.640,4.310
2,7:49,1,10,NOR 19,13,13,Antonio Gibson left tackle for 3 yards (tackle by C.J. Gardner-Johnson),4.310,4.180
2,7:12,2,7,NOR 16,13,13,Taylor Heinicke pass short right intended for Curtis Samuel is intercepted by Paulson Adebo at NO-2 and returned for no gain (tackle by Curtis Samuel),4.180,0.380
2,7:03,,,,,,Timeout #1 by Washington Football Team,,
2,7:03,1,10,NOR 2,13,13,Jameis Winston pass incomplete short left intended for Marquez Callaway,-0.380,-0.780
2,7:00,2,10,NOR 2,13,13,"Penalty on NOR: Delay of Game, 1 yard (accepted) (no play)",-0.780,-0.850
2,7:00,2,11,NOR 1,13,13,Jameis Winston pass incomplete deep right intended for Kenny Stills,-0.850,-1.540
2,6:55,3,11,NOR 1,13,13,Jameis Winston pass incomplete deep left intended for Marquez Callaway (defended by Benjamin St-Juste),-1.540,-2.490
2,6:50,4,11,NOR 1,13,13,Blake Gillikin punts 46 yards out of bounds,-2.490,-2.460
2,6:42,1,10,NOR 47,13,13,Taylor Heinicke pass complete short middle to Ricky Seals-Jones for 7 yards (tackle by Pete Werner and C.J. Gardner-Johnson),2.460,2.860
2,6:00,2,3,NOR 40,13,13,Jaret Patterson right guard for 1 yard (tackle by Demario Davis and Tanoh Kpassagnon),2.860,2.280
2,5:17,3,2,NOR 39,13,13,Taylor Heinicke scrambles up the middle for 4 yards (tackle by Pete Werner),2.280,3.250
2,4:34,1,10,NOR 35,13,13,Taylor Heinicke pass incomplete short right intended for DeAndre Carter (defended by Cameron Jordan),3.250,2.700
2,4:30,2,10,NOR 35,13,13,Taylor Heinicke pass incomplete short right intended for Adam Humphries,2.700,2.010
2,4:24,3,10,NOR 35,13,13,Taylor Heinicke pass incomplete deep right intended for Terry McLaurin (defended by Marcus Williams),2.010,0.970
2,4:18,4,10,NOR 35,13,13,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin (defended by Marshon Lattimore),0.970,-1.270
2,4:12,1,10,NOR 35,13,13,Alvin Kamara left guard for 2 yards (tackle by Montez Sweat and Jonathan Allen),1.270,0.990
2,3:35,2,8,NOR 37,13,13,Jameis Winston scrambles up the middle for 10 yards (tackle by Cole Holcomb),0.990,2.060
2,2:45,1,10,NOR 47,13,13,"Jameis Winston sacked by Daron Payne for -8 yards Penalty on NOR: Illegal Shift, 5 yards (declined)",2.060,0.440
2,2:09,2,18,NOR 39,13,13,Jameis Winston pass incomplete short left intended for Marquez Callaway (defended by Kendall Fuller),0.440,-0.230
2,2:04,3,18,NOR 39,13,13,Jameis Winston pass incomplete short left intended for Alvin Kamara,-0.230,-0.780
2,2:01,4,18,NOR 39,13,13,Blake Gillikin punts 60 yards out of bounds,-0.780,0.380
2,1:53,1,10,WAS 1,13,13,Antonio Gibson up the middle for 1 yard (tackle by Malcolm Jenkins),-0.380,-0.710
2,1:48,,,,,,Timeout #3 by New Orleans Saints,,
2,1:48,2,9,WAS 2,13,13,"Penalty on Saahdiq Charles: False Start, 1 yard (accepted) (no play)",-0.710,-0.780
2,1:49,2,10,WAS 1,13,13,Antonio Gibson left tackle for 2 yards (tackle by Demario Davis and Payton Turner),-0.780,-1.190
2,1:06,3,8,WAS 3,13,13,Antonio Gibson up the middle for 3 yards (tackle by Shy Tuttle and Demario Davis),-1.190,-2.490
2,0:19,,,,,,Timeout #2 by Washington Football Team,,
2,0:19,4,5,WAS 6,13,13,"Tress Way punts 56 yards, returned by Alvin Kamara for 13 yards (tackle by Khaleke Hudson)",-2.490,-2.320
2,0:08,1,10,WAS 49,19,13,"Jameis Winston pass complete deep right to Marquez Callaway for 49 yards, touchdown",2.320,7.000
2,0:00,,,WAS 15,20,13,Cody Parkey kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,20,13,"Cody Parkey kicks off 66 yards, returned by DeAndre Carter for 26 yards (tackle by Ty Montgomery)",0.000,0.610
3,14:56,1,10,WAS 25,20,13,Taylor Heinicke pass incomplete short right intended for Ricky Seals-Jones,0.610,0.060
3,14:50,2,10,WAS 25,20,13,Antonio Gibson right end for 3 yards (tackle by Tanoh Kpassagnon),0.060,-0.230
3,14:06,3,7,WAS 28,20,13,Taylor Heinicke pass incomplete deep left intended for Terry McLaurin (defended by Marshon Lattimore),-0.230,-1.500
3,14:00,4,7,WAS 28,20,13,"Tress Way punts 51 yards, returned by Alvin Kamara for 14 yards (tackle by Khaleke Hudson)",-1.500,-1.270
3,13:49,1,10,NOR 35,20,13,Jameis Winston pass incomplete short middle intended for Juwan Johnson (defended by Kamren Curl),1.270,0.720
3,13:45,2,10,NOR 35,20,13,Alvin Kamara left guard for 5 yards (tackle by Matthew Ioannidis),0.720,0.700
3,13:11,3,5,NOR 40,20,13,"Jameis Winston pass incomplete short left intended for Chris Hogan. Penalty on Andrus Peat: Offensive Holding, 10 yards (declined)",0.700,-0.720
3,13:06,4,5,NOR 40,20,13,Blake Gillikin punts 57 yards out of bounds,-0.720,0.380
3,12:57,1,10,WAS 3,20,13,"Taylor Heinicke pass complete to Ricky Seals-Jones for no gain (tackle by Marcus Williams). Penalty on Wes Schweitzer: Ineligible Downfield Pass, 1 yard (accepted) (no play)",-0.380,-0.420
3,12:27,1,11,WAS 2,20,13,Taylor Heinicke pass complete short left to Terry McLaurin for 9 yards (tackle by Paulson Adebo),-0.420,-0.200
3,11:55,2,2,WAS 11,20,13,Taylor Heinicke pass complete short middle to Antonio Gibson for 3 yards (tackle by Pete Werner and Albert Huggins),-0.200,-0.280
3,11:16,1,10,WAS 14,20,13,Antonio Gibson left tackle for 2 yards (tackle by Tanoh Kpassagnon),-0.280,-0.510
3,10:39,2,8,WAS 16,20,13,Taylor Heinicke pass complete to Dax Milne for 6 yards,-0.510,-0.440
3,9:57,3,2,WAS 22,20,13,Taylor Heinicke pass incomplete deep middle intended for Terry McLaurin (defended by Marshon Lattimore),-0.440,-1.900
3,9:51,4,2,WAS 22,20,13,"Tress Way punts 47 yards, returned by Alvin Kamara for 2 yards (tackle by James Smith-Williams and Khaleke Hudson)",-1.900,-1.140
3,9:40,1,10,NOR 33,20,13,Jameis Winston pass incomplete deep right intended for Alvin Kamara,1.140,0.590
3,9:34,2,10,NOR 33,20,13,Jameis Winston pass incomplete short left intended for Kenny Stills,0.590,-0.100
3,9:29,3,10,NOR 33,20,13,Jameis Winston pass incomplete deep right intended for Marquez Callaway,-0.100,-1.180
3,9:24,4,10,NOR 33,20,13,"Blake Gillikin punts 52 yards, returned by DeAndre Carter for 10 yards (tackle by Andrew Dowell and Garrett Griffin)",-1.180,-0.610
3,9:13,1,10,WAS 25,20,13,Taylor Heinicke pass complete short right to Ricky Seals-Jones for 4 yards (tackle by Pete Werner and Montravius Adams),0.610,0.540
3,8:40,2,7,WAS 29,20,13,Antonio Gibson for 5 yards (tackle by Paulson Adebo),0.540,0.560
3,8:00,3,1,WAS 34,20,13,Antonio Gibson left end for 6 yards (tackle by Paulson Adebo),0.560,1.600
3,7:23,1,10,WAS 40,20,13,Taylor Heinicke pass complete to Terry McLaurin for 6 yards (tackle by C.J. Gardner-Johnson),1.600,1.860
3,6:45,2,4,WAS 46,20,13,Antonio Gibson for 16 yards (tackle by Demario Davis),1.860,3.050
3,6:07,1,10,NOR 38,20,13,Taylor Heinicke pass complete short middle to DeAndre Carter for 9 yards (tackle by Malcolm Jenkins),3.050,3.720
3,5:48,2,1,NOR 29,20,13,Antonio Gibson up the middle for 1 yard (tackle by Pete Werner),3.720,3.710
3,5:11,1,10,NOR 28,20,13,Jaret Patterson left tackle for 9 yards (tackle by Pete Werner and Montravius Adams),3.710,4.420
3,4:27,2,1,NOR 19,20,13,Jaret Patterson right end for 2 yards (tackle by Pete Werner),4.420,4.440
3,3:46,1,10,NOR 17,20,13,DeAndre Carter left end for 11 yards (tackle by Marshon Lattimore),4.440,5.830
3,3:16,1,6,NOR 6,20,13,Antonio Gibson for 2 yards (tackle by Pete Werner),5.830,5.340
3,2:40,2,4,NOR 4,20,13,Antonio Gibson up the middle for -2 yards (tackle by Montravius Adams),5.340,4.040
3,2:01,3,6,NOR 6,20,13,Taylor Heinicke pass incomplete short left intended for Ricky Seals-Jones,4.040,2.990
3,1:56,4,6,NOR 6,20,16,Dustin Hopkins 24 yard field goal good,2.990,3.000
3,1:53,,,WAS 35,20,16,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,1:53,1,10,NOR 25,20,16,Alvin Kamara for 3 yards (tackle by Matthew Ioannidis),0.610,0.470
3,1:13,2,7,NOR 28,20,16,Jameis Winston pass complete short left to Marquez Callaway for 14 yards (tackle by Kendall Fuller),0.470,1.730
3,0:34,1,10,NOR 42,20,16,Jameis Winston pass incomplete short middle intended for Alvin Kamara,1.730,1.190
3,0:30,2,10,NOR 42,20,16,Jameis Winston pass complete to Alvin Kamara for -4 yards (tackle by Kamren Curl and Cole Holcomb),1.190,-0.030
Quarter,Time,Down,ToGo,Location,NOR,WAS,Detail,EPB,EPA
