Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 53 yards, returned by Trenton Cannon for 10 yards (tackle by Zaire Franklin and E.J. Speed)",0.000,0.410
1,14:56,1,10,SFO 22,0,0,Jimmy Garoppolo pass complete short left to Deebo Samuel for 9 yards (tackle by Kenny Moore),0.410,1.080
1,14:30,2,1,SFO 31,0,0,Elijah Mitchell up the middle for 4 yards (tackle by Khari Willis),1.080,1.270
1,13:49,1,10,SFO 35,0,0,Elijah Mitchell left guard for 5 yards (tackle by Zaire Franklin and Grover Stewart),1.270,1.400
1,13:10,2,5,SFO 40,0,0,Jimmy Garoppolo pass complete short left to Trent Sherfield for 9 yards (tackle by Khari Willis),1.400,2.190
1,12:34,1,10,SFO 49,0,0,Brandon Aiyuk right end for 3 yards (tackle by Kenny Moore),2.190,2.050
1,11:45,2,7,IND 48,0,0,Elijah Mitchell right tackle for 20 yards (tackle by Andrew Sendejo),2.050,3.710
1,11:02,1,10,IND 28,0,0,Elijah Mitchell left tackle for 14 yards (tackle by Isaac Rochell),3.710,4.650
1,10:18,1,10,IND 14,0,6,"Elijah Mitchell up the middle for 14 yards, touchdown",4.650,7.000
1,10:12,,,IND 15,0,6,Joey Slye kicks extra point no good,0.000,-1.000
1,10:12,,,SFO 35,0,6,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,10:12,1,10,IND 25,0,6,"Jonathan Taylor up the middle for 2 yards. Jonathan Taylor fumbles (forced by Josh Norman) (tackle by Jimmie Ward), recovered by Fred Warner at IND-28 (tackle by Jimmie Ward) (tackle by Josh Norman) (tackle by Josh Norman)",0.610,-3.710
1,9:52,1,10,IND 28,0,6,Elijah Mitchell right end for 12 yards (tackle by Bobby Okereke and Zaire Franklin),3.710,4.510
1,9:00,1,10,IND 16,0,6,Jimmy Garoppolo pass complete short left to Deebo Samuel for no gain (tackle by Bobby Okereke),4.510,3.900
1,8:22,2,10,IND 16,0,6,Jimmy Garoppolo pass incomplete short right intended for Deebo Samuel,3.900,3.080
1,8:20,3,10,IND 16,0,6,Jimmy Garoppolo pass incomplete deep right intended for Jamycal Hasty,3.080,2.380
1,8:12,4,10,IND 16,0,9,Joey Slye 34 yard field goal good,2.380,3.000
1,8:08,,,SFO 35,0,9,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,8:08,1,10,IND 25,0,9,Carson Wentz pass complete short left to Jonathan Taylor for -1 yards (tackle by Fred Warner and Azeez Al-Shaair),0.610,-0.070
1,7:31,2,11,IND 24,0,9,Carson Wentz pass incomplete short right intended for Zach Pascal (defended by Emmanuel Moseley),-0.070,-0.760
1,7:24,3,11,IND 24,0,9,"Carson Wentz pass complete deep left to Michael Pittman for 57 yards (tackle by Josh Norman). Penalty on Josh Norman: Defensive Pass Interference, 15 yards (declined)",-0.760,4.310
1,6:51,1,10,SFO 19,0,9,Jonathan Taylor up the middle for 6 yards (tackle by Arik Armstead and Jaquiski Tartt),4.310,4.720
1,6:10,2,4,SFO 13,0,9,Jonathan Taylor left guard for 2 yards (tackle by Fred Warner and Nick Bosa),4.720,4.430
1,5:22,3,2,SFO 11,6,9,"Carson Wentz pass complete short left to Mo Alie-Cox for 11 yards, touchdown",4.430,7.000
1,5:15,,,SFO 15,7,9,Michael Badgley kicks extra point good,0.000,0.000
1,5:15,1,10,SFO 19,7,9,"Rigoberto Sanchez kicks off 63 yards, returned by Trenton Cannon for 22 yards (tackle by Zaire Franklin)",0.150,0.540
1,5:10,1,10,SFO 24,7,9,Elijah Mitchell left end for 6 yards (tackle by Kwity Paye),0.540,0.810
1,4:33,2,4,SFO 30,7,9,Jimmy Garoppolo pass complete short left to Deebo Samuel for 28 yards (tackle by George Odum),0.810,2.790
1,3:53,1,10,IND 42,7,9,Elijah Mitchell left guard for 2 yards (tackle by DeForest Buckner),2.790,2.510
1,3:18,2,8,IND 40,7,9,Elijah Mitchell left guard for 3 yards (tackle by Grover Stewart),2.510,2.210
1,2:36,3,5,IND 37,7,9,Jimmy Garoppolo pass incomplete deep left intended for Jamycal Hasty,2.210,0.790
1,2:32,4,5,IND 37,7,12,Joey Slye 56 yard field goal good,0.790,3.000
1,2:27,,,SFO 35,7,12,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,2:27,1,10,IND 25,7,12,Carson Wentz pass incomplete deep left intended for Zach Pascal (defended by Josh Norman),0.610,0.060
1,2:21,2,10,IND 25,7,12,Carson Wentz pass incomplete short left intended for Nyheim Hines,0.060,-0.620
1,2:18,3,10,IND 25,7,12,"Carson Wentz pass incomplete deep middle intended for Keke Coutee. Penalty on K'Waun Williams: Defensive Pass Interference, 40 yards (accepted) (no play)",-0.620,3.250
1,2:11,1,10,SFO 35,7,12,Nyheim Hines right end for no gain (tackle by K'Waun Williams),3.250,2.700
1,1:28,2,10,SFO 35,7,12,Jonathan Taylor left tackle for 33 yards (tackle by Jimmie Ward),2.700,6.740
1,0:44,1,2,SFO 2,7,12,Jonathan Taylor up the middle for -2 yards (tackle by Azeez Al-Shaair),6.740,5.340
Quarter,Time,Down,ToGo,Location,IND,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,SFO 4,7,12,"Carson Wentz sacked by Kentavius Street for -3 yards. Carson Wentz fumbles (forced by Kentavius Street), recovered by Azeez Al-Shaair at SF-7 and returned for 12 yards (tackle by Zach Pascal)",5.340,-0.150
2,14:52,1,10,SFO 19,7,12,Jimmy Garoppolo pass incomplete deep right intended for Trent Sherfield (defended by Xavier Rhodes),0.150,-0.390
2,14:46,2,10,SFO 19,7,12,Elijah Mitchell up the middle for 6 yards (tackle by Khari Willis),-0.390,-0.290
2,14:08,3,4,SFO 25,7,12,Jimmy Garoppolo pass incomplete short left intended for Jamycal Hasty,-0.290,-1.700
