Quarter,Time,Down,ToGo,Location,LAR,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,BAL 25,0,0,Latavius Murray right guard for 2 yards (tackle by Leonard Floyd and Troy Reeder),0.610,0.330
1,14:27,2,8,BAL 27,0,0,Tyler Huntley pass complete short right to Rashod Bateman for 15 yards (tackle by Jordan Fuller and Darious Williams),0.330,1.730
1,13:52,1,10,BAL 42,0,0,Latavius Murray left guard for 1 yard (tackle by Leonard Floyd),1.730,1.320
1,13:08,2,9,BAL 43,0,0,Tyler Huntley pass complete short middle to Marquise Brown for 13 yards (tackle by Troy Reeder),1.320,2.650
1,12:28,1,10,LAR 44,0,0,Devonta Freeman right tackle for 2 yards (tackle by Troy Reeder and Aaron Donald),2.650,2.380
1,11:48,2,8,LAR 42,0,0,Tyler Huntley pass complete short middle to Rashod Bateman for 5 yards (tackle by Darious Williams),2.380,2.350
1,11:18,3,3,LAR 37,0,0,Devonta Freeman right tackle for -3 yards (tackle by Aaron Donald),2.350,0.590
1,10:40,4,6,LAR 40,0,0,Sam Koch punts 36 yards downed by Tylan Wallace,0.590,0.380
1,10:33,1,10,LAR 4,0,0,Sony Michel right end for 6 yards (tackle by Tyus Bowser),-0.380,-0.340
1,9:47,2,4,LAR 10,0,0,Sony Michel right tackle for 2 yards (tackle by Kevon Seymour and Justin Houston),-0.340,-0.480
1,9:00,3,2,LAR 12,0,0,Matthew Stafford pass complete short middle to Van Jefferson for 10 yards (tackle by Josh Bynes),-0.480,0.410
1,8:22,1,10,LAR 22,0,0,Matthew Stafford pass incomplete short middle intended for Sony Michel,0.410,-0.130
1,8:18,2,10,LAR 22,0,0,Matthew Stafford pass complete short middle to Tyler Higbee for 18 yards (tackle by Tavon Young),-0.130,1.600
1,7:37,1,10,LAR 40,0,0,Matthew Stafford pass complete short left to Tyler Higbee for 7 yards (tackle by Kevon Seymour),1.600,2.000
1,7:16,2,3,LAR 47,0,0,Matthew Stafford pass complete deep right to Tyler Higbee for 19 yards (tackle by Chuck Clark),2.000,3.310
1,6:32,1,10,BAL 34,0,0,"Sony Michel left end for no gain (tackle by Brandon Stephens and Jimmy Smith). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (accepted) (no play)",3.310,2.650
1,6:08,1,20,BAL 44,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by Jimmy Smith),2.650,2.230
1,5:47,2,14,BAL 38,0,0,Matthew Stafford pass incomplete short middle intended for Van Jefferson,2.230,1.550
1,5:44,3,14,BAL 38,0,0,Matthew Stafford pass incomplete short right intended for Tyler Higbee,1.550,0.720
1,5:40,4,14,BAL 38,0,0,Matt Gay 56 yard field goal no good,0.720,-1.990
1,5:36,1,10,BAL 46,0,0,Tyler Huntley sacked by A'Shawn Robinson for -11 yards,1.990,-0.040
1,4:55,2,21,BAL 35,0,0,Tyler Huntley pass complete short right to Devonta Freeman for 1 yard (tackle by Donte Deayon),-0.040,-0.560
1,4:17,3,20,BAL 36,0,0,Tyler Huntley pass complete short middle to Devin Duvernay for 14 yards (tackle by Donte Deayon),-0.560,-0.060
1,3:37,4,6,BAL 50,0,0,"Sam Koch punts 42 yards, fair catch by Cooper Kupp at LA-8",-0.060,0.380
1,3:31,1,10,LAR 8,0,0,Sony Michel right guard for 4 yards (tackle by Broderick Washington and Tavon Young),-0.380,-0.490
1,2:49,2,6,LAR 12,0,0,Matthew Stafford pass complete short right to Odell Beckham for 4 yards (tackle by Tavon Young),-0.490,-0.480
1,2:03,3,2,LAR 16,0,6,"Matthew Stafford pass short middle intended for Tyler Higbee is intercepted by Chuck Clark at LA-17 and returned for 17 yards, touchdown",-0.480,-7.000
1,1:58,,,LAR 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,1:58,,,BAL 35,0,7,"Justin Tucker kicks off 59 yards, returned by Brandon Powell for 18 yards (tackle by Tony Jefferson and Anthony Levine)",0.000,0.540
1,1:53,1,10,LAR 24,0,7,Matthew Stafford pass complete short left to Van Jefferson for 9 yards (tackle by Patrick Queen),0.540,1.210
1,1:11,2,1,LAR 33,0,7,Sony Michel right guard for 1 yard (tackle by Calais Campbell),1.210,1.200
1,0:26,1,10,LAR 34,0,7,Sony Michel left end for 1 yard (tackle by Calais Campbell),1.200,0.790
1,0:01,2,9,LAR 35,0,7,Matthew Stafford pass incomplete short right intended for Odell Beckham,0.790,0.100
Quarter,Time,Down,ToGo,Location,LAR,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,LAR 35,0,7,Matthew Stafford pass complete short middle to Cooper Kupp for 22 yards (tackle by Tony Jefferson),0.100,2.720
2,14:18,1,10,BAL 43,0,7,Sony Michel right end for 2 yards (tackle by Josh Bynes),2.720,2.450
2,13:39,2,8,BAL 41,0,7,Sony Michel left end for 3 yards (tackle by Jimmy Smith),2.450,2.150
2,12:56,3,5,BAL 38,0,7,"Penalty on Matthew Stafford: Delay of Game, 5 yards (accepted) (no play)",2.150,1.490
2,12:56,3,10,BAL 43,0,7,Matthew Stafford pass deep middle intended for Odell Beckham is intercepted by Chuck Clark at BAL-4 and returned for no gain (tackle by Odell Beckham),1.490,0.380
2,12:41,1,10,BAL 4,0,7,Devonta Freeman right tackle for 5 yards (tackle by Leonard Floyd and A'Shawn Robinson),-0.380,-0.420
2,12:04,2,5,BAL 9,0,7,Tyler Huntley pass incomplete deep right intended for Rashod Bateman (defended by Darious Williams),-0.420,-0.840
2,11:59,3,5,BAL 9,0,7,Tyler Huntley pass complete short middle to Rashod Bateman for 9 yards (tackle by Donte Deayon and Jordan Fuller),-0.840,0.040
2,11:16,1,10,BAL 18,0,7,"Devonta Freeman for no gain (tackle by Justin Hollins). Penalty on Trystan Colon-Castillo: Offensive Holding, 9 yards (accepted) (no play)",0.040,-0.720
2,10:53,1,19,BAL 9,0,7,Tyler Huntley pass complete deep middle to Mark Andrews for 18 yards (tackle by Jordan Fuller),-0.720,0.820
2,10:13,2,1,BAL 27,0,7,Latavius Murray right guard for 3 yards (tackle by Leonard Floyd),0.820,0.940
2,9:30,1,10,BAL 30,0,7,Tyler Huntley pass complete short middle to Rashod Bateman for 5 yards (tackle by Travin Howard),0.940,1.070
2,8:57,2,5,BAL 35,0,7,Tyler Huntley pass complete deep right to Mark Andrews for 33 yards (tackle by Jalen Ramsey),1.070,3.450
2,8:10,1,10,LAR 32,0,7,Devonta Freeman left end for 7 yards (tackle by Taylor Rapp and Darious Williams),3.450,3.850
2,7:24,2,3,LAR 25,0,7,Devonta Freeman left tackle for 1 yard (tackle by Troy Reeder),3.850,3.270
2,6:44,3,2,LAR 24,0,7,Devonta Freeman up the middle for 1 yard (tackle by Jalen Ramsey and Travin Howard),3.270,2.080
2,6:00,4,1,LAR 23,0,7,Tyler Huntley left end for 15 yards (tackle by Taylor Rapp),2.080,5.370
2,5:18,1,8,LAR 8,0,7,Devonta Freeman up the middle for 1 yard (tackle by Travin Howard and A'Shawn Robinson),5.370,4.760
2,4:33,2,7,LAR 7,0,7,Tyler Huntley pass complete short middle to Nick Boyle for 2 yards (tackle by Darious Williams),4.760,4.260
2,3:48,3,5,LAR 5,0,7,Tyler Huntley pass incomplete short middle intended for Devin Duvernay,4.260,3.010
2,3:44,4,5,LAR 5,0,10,Justin Tucker 22 yard field goal good,3.010,3.000
2,3:41,,,BAL 35,0,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,3:41,1,10,LAR 25,0,10,Sony Michel left guard for 14 yards (tackle by Chuck Clark and Tony Jefferson),0.610,1.530
2,3:00,1,10,LAR 39,0,10,Matthew Stafford pass incomplete short middle intended for Sony Michel,1.530,0.990
2,2:55,2,10,LAR 39,0,10,"Matthew Stafford pass complete short middle to Odell Beckham for 6 yards (tackle by Tavon Young). Penalty on Sony Michel: Illegal Blindside Block, 15 yards (accepted)",0.990,-0.230
2,2:26,2,19,LAR 30,0,10,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by Chuck Clark),-0.230,-0.890
2,2:21,3,19,LAR 30,0,10,Matthew Stafford pass complete deep middle to Odell Beckham for 17 yards (tackle by Tavon Young),-0.890,-0.260
2,2:00,4,2,LAR 47,0,10,"Johnny Hekker punts 39 yards, fair catch by Devin Duvernay at BAL-14",-0.260,0.280
2,1:53,1,10,BAL 14,0,10,Devonta Freeman left guard for 9 yards (tackle by Leonard Floyd),-0.280,0.550
2,1:47,,,,,,Timeout #1 by Los Angeles Rams,,
2,1:47,2,1,BAL 23,0,10,Devonta Freeman left guard for 5 yards (tackle by Aaron Donald),0.550,0.810
2,1:42,,,,,,Timeout #2 by Los Angeles Rams,,
