Quarter,Time,Down,ToGo,Location,NYG,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Patrick Mahomes pass complete short left to Tyreek Hill for 10 yards (tackle by Logan Ryan),0.610,1.270
1,14:34,1,10,KAN 35,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 3 yards (tackle by Darnay Holmes and Quincy Roche),1.270,1.130
1,13:58,2,7,KAN 38,0,0,Patrick Mahomes pass complete short left to Tyreek Hill for 9 yards (tackle by Adoree' Jackson),1.130,2.060
1,13:30,1,10,KAN 47,0,0,Darrel Williams left guard for 2 yards (tackle by Dexter Lawrence and Leonard Williams),2.060,1.790
1,12:53,2,8,KAN 49,0,0,Patrick Mahomes pass complete short middle to Byron Pringle for 12 yards (tackle by Julian Love and Aaron Robinson),1.790,2.980
1,12:14,1,10,NYG 39,0,0,Patrick Mahomes pass complete short left to Darrel Williams for 7 yards (tackle by James Bradberry),2.980,3.390
1,11:42,2,3,NYG 32,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for no gain (tackle by Adoree' Jackson),3.390,2.680
1,11:14,3,3,NYG 32,0,0,Patrick Mahomes pass complete short left to Mecole Hardman for 15 yards (tackle by Xavier McKinney and Adoree' Jackson),2.680,4.440
1,10:32,1,10,NYG 17,0,0,Patrick Mahomes scrambles left end for 5 yards (tackle by James Bradberry),4.440,4.690
1,9:49,2,5,NYG 12,0,0,Patrick Mahomes pass complete short middle to Tyreek Hill for 5 yards (tackle by Tae Crowder),4.690,5.600
1,9:09,1,7,NYG 7,0,0,Darrel Williams up the middle for 2 yards (tackle by Dexter Lawrence and Reggie Ragland),5.600,5.150
1,8:30,2,5,NYG 5,0,0,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,5.150,4.260
1,8:27,,,,,,Timeout #1 by New York Giants,,
1,8:27,3,5,NYG 5,0,0,Patrick Mahomes pass short right intended for Josh Gordon is intercepted by Julian Love in end zone and returned for no gain,4.260,-0.280
1,8:17,1,10,NYG 20,0,0,Devontae Booker right guard for 2 yards (tackle by Jarran Reed and Frank Clark),0.280,0.000
1,7:43,2,8,NYG 22,0,0,Daniel Jones pass short left intended for Darius Slayton is intercepted by Willie Gay at NYG-26 and returned for 13 yards (tackle by Devontae Booker),0.000,-4.710
1,7:37,1,10,NYG 13,0,0,Derrick Gore up the middle for 10 yards (tackle by Adoree' Jackson and Xavier McKinney),4.710,6.510
1,7:02,1,3,NYG 3,0,0,Derrick Gore right guard for -3 yards (tackle by Leonard Williams and Austin Johnson),6.510,4.950
1,6:23,2,6,NYG 6,0,0,Patrick Mahomes pass incomplete short right,4.950,4.040
1,6:19,3,6,NYG 6,0,6,"Patrick Mahomes pass complete short middle to Tyreek Hill for 6 yards, touchdown",4.040,7.000
1,6:12,,,NYG 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,6:12,,,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,6:12,1,10,NYG 25,0,7,Daniel Jones pass incomplete short right intended for John Ross,0.610,0.060
1,6:07,2,10,NYG 25,0,7,Devontae Booker right end for no gain (tackle by Willie Gay),0.060,-0.620
1,5:34,3,10,NYG 25,0,7,Daniel Jones pass complete short left to Devontae Booker for 5 yards (tackle by L'Jarius Sneed),-0.620,-1.370
1,4:56,4,5,NYG 30,0,7,Riley Dixon punts 45 yards out of bounds,-1.370,-0.610
1,4:50,1,10,KAN 25,0,7,Darrel Williams right tackle for 4 yards (tackle by Quincy Roche and Benardrick McKinney),0.610,0.600
1,4:21,2,6,KAN 29,0,7,Patrick Mahomes pass incomplete short right intended for Blake Bell (defended by Oshane Ximines),0.600,-0.100
1,4:18,3,6,KAN 29,0,7,Patrick Mahomes pass complete short left to Tyreek Hill for 6 yards (tackle by Adoree' Jackson),-0.100,1.270
1,3:43,1,10,KAN 35,0,7,Patrick Mahomes pass incomplete short right,1.270,0.720
1,3:35,2,10,KAN 35,0,7,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,0.720,0.040
1,3:30,3,10,KAN 35,0,7,Patrick Mahomes pass incomplete deep right intended for Tyreek Hill,0.040,-1.040
1,3:24,4,10,KAN 35,0,7,"Tommy Townsend punts 50 yards, fair catch by Dante Pettis at NYG-15",-1.040,0.220
1,3:16,1,10,NYG 15,0,7,Daniel Jones scrambles left end for 2 yards (tackle by Willie Gay),-0.220,-0.440
1,2:37,2,8,NYG 17,0,7,Devontae Booker up the middle for -3 yards (tackle by Nick Bolton and Alex Okafor),-0.440,-1.510
1,1:56,,,,,,Timeout #1 by Kansas City Chiefs,,
1,1:56,3,11,NYG 14,0,7,"Daniel Jones pass complete deep middle to John Ross for 50 yards (tackle by Daniel Sorensen). Penalty on Daniel Sorensen: Defensive Pass Interference, 15 yards (declined)",-1.510,3.180
1,1:41,1,10,KAN 36,0,7,Kadarius Toney pass complete short right to Sterling Shepard for 19 yards (tackle by Tyrann Mathieu and Nick Bolton),3.180,4.440
1,0:55,1,10,KAN 17,0,7,Devontae Booker up the middle for 11 yards (tackle by Charvarius Ward),4.440,5.830
1,0:30,1,6,KAN 6,0,7,Devontae Booker left guard for 2 yards (tackle by Willie Gay and L'Jarius Sneed),5.830,5.340
Quarter,Time,Down,ToGo,Location,NYG,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,KAN 4,0,7,Daniel Jones pass incomplete short right intended for Sterling Shepard,5.340,4.490
2,14:56,3,4,KAN 4,0,7,Daniel Jones pass complete short left to Sterling Shepard for 3 yards (tackle by L'Jarius Sneed),4.490,3.550
2,14:18,4,1,KAN 1,6,7,"Daniel Jones pass complete short left to Kyle Rudolph for 1 yard, touchdown",3.550,7.000
2,14:14,,,KAN 15,7,7,Graham Gano kicks extra point good,0.000,0.000
2,14:14,,,NYG 35,7,7,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,14:14,1,10,KAN 25,7,7,Darrel Williams up the middle for 2 yards (tackle by Dexter Lawrence),0.610,0.330
2,13:44,2,8,KAN 27,7,7,Patrick Mahomes pass incomplete short left intended for Tyreek Hill (defended by James Bradberry),0.330,-0.360
2,13:40,3,8,KAN 27,7,7,Patrick Mahomes pass incomplete short right,-0.360,-1.570
2,13:30,4,8,KAN 27,7,7,"Tommy Townsend punts 58 yards, recovered by Keion Crossen at NYG-15",-1.570,0.220
2,13:20,1,10,NYG 15,7,7,Devontae Booker right guard for 2 yards (tackle by Nick Bolton),-0.220,-0.440
2,12:39,2,8,NYG 17,7,7,Daniel Jones pass incomplete short right intended for Sterling Shepard,-0.440,-1.120
2,12:35,3,8,NYG 17,7,7,Daniel Jones pass incomplete short right intended for Sterling Shepard,-1.120,-2.320
2,12:31,4,8,NYG 17,7,7,"Riley Dixon punts 51 yards, fair catch by Mecole Hardman at KC-32",-2.320,-1.070
2,12:23,1,10,KAN 32,7,7,Patrick Mahomes pass complete short left to Darrel Williams for 7 yards (tackle by Darnay Holmes and Adoree' Jackson),1.070,1.470
2,11:47,2,3,KAN 39,7,7,Derrick Gore left guard for 4 yards (tackle by Tae Crowder),1.470,1.800
2,11:09,1,10,KAN 43,7,7,Patrick Mahomes pass complete short left to Tyreek Hill for 11 yards (tackle by Tae Crowder),1.800,2.520
2,10:35,,,,,,Timeout #2 by New York Giants,,
2,10:35,1,10,NYG 46,7,7,Derrick Gore left end for 4 yards (tackle by Benardrick McKinney and Tae Crowder),2.520,2.520
2,9:57,2,6,NYG 42,7,7,Patrick Mahomes pass incomplete short middle intended for Byron Pringle,2.520,1.820
2,9:51,3,6,NYG 42,7,7,Patrick Mahomes pass complete short right to Tyreek Hill for 9 yards (tackle by Xavier McKinney),1.820,3.380
2,9:15,1,10,NYG 33,7,7,Derrick Gore up the middle for 9 yards (tackle by Xavier McKinney),3.380,4.050
2,8:37,2,1,NYG 24,7,7,Derrick Gore up the middle for 7 yards (tackle by Logan Ryan),4.050,4.440
2,7:54,1,10,NYG 17,7,7,Derrick Gore right guard for 5 yards (tackle by Logan Ryan and Raymond Johnson),4.440,4.690
2,7:18,2,5,NYG 12,7,7,Derrick Gore up the middle for 9 yards (tackle by Adoree' Jackson),4.690,6.510
2,6:42,1,3,NYG 3,7,13,"Derrick Gore left end for 3 yards, touchdown",6.510,7.000
2,6:37,,,NYG 15,7,14,Harrison Butker kicks extra point good,0.000,0.000
2,6:37,,,KAN 35,7,14,"Harrison Butker kicks off 60 yards, returned by John Ross for 12 yards (tackle by Rashad Fenton and Derrick Gore)",0.000,-0.060
2,6:33,1,10,NYG 17,7,14,"Penalty on Collin Johnson: Taunting / Offense, 8 yards (accepted) (no play)",-0.060,-0.380
2,6:33,1,10,NYG 9,7,14,Daniel Jones pass complete short right to Kyle Rudolph for 11 yards (tackle by Tyrann Mathieu and Nick Bolton),-0.380,0.280
2,5:57,1,10,NYG 20,7,14,Daniel Jones pass complete short left to Sterling Shepard for 1 yard (tackle by L'Jarius Sneed),0.280,-0.130
