Quarter,Time,Down,ToGo,Location,TEN,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Randy Bullock kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAR 25,0,0,Darrell Henderson right tackle for 5 yards (tackle by Jackrabbit Jenkins and Kevin Byard),0.610,0.740
1,14:38,2,5,LAR 30,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Chris Jackson),0.740,1.470
1,14:03,1,10,LAR 38,0,0,Darrell Henderson up the middle for 3 yards (tackle by Jayon Brown),1.470,1.330
1,13:22,2,7,LAR 41,0,0,Matthew Stafford pass complete short right to Robert Woods for 14 yards (tackle by Jackrabbit Jenkins and Kevin Byard),1.330,2.590
1,12:35,1,10,TEN 45,0,0,Matthew Stafford sacked by Denico Autry for -9 yards,2.590,0.830
1,11:49,2,19,LAR 46,0,0,Matthew Stafford sacked by Jeffery Simmons for -7 yards,0.830,-0.760
1,11:05,3,26,LAR 39,0,0,Sony Michel right tackle for 4 yards (tackle by David Long and Jeffery Simmons),-0.760,-0.520
1,10:39,4,22,LAR 43,0,0,"Johnny Hekker punts 57 yards, touchback.",-0.520,-0.280
1,10:27,1,10,TEN 20,0,0,Adrian Peterson up the middle for 3 yards (tackle by Aaron Donald and Jordan Fuller),0.280,0.140
1,9:52,2,7,TEN 23,0,0,Ryan Tannehill pass complete short right to A.J. Brown for 15 yards (tackle by Darious Williams),0.140,1.470
1,9:15,1,10,TEN 38,0,0,Adrian Peterson up the middle for 1 yard (tackle by A'Shawn Robinson),1.470,1.060
1,8:40,2,9,TEN 39,0,0,"Ryan Tannehill pass deep right intended for A.J. Brown is intercepted by Jalen Ramsey at LA-44 and returned for 6 yards (tackle by A.J. Brown). Penalty on Jalen Ramsey: Unnecessary Roughness / Defense, 15 yards (accepted)",1.060,-1.270
1,8:33,1,10,LAR 35,0,0,Matthew Stafford scrambles right end for 1 yard (tackle by Elijah Molden),1.270,0.860
1,7:57,2,9,LAR 36,0,0,Matthew Stafford pass complete short middle to Cooper Kupp for 12 yards (tackle by Jayon Brown),0.860,2.130
1,7:11,1,10,LAR 48,0,0,Darrell Henderson right tackle for 14 yards (tackle by Kevin Byard and Jackrabbit Jenkins),2.130,3.050
1,6:48,1,10,TEN 38,0,0,Matthew Stafford pass incomplete deep left intended for Cooper Kupp (defended by Chris Jackson),3.050,2.510
1,6:41,2,10,TEN 38,0,0,Darrell Henderson right tackle for 4 yards (tackle by Naquan Jones and Larrell Murchison),2.510,2.340
1,6:02,3,6,TEN 34,0,0,Matthew Stafford scrambles up the middle for 12 yards (tackle by Harold Landry and David Long),2.340,4.110
1,5:14,1,10,TEN 22,0,0,Darrell Henderson left guard for 2 yards (tackle by Denico Autry),4.110,3.830
1,4:33,2,8,TEN 20,0,0,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Elijah Molden),3.830,3.740
1,3:54,3,4,TEN 16,0,0,Matthew Stafford pass incomplete short right intended for Robert Woods (defended by Denico Autry),3.740,2.450
1,3:50,4,4,TEN 16,0,3,Matt Gay 34 yard field goal good,2.450,3.000
1,3:46,,,LAR 35,0,3,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,3:46,1,10,TEN 25,0,3,Ryan Tannehill pass complete short left to Adrian Peterson for 5 yards (tackle by Taylor Rapp),0.610,0.740
1,3:13,2,5,TEN 30,0,3,Adrian Peterson right guard for 3 yards (tackle by A'Shawn Robinson and Marquise Copeland),0.740,0.430
1,2:32,3,2,TEN 33,0,3,Ryan Tannehill pass complete short left to Jeremy McNichols for -3 yards (tackle by Donte Deayon),0.430,-1.370
1,1:51,4,5,TEN 30,0,3,Brett Kern punts 41 yards out of bounds,-1.370,-0.870
1,1:44,1,10,LAR 29,0,3,"Darrell Henderson left end for 5 yards (tackle by Amani Hooker). Penalty on Van Jefferson: Offensive Holding, 10 yards (accepted)",0.870,0.540
1,1:18,1,15,LAR 24,0,3,Matthew Stafford pass complete short left to Darrell Henderson for no gain (tackle by Chris Jackson),0.540,-0.350
1,0:36,2,15,LAR 24,0,3,Matthew Stafford pass incomplete short right intended for Darrell Henderson,-0.350,-1.020
1,0:32,3,15,LAR 24,0,3,Matthew Stafford pass incomplete deep middle intended for Tyler Higbee,-1.020,-1.770
1,0:27,4,15,LAR 24,0,3,"Johnny Hekker punts 52 yards, returned by Chester Rogers for 11 yards (tackle by Nick Scott)",-1.770,-1.270
1,0:15,1,10,TEN 35,0,3,Ryan Tannehill pass complete short right to Anthony Firkser for 7 yards (tackle by Leonard Floyd),1.270,1.670
Quarter,Time,Down,ToGo,Location,TEN,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,TEN 42,0,3,Jeremy McNichols left tackle for -3 yards (tackle by Ogbonnia Okoronkwo),1.670,0.560
