Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Matt Ammendola kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Matt Ryan pass complete short right to Kyle Pitts for no gain (tackle by Jamien Sherwood),0.610,0.060
1,14:25,2,10,ATL 25,0,0,Mike Davis right guard for 10 yards (tackle by C.J. Mosley and Sharrod Neasman),0.060,1.270
1,13:41,1,10,ATL 35,0,0,Mike Davis up the middle for 1 yard (tackle by John Franklin-Myers and C.J. Mosley),1.270,0.860
1,13:03,2,9,ATL 36,0,0,Matt Ryan pass incomplete deep middle intended for Hayden Hurst,0.860,0.170
1,12:55,3,9,ATL 36,0,0,"Matt Ryan pass incomplete deep left intended for Tajae Sharpe. Penalty on Quinnen Williams: Roughing the Passer, 15 yards (accepted) (no play)",0.170,2.320
1,12:51,1,10,NYJ 49,0,0,Cordarrelle Patterson left end for 6 yards (tackle by Jamien Sherwood),2.320,2.590
1,12:11,2,4,NYJ 43,0,0,Matt Ryan pass incomplete short right intended for Tajae Sharpe (defended by Bryce Hall),2.590,1.880
1,12:07,3,4,NYJ 43,0,0,Matt Ryan pass complete short right to Lee Smith for 3 yards (tackle by Bryce Hall),1.880,0.590
1,11:28,4,1,NYJ 40,0,0,Cordarrelle Patterson up the middle for 12 yards (tackle by Brandin Echols and Jarrod Wilson),0.590,3.710
1,10:44,1,10,NYJ 28,0,0,Cordarrelle Patterson pass incomplete deep right,3.710,3.170
1,10:38,,,,,,Timeout #1 by Atlanta Falcons,,
1,10:38,2,10,NYJ 28,0,0,Matt Ryan pass complete short middle to Kyle Pitts for 16 yards (tackle by Sharrod Neasman and Michael Carter),3.170,4.780
1,10:17,1,10,NYJ 12,0,0,Mike Davis left end for 1 yard (tackle by Bryce Huff and Folorunso Fatukasi),4.780,4.270
1,9:42,2,9,NYJ 11,0,0,Matt Ryan pass incomplete short middle intended for Kyle Pitts,4.270,3.290
1,9:37,3,9,NYJ 11,0,0,Matt Ryan pass complete short middle to Mike Davis for -2 yards (tackle by Sharrod Neasman and Sheldon Rankins),3.290,2.570
1,8:51,4,11,NYJ 13,0,3,Younghoe Koo 31 yard field goal good,2.570,3.000
1,8:46,,,ATL 35,0,3,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
1,8:46,1,10,NYJ 25,0,3,Michael Carter left guard for 5 yards (tackle by Jonathan Bullard),0.610,0.740
1,8:08,2,5,NYJ 30,0,3,Zach Wilson scrambles right end for 3 yards (tackle by AJ Terrell),0.740,0.430
1,7:18,3,2,NYJ 33,0,3,"Zach Wilson pass incomplete short left intended for Jamison Crowder (defended by Richie Grant) Penalty on NYJ: Illegal Shift, 5 yards (declined)",0.430,-1.180
1,7:10,4,2,NYJ 33,0,3,Thomas Morstead punts 59 yards,-1.180,0.380
1,6:58,1,10,ATL 8,0,3,"Mike Davis right tackle for 3 yards (tackle by Jamien Sherwood). Penalty on Nathan Shepherd: Defensive Holding, 5 yards (accepted)",-0.380,-0.140
1,6:29,1,10,ATL 16,0,3,Matt Ryan pass incomplete short right intended for Mike Davis,-0.140,-0.660
1,6:25,2,10,ATL 16,0,3,Cordarrelle Patterson right tackle for 9 yards (tackle by Tim Ward),-0.660,-0.200
1,5:58,3,1,ATL 25,0,3,Matt Ryan pass complete short left to Tajae Sharpe for 14 yards (tackle by Brandin Echols),-0.200,1.530
1,5:14,1,10,ATL 39,0,3,Cordarrelle Patterson left tackle for no gain (tackle by Quinnen Williams and Bryce Huff),1.530,0.990
1,4:33,2,10,ATL 39,0,3,Matt Ryan pass complete short right to Kyle Pitts for 18 yards (tackle by Ashtyn Davis),0.990,2.720
1,3:55,1,10,NYJ 43,0,3,Cordarrelle Patterson left guard for 3 yards (tackle by Quincy Williams),2.720,2.580
1,3:15,2,7,NYJ 40,0,3,Matt Ryan pass complete short right to Lee Smith for 22 yards (tackle by Ashtyn Davis),2.580,4.370
1,2:31,1,10,NYJ 18,0,3,Matt Ryan pass complete short middle to Cordarrelle Patterson for 16 yards (tackle by Bryce Hall),4.370,6.740
1,1:47,1,2,NYJ 2,0,9,"Matt Ryan pass complete short middle to Kyle Pitts for 2 yards, touchdown",6.740,7.000
1,1:42,,,NYJ 15,0,10,Younghoe Koo kicks extra point good,0.000,0.000
1,1:42,,,ATL 35,0,10,"Younghoe Koo kicks off 64 yards, returned by Tevin Coleman for 27 yards (tackle by Younghoe Koo)",0.000,0.810
1,1:35,1,10,NYJ 28,0,10,Zach Wilson pass incomplete short middle intended for Corey Davis (defended by Fabian Moreau),0.810,0.260
1,1:29,2,10,NYJ 28,0,10,Michael Carter right tackle for -3 yards (tackle by Tyeler Davison),0.260,-0.820
1,0:51,,,,,,Timeout #1 by New York Jets,,
1,0:51,3,13,NYJ 25,0,10,Zach Wilson pass complete short left to Ty Johnson for 11 yards (tackle by Duron Harmon and Deion Jones),-0.820,-0.980
1,0:09,4,2,NYJ 36,0,10,"Thomas Morstead punts 56 yards, returned by Olamide Zaccheaus for 15 yards (tackle by Trevon Wesco)",-0.980,-0.480
Quarter,Time,Down,ToGo,Location,NYJ,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 23,0,10,Mike Davis right guard for 1 yard (tackle by Quincy Williams and Folorunso Fatukasi),0.480,0.070
2,14:19,2,9,ATL 24,0,10,Matt Ryan pass complete short right to Cordarrelle Patterson for 13 yards (tackle by Bryce Hall),0.070,1.400
2,13:42,1,10,ATL 37,0,10,Cordarrelle Patterson left guard for 4 yards (tackle by Nathan Shepherd and C.J. Mosley),1.400,1.400
2,13:04,2,6,ATL 41,0,10,Matt Ryan pass complete short left to Cordarrelle Patterson for 5 yards (tackle by Bryce Huff and Ashtyn Davis),1.400,1.360
2,12:16,3,1,ATL 46,0,10,"Matt Ryan pass complete short left to Kyle Pitts for 22 yards (tackle by Bryce Hall). Penalty on Nathan Shepherd: Roughing the Passer, 15 yards (accepted)",1.360,4.440
2,11:42,1,10,NYJ 17,0,10,Cordarrelle Patterson left tackle for no gain (tackle by Shaq Lawson),4.440,3.850
2,11:11,2,10,NYJ 17,0,10,Matt Ryan pass incomplete short right intended for Cordarrelle Patterson (defended by Tim Ward),3.850,3.070
2,11:06,3,10,NYJ 17,0,16,"Matt Ryan pass complete short middle to Hayden Hurst for 17 yards, touchdown",3.070,7.000
2,11:01,,,NYJ 15,0,17,Younghoe Koo kicks extra point good,0.000,0.000
2,11:01,,,ATL 35,0,17,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
2,11:01,1,10,NYJ 25,0,17,Zach Wilson pass incomplete short right intended for Ryan Griffin,0.610,0.060
2,10:57,2,10,NYJ 25,0,17,Zach Wilson pass deep left intended for Keelan Cole is intercepted by Jaylinn Hawkins at NYJ-45 and returned for 11 yards (tackle by Trevon Wesco and Michael Carter),0.060,-3.310
2,10:46,1,10,NYJ 34,0,17,Matt Ryan pass complete short right to Lee Smith for 5 yards,3.310,3.450
2,10:07,2,5,NYJ 29,0,17,"Matt Ryan pass complete short right to Hayden Hurst for 16 yards. Hayden Hurst fumbles (forced by C.J. Mosley) (tackle by Bryce Hall), recovered by Michael Carter at NYJ-11 and returned for 2 yards (tackle by Hayden Hurst)",3.450,0.320
2,9:57,1,10,NYJ 13,0,17,Michael Carter up the middle for 2 yards (tackle by Steven Means),-0.320,-0.570
2,9:19,2,8,NYJ 15,0,17,Zach Wilson pass complete short left to Corey Davis for 14 yards (tackle by Fabian Moreau),-0.570,0.870
2,8:47,1,10,NYJ 29,0,17,Michael Carter left tackle for 7 yards (tackle by Deion Jones and Foyesade Oluokun),0.870,1.270
2,8:23,2,3,NYJ 36,0,17,Zach Wilson pass incomplete deep left intended for Denzel Mims,1.270,0.560
2,8:16,3,3,NYJ 36,0,17,"Zach Wilson pass incomplete short left intended for Corey Davis. Penalty on Duron Harmon: Defensive Pass Interference, 10 yards (accepted) (no play)",0.560,1.990
2,8:12,1,10,NYJ 46,0,17,Tevin Coleman right tackle for 3 yards (tackle by Jonathan Bullard),1.990,1.860
2,7:33,2,7,NYJ 49,0,17,Tevin Coleman right tackle for 5 yards (tackle by Richie Grant and Foyesade Oluokun),1.860,1.820
2,6:50,3,2,ATL 46,0,17,Ty Johnson right guard for 4 yards (tackle by Jacob Tuioti-Mariner),1.820,2.790
2,6:08,1,10,ATL 42,0,17,Zach Wilson pass complete short right to Michael Carter for 1 yard (tackle by Adetokunbo Ogundeji),2.790,2.380
