Quarter,Time,Down,ToGo,Location,SEA,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Football Team to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 55 yards, returned by DeAndre Carter for 12 yards (tackle by Nick Bellore)",0.000,0.410
1,14:56,1,10,WAS 22,0,0,Taylor Heinicke pass incomplete short middle intended for Logan Thomas,0.410,-0.130
1,14:52,2,10,WAS 22,0,0,J.D. McKissic right end for 6 yards (tackle by Kerry Hyder),-0.130,-0.030
1,14:12,3,4,WAS 28,0,0,Taylor Heinicke pass incomplete deep middle intended for Terry McLaurin,-0.030,-1.500
1,14:06,4,4,WAS 28,0,0,"Tress Way punts 48 yards, fair catch by Ryan Neal at SEA-24",-1.500,-0.540
1,13:59,1,10,SEA 24,0,0,Russell Wilson pass complete short right to Tyler Lockett for 2 yards (tackle by William Jackson),0.540,0.270
1,13:20,2,8,SEA 26,0,0,Alex Collins right end for -1 yards (tackle by Landon Collins),0.270,-0.560
1,12:36,3,9,SEA 25,0,0,Russell Wilson pass incomplete short left intended for Gerald Everett,-0.560,-1.700
1,12:32,4,9,SEA 25,0,0,"Michael Dickson punts 48 yards, fair catch by DeAndre Carter at WAS-27",-1.700,-0.740
1,12:24,1,10,WAS 27,0,0,Taylor Heinicke pass complete short right to Logan Thomas for 5 yards (tackle by Jamal Adams),0.740,0.870
1,11:49,2,5,WAS 32,0,0,Taylor Heinicke pass complete short right to Antonio Gibson for 4 yards (tackle by Bobby Wagner),0.870,0.700
1,11:04,,,,,,Timeout #1 by Seattle Seahawks,,
1,11:04,3,1,WAS 36,0,0,Antonio Gibson left end for 7 yards (tackle by Quandre Diggs and Kerry Hyder),0.700,1.800
1,10:27,1,10,WAS 43,0,0,Antonio Gibson left end for 3 yards (tackle by Bryan Mone),1.800,1.660
1,9:44,2,7,WAS 46,0,0,Taylor Heinicke pass complete short middle to John Bates for 15 yards (tackle by D.J. Reed),1.660,2.980
