Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, returned by Devin Duvernay for 24 yards (tackle by Rasul Douglas)",0.000,0.480
1,14:55,1,10,BAL 23,0,0,Latavius Murray left guard for 2 yards (tackle by Tyler Lancaster and Rashan Gary),0.480,0.200
1,14:18,2,8,BAL 25,0,0,Tyler Huntley pass complete short left to Marquise Brown for 3 yards (tackle by De'Vondre Campbell),0.200,-0.100
1,13:48,3,5,BAL 28,0,0,Tyler Huntley pass complete short middle to Mark Andrews for 43 yards (tackle by Adrian Amos),-0.100,3.640
1,13:12,1,10,GNB 29,0,0,Devonta Freeman left guard for 4 yards (tackle by Tyler Lancaster and De'Vondre Campbell),3.640,3.640
1,12:38,2,6,GNB 25,0,0,"Penalty on Tyre Phillips: False Start, 5 yards (accepted) (no play)",3.640,2.970
1,12:17,2,11,GNB 30,0,0,Tyler Huntley pass complete short middle to Marquise Brown for 5 yards (tackle by Rasul Douglas),2.970,2.940
1,11:40,3,6,GNB 25,0,0,Tyler Huntley pass complete short left to Devin Duvernay for 5 yards (tackle by Rasul Douglas),2.940,2.270
1,11:14,4,1,GNB 20,0,0,Tyler Huntley right tackle for 3 yards (tackle by De'Vondre Campbell and Tedarrell Slaton),2.270,4.440
1,10:37,1,10,GNB 17,0,0,Tyler Huntley scrambles right end for 1 yard (tackle by Tyler Lancaster and De'Vondre Campbell),4.440,4.000
1,9:54,2,9,GNB 16,0,0,Devonta Freeman left guard for 7 yards (tackle by Adrian Amos and Darnell Savage),4.000,4.570
1,9:14,3,2,GNB 9,0,0,Tyler Huntley pass complete short right to Mark Andrews for 4 yards (tackle by Chandon Sullivan),4.570,6.060
1,8:38,1,5,GNB 5,0,0,Devonta Freeman right guard for 2 yards (tackle by Tedarrell Slaton and De'Vondre Campbell),6.060,5.530
1,7:54,2,3,GNB 3,0,0,Tyler Huntley pass incomplete short right intended for Marquise Brown,5.530,4.720
1,7:50,3,3,GNB 3,0,0,Tyler Huntley pass incomplete short right intended for Latavius Murray (defended by Adrian Amos),4.720,3.040
1,7:44,4,3,GNB 3,0,0,Tyler Huntley sacked by De'Vondre Campbell for -4 yards,3.040,0.380
1,7:38,1,10,GNB 7,0,0,Aaron Jones right guard for 4 yards (tackle by Patrick Queen),-0.380,-0.490
1,7:00,2,6,GNB 11,0,0,Aaron Jones right guard for 2 yards (tackle by Tyus Bowser and Josh Bynes),-0.490,-0.720
1,6:21,3,4,GNB 13,0,0,Aaron Rodgers pass incomplete deep left intended for Davante Adams,-0.720,-2.490
1,6:15,4,4,GNB 13,0,0,"Corey Bojorquez punts 47 yards, fair catch by Devin Duvernay at BAL-40. Penalty on Isaac Yiadom: Kick Catch Interference, 15 yards (accepted)",-2.490,-2.590
1,6:05,1,10,GNB 45,0,0,Tyler Huntley pass incomplete short right intended for Mark Andrews (defended by Dean Lowry),2.590,2.040
1,6:02,2,10,GNB 45,0,0,Tyler Huntley pass complete short left to Mark Andrews for 22 yards (tackle by Darnell Savage),2.040,4.040
1,5:25,1,10,GNB 23,0,0,Latavius Murray left end for -2 yards (tackle by Rashan Gary),4.040,3.230
1,4:44,2,12,GNB 25,0,0,Tyler Huntley scrambles right end for 5 yards (tackle by De'Vondre Campbell),3.230,3.200
1,4:06,3,7,GNB 20,0,0,Tyler Huntley pass complete short middle to James Proche for 8 yards (tackle by Chandon Sullivan),3.200,4.780
1,3:23,1,10,GNB 12,0,0,Tyler Huntley pass complete short left to Marquise Brown for 4 yards (tackle by Adrian Amos),4.780,4.830
1,2:40,2,6,GNB 8,0,6,"Tyler Huntley pass complete short right to Mark Andrews for 8 yards, touchdown",4.830,7.000
1,2:33,,,GNB 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,2:33,,,BAL 35,0,7,"Justin Tucker kicks off 65 yards, returned by Amari Rodgers for 26 yards (tackle by Kevon Seymour). Penalty on Isaiah McDuffie: Offensive Holding, 10 yards (accepted)",0.000,-0.140
1,2:27,1,10,GNB 16,0,7,"Penalty on Dennis Kelly: False Start, 5 yards (accepted) (no play)",-0.140,-0.540
1,2:27,1,15,GNB 11,0,7,Aaron Rodgers pass complete short middle to Allen Lazard for 17 yards (tackle by Patrick Queen),-0.540,0.810
1,1:46,1,10,GNB 28,0,7,AJ Dillon right guard for 2 yards (tackle by Justin Houston and Josh Bynes),0.810,0.530
1,1:05,2,8,GNB 30,0,7,AJ Dillon right guard for 4 yards (tackle by Josh Bynes and Patrick Queen),0.530,0.370
1,0:29,3,4,GNB 34,0,7,Aaron Rodgers pass complete short right to Allen Lazard for 6 yards (tackle by Patrick Queen),0.370,1.600
Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 40,0,7,Aaron Rodgers pass complete short left to Davante Adams for 11 yards (tackle by Josh Bynes and Brandon Stephens),1.600,2.320
2,14:26,1,10,BAL 49,0,7,Aaron Rodgers pass complete deep right to Marquez Valdes-Scantling for 31 yards (tackle by Geno Stone),2.320,4.370
2,13:46,1,10,BAL 18,0,7,"Aaron Rodgers pass incomplete intended for Josiah Deguara. Penalty on Odafe Oweh: Roughing the Passer, 9 yards (accepted) (no play)",4.370,5.140
2,13:40,1,9,BAL 9,0,7,Aaron Rodgers pass complete short left to Marcedes Lewis for 7 yards (tackle by Anthony Levine),5.140,5.720
2,12:56,2,2,BAL 2,6,7,"AJ Dillon left guard for 2 yards, touchdown",5.720,7.000
2,12:50,,,BAL 15,7,7,Mason Crosby kicks extra point good,0.000,0.000
2,12:50,,,GNB 35,7,7,"Mason Crosby kicks off 64 yards, returned by Devin Duvernay for 26 yards (tackle by Shemar Jean-Charles)",0.000,0.740
2,12:45,1,10,BAL 27,7,7,Tyler Huntley pass incomplete deep right intended for Mark Andrews,0.740,0.200
2,12:35,2,10,BAL 27,7,7,"Tyler Huntley left end for 3 yards (tackle by Rasul Douglas). Penalty on Darnell Savage: Low Block, 15 yards (accepted)",0.200,1.930
2,12:11,1,10,BAL 45,7,7,Latavius Murray left guard for 16 yards (tackle by Rasul Douglas and Adrian Amos),1.930,2.980
2,11:30,1,10,GNB 39,7,7,Tyler Huntley pass incomplete deep left intended for Rashod Bateman,2.980,2.440
2,11:22,2,10,GNB 39,7,7,Tyler Huntley pass complete short right to Marquise Brown for 7 yards (tackle by Eric Stokes),2.440,2.680
2,10:44,3,3,GNB 32,7,7,Tyler Huntley pass complete short middle to Mark Andrews for 9 yards (tackle by Rasul Douglas),2.680,4.040
2,10:00,1,10,GNB 23,7,7,Tyler Huntley right guard for 4 yards (tackle by Rasul Douglas),4.040,4.050
2,9:22,2,6,GNB 19,7,7,Tyler Huntley pass complete short right to Devonta Freeman for 2 yards (tackle by Darnell Savage),4.050,3.660
2,8:36,3,4,GNB 17,7,7,Tyler Huntley pass complete short middle to Devin Duvernay for 7 yards (tackle by Eric Stokes),3.660,4.910
2,7:55,1,10,GNB 10,7,7,Tyler Huntley pass complete short middle to Devin Duvernay for 1 yard (tackle by Preston Smith),4.910,4.380
2,7:16,2,9,GNB 9,7,13,"Tyler Huntley pass complete short left to Mark Andrews for 9 yards, touchdown",4.380,7.000
2,7:11,,,GNB 15,7,14,Justin Tucker kicks extra point good,0.000,0.000
2,7:11,,,BAL 35,7,14,"Justin Tucker kicks off 63 yards, returned by Amari Rodgers for 21 yards (tackle by Chris Board)",0.000,0.480
2,7:06,1,10,GNB 23,7,14,Aaron Jones up the middle for 3 yards (tackle by Justin Madubuike and Brandon Williams),0.480,0.340
2,6:29,2,7,GNB 26,7,14,Aaron Rodgers pass complete deep middle to Tyler Davis for 22 yards (tackle by Kevon Seymour),0.340,2.130
2,5:50,1,10,GNB 48,7,14,Aaron Jones right guard for 7 yards (tackle by Kevon Seymour),2.130,2.530
2,5:15,2,3,BAL 45,7,14,Aaron Rodgers pass complete short left to Marcedes Lewis for 10 yards (tackle by Kristian Welch and Geno Stone),2.530,3.250
2,4:27,1,10,BAL 35,7,14,Aaron Jones right guard for 9 yards (tackle by Odafe Oweh and Geno Stone),3.250,3.920
2,3:48,2,1,BAL 26,7,14,Aaron Rodgers pass complete short right to Aaron Jones for 3 yards (tackle by Patrick Queen),3.920,4.040
2,3:03,1,10,BAL 23,7,14,Aaron Rodgers scrambles left end for 8 yards (tackle by Patrick Queen),4.040,4.750
2,2:18,2,2,BAL 15,7,14,Aaron Rodgers pass complete short left to AJ Dillon for 13 yards (tackle by Brandon Stephens and Tavon Young),4.750,6.740
2,2:00,1,2,BAL 2,7,14,Aaron Rodgers pass incomplete short left intended for Josiah Deguara,6.740,5.720
2,1:56,2,2,BAL 2,7,14,AJ Dillon left guard for -1 yards (tackle by Justin Houston),5.720,4.720
2,1:13,3,3,BAL 3,13,14,"Aaron Rodgers pass complete short left to Davante Adams for 3 yards, touchdown",4.720,7.000
2,1:09,,,BAL 15,14,14,Mason Crosby kicks extra point good,0.000,0.000
2,1:09,,,GNB 35,14,14,"Mason Crosby kicks off 62 yards, returned by Devin Duvernay for 34 yards (tackle by Henry Black)",0.000,1.400
2,0:58,1,10,BAL 37,14,14,Tyler Huntley pass incomplete short right intended for Marquise Brown,1.400,0.860
2,0:50,2,10,BAL 37,14,14,"Tyler Huntley pass incomplete short left. Penalty on Tyler Huntley: Intentional Grounding, 11 yards (accepted)",0.860,-1.220
2,0:50,3,20,BAL 26,14,14,Devonta Freeman left guard for 6 yards (tackle by Preston Smith),-1.220,-1.240
2,0:45,,,,,,Timeout #1 by Green Bay Packers,,
2,0:45,4,14,BAL 32,14,14,"Sam Koch punts 42 yards, fair catch by Chandon Sullivan at GB-26",-1.240,-0.670
2,0:38,1,10,GNB 26,14,14,Aaron Rodgers pass complete deep middle to Marquez Valdes-Scantling for 24 yards (tackle by Chris Board and Brandon Stephens),0.670,2.260
2,0:31,,,,,,Timeout #0 by Green Bay Packers,,
2,0:31,1,10,BAL 50,14,14,Aaron Rodgers sacked by and Tyus Bowser for -9 yards and Justin Houston for -9 yards,2.260,0.500
2,0:25,,,,,,Timeout #0 by Green Bay Packers,,
2,0:25,2,19,GNB 41,14,14,Aaron Rodgers pass incomplete short right intended for Josiah Deguara,0.500,-0.160
2,0:20,3,19,GNB 41,14,14,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling (defended by Brandon Stephens),-0.160,-0.650
2,0:14,4,19,GNB 41,14,14,"Corey Bojorquez punts 59 yards, touchback.",-0.650,-0.280
2,0:07,1,10,BAL 20,14,14,Tyler Huntley kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,GNB,BAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BAL 35,14,14,"Justin Tucker kicks off 65 yards, returned by Malik Taylor for 20 yards (tackle by Kevon Seymour)",0.000,0.280
3,14:55,1,10,GNB 20,14,14,Aaron Jones right guard for 4 yards (tackle by Patrick Queen),0.280,0.270
3,14:17,2,6,GNB 24,14,14,Aaron Rodgers pass incomplete deep middle intended for Marquez Valdes-Scantling,0.270,-0.430
3,14:09,3,6,GNB 24,14,14,Aaron Rodgers pass complete short left to Davante Adams for 6 yards (tackle by Anthony Levine),-0.430,0.940
3,13:28,1,10,GNB 30,14,14,Aaron Jones left guard for 11 yards (tackle by Patrick Queen),0.940,1.660
3,12:44,1,10,GNB 41,14,14,Aaron Jones left guard for 5 yards (tackle by Geno Stone and Robert Jackson),1.660,1.800
3,12:01,2,5,GNB 46,14,14,AJ Dillon left guard for 4 yards (tackle by Patrick Queen and Josh Bynes),1.800,1.620
3,11:18,3,1,BAL 50,14,14,Aaron Rodgers pass complete short middle to Josiah Deguara for 1 yard (tackle by Anthony Averett),1.620,2.320
3,10:48,1,10,BAL 49,14,14,Aaron Jones left guard for 9 yards (tackle by Jaylon Ferguson),2.320,3.000
3,10:06,2,1,BAL 40,14,14,Aaron Jones left guard for 3 yards (tackle by Justin Houston),3.000,3.120
3,9:22,1,10,BAL 37,14,14,Aaron Rodgers pass complete short middle to Davante Adams for 16 yards (tackle by Geno Stone),3.120,4.170
3,8:38,1,10,BAL 21,14,14,Aaron Rodgers sacked by Josh Bynes for no gain,4.170,3.630
3,7:52,2,10,BAL 21,14,14,Aaron Rodgers pass incomplete short right intended for Juwann Winfree,3.630,2.940
3,7:49,3,10,BAL 21,14,14,"Aaron Rodgers pass incomplete intended for Allen Lazard. Penalty on Kevon Seymour: Defensive Pass Interference, 12 yards (accepted) (no play)",2.940,5.140
3,7:45,1,9,BAL 9,20,14,"Aaron Rodgers pass complete short left to Aaron Jones for 9 yards, touchdown",5.140,7.000
3,7:40,,,BAL 15,21,14,Mason Crosby kicks extra point good,0.000,0.000
3,7:40,,,GNB 35,21,14,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,7:40,1,10,BAL 25,21,14,Latavius Murray right tackle for 8 yards (tackle by Krys Barnes),0.610,1.140
