Quarter,Time,Down,ToGo,Location,DET,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DET 25,0,0,Jamaal Williams right guard for 6 yards (tackle by Leonard Floyd),0.610,0.870
1,14:20,2,4,DET 31,0,0,Kalif Raymond right end for 1 yard (tackle by Jalen Ramsey and Aaron Donald),0.870,0.300
1,13:38,3,3,DET 32,0,0,Jared Goff pass complete short right to D'Andre Swift for 4 yards (tackle by Jalen Ramsey and Troy Reeder),0.300,1.330
1,13:01,1,10,DET 36,0,0,Jared Goff pass incomplete short right intended for T.J. Hockenson,1.330,0.790
1,12:58,2,10,DET 36,0,0,D'Andre Swift up the middle for 1 yard (tackle by Jordan Fuller),0.790,0.230
1,12:21,3,9,DET 37,6,0,"Jared Goff pass complete short left to D'Andre Swift for 63 yards, touchdown",0.230,7.000
1,12:07,,,LAR 15,7,0,Austin Seibert kicks extra point good,0.000,0.000
1,12:07,,,DET 35,7,0,"Austin Seibert kicks onside 12 yards, recovered by Tracy Walker",0.000,-2.060
1,12:04,1,10,DET 47,7,0,"Jamaal Williams up the middle for no gain (tackle by Taylor Rapp and Kenny Young). Penalty on Penei Sewell: Offensive Holding, 10 yards (offset) . Penalty on Sebastian Joseph-Day: Defensive Holding, 5 yards (offset) (no play)",2.060,2.060
1,11:45,1,10,DET 47,7,0,D'Andre Swift up the middle for 3 yards (tackle by Sebastian Joseph-Day),2.060,1.920
1,11:10,2,7,DET 50,7,0,Jared Goff pass incomplete short right intended for Kalif Raymond,1.920,1.220
1,11:05,3,7,DET 50,7,0,Jared Goff pass incomplete short right intended for T.J. Hockenson,1.220,-0.060
1,11:01,4,7,DET 50,7,0,Jack Fox pass complete short left to Bobby Price for 17 yards (tackle by Nick Scott),-0.060,3.380
1,10:13,1,10,LAR 33,7,0,D'Andre Swift left guard for 7 yards (tackle by Taylor Rapp),3.380,3.780
1,9:35,2,3,LAR 26,7,0,Jamaal Williams left tackle for 6 yards (tackle by Greg Gaines and Troy Reeder),3.780,4.240
1,8:54,1,10,LAR 20,7,0,Jared Goff pass complete short middle to D'Andre Swift for -1 yards (tackle by Jalen Ramsey),4.240,3.560
1,8:16,2,11,LAR 21,7,0,Jamaal Williams up the middle for 3 yards (tackle by Leonard Floyd and A'Shawn Robinson),3.560,3.100
1,7:37,3,9,LAR 19,7,0,Jared Goff pass incomplete short middle intended for Geronimo Allison,3.100,2.180
1,7:32,4,9,LAR 19,10,0,Austin Seibert 37 yard field goal good,2.180,3.000
1,7:28,,,DET 35,10,0,"Austin Seibert kicks off 64 yards, returned by Ben Skowronek for 17 yards (tackle by C.J. Moore)",0.000,0.040
1,7:23,1,10,LAR 18,10,0,Matthew Stafford pass complete short right to Tyler Higbee for 16 yards (tackle by Will Harris and Jalen Reeves-Maybin),0.040,1.200
1,6:51,1,10,LAR 34,10,0,Darrell Henderson left tackle for 4 yards (tackle by Trey Flowers),1.200,1.200
1,6:28,2,6,LAR 38,10,0,Matthew Stafford pass complete deep left to Cooper Kupp for 29 yards (tackle by Tracy Walker),1.200,3.380
1,5:53,1,10,DET 33,10,0,Matthew Stafford pass complete short right to Darrell Henderson for 4 yards (tackle by Alex Anzalone),3.380,3.380
1,5:22,2,6,DET 29,10,0,Darrell Henderson left tackle for 3 yards (tackle by Charles Harris and Alex Anzalone),3.380,3.070
1,4:41,3,3,DET 26,10,0,Matthew Stafford pass complete short left to Cooper Kupp for 5 yards (tackle by Jerry Jacobs),3.070,4.170
1,4:02,1,10,DET 21,10,0,Matthew Stafford pass complete short middle to Cooper Kupp for 1 yard (tackle by Jalen Reeves-Maybin),4.170,3.760
1,3:27,2,9,DET 20,10,0,Matthew Stafford pass complete short right to Tyler Higbee for 5 yards (tackle by Will Harris),3.760,3.810
1,3:04,3,4,DET 15,10,0,Matthew Stafford pass incomplete short right intended for Darrell Henderson,3.810,2.520
1,2:59,4,4,DET 15,10,3,Matt Gay 33 yard field goal good,2.520,3.000
1,2:55,,,LAR 35,10,3,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,2:55,1,10,DET 25,10,3,D'Andre Swift up the middle for 1 yard (tackle by Jamir Jones),0.610,0.200
1,2:23,2,9,DET 26,10,3,Jared Goff pass complete short middle to T.J. Hockenson for 21 yards (tackle by Jalen Ramsey),0.200,2.060
1,1:41,1,10,DET 47,10,3,Jamaal Williams up the middle for 5 yards (tackle by Taylor Rapp),2.060,2.190
1,1:08,2,5,LAR 48,10,3,Jamaal Williams right end for 12 yards (tackle by Jordan Fuller),2.190,3.180
1,0:31,1,10,LAR 36,10,3,Jared Goff scrambles right end for 3 yards (tackle by Leonard Floyd),3.180,3.040
Quarter,Time,Down,ToGo,Location,DET,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,LAR 33,10,3,"D'Andre Swift for no gain (tackle by Kenny Young and Terrell Burgess). Penalty on T.J. Hockenson: Offensive Holding, 10 yards (accepted) (no play)",3.040,1.690
2,14:33,2,17,LAR 43,10,3,Jared Goff pass incomplete short left intended for Kalif Raymond (defended by Robert Rochell),1.690,1.020
2,14:29,3,17,LAR 43,10,3,D'Andre Swift left tackle for 14 yards (tackle by Jordan Fuller and Robert Rochell),1.020,1.580
2,13:45,,,,,,Timeout #1 by Detroit Lions,,
2,13:45,4,3,LAR 29,13,3,Austin Seibert 47 yard field goal good,1.580,3.000
2,13:40,,,DET 35,13,3,"Austin Seibert kicks off 66 yards, returned by Ben Skowronek for 17 yards (tackle by Godwin Igwebuike)",0.000,-0.140
2,13:35,1,10,LAR 16,13,3,Matthew Stafford pass incomplete short right intended for Cooper Kupp,-0.140,-0.660
2,13:31,2,10,LAR 16,13,3,Matthew Stafford pass complete short left to Van Jefferson for 5 yards (tackle by Jerry Jacobs),-0.660,-0.700
2,12:48,3,5,LAR 21,13,3,"Matthew Stafford pass incomplete deep left intended for Van Jefferson (defended by Jerry Jacobs). Penalty on Jerry Jacobs: Defensive Pass Interference, 32 yards (accepted) (no play)",-0.700,2.460
2,12:41,1,10,DET 47,13,3,Darrell Henderson left tackle for 5 yards (tackle by Alex Anzalone),2.460,2.590
2,12:01,2,5,DET 42,13,3,Matthew Stafford pass incomplete deep right intended for Van Jefferson,2.590,1.880
2,11:54,3,5,DET 42,13,3,"Penalty on Austin Bryant: Neutral Zone Infraction, 5 yards (accepted) (no play)",1.880,3.120
2,11:54,1,10,DET 37,13,3,Matthew Stafford pass complete short middle to Darrell Henderson for 2 yards (tackle by Alex Anzalone),3.120,2.840
2,11:15,2,8,DET 35,13,3,Darrell Henderson up the middle for 10 yards (tackle by Amani Oruwariye and Tracy Walker),2.840,3.910
2,10:43,1,10,DET 25,13,3,Darrell Henderson left tackle for no gain (tackle by Julian Okwara),3.910,3.360
2,10:02,2,10,DET 25,13,3,Matthew Stafford pass complete short left to Cooper Kupp for 11 yards (tackle by Jalen Reeves-Maybin),3.360,4.650
2,9:25,1,10,DET 14,13,3,Darrell Henderson left tackle for 3 yards (tackle by Charles Harris and Michael Brockers),4.650,4.520
2,8:45,2,7,DET 11,13,3,Matthew Stafford pass incomplete short left intended for Darrell Henderson,4.520,3.620
2,8:41,3,7,DET 11,13,9,"Matthew Stafford pass complete short left to Van Jefferson for 11 yards, touchdown",3.620,7.000
2,8:36,,,DET 15,13,10,Matt Gay kicks extra point good,0.000,0.000
2,8:36,,,LAR 35,13,10,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
2,8:36,1,10,DET 25,13,10,"Penalty on Buddy Howell: Offside on Free Kick, 5 yards (accepted) (no play)",0.610,0.940
2,8:36,1,10,DET 30,13,10,"Jared Goff pass incomplete short middle intended for Halapoulivaati Vaitai. Penalty on Halapoulivaati Vaitai: Illegal Touch Pass, 5 yards (accepted) (no play)",0.940,0.610
2,8:31,1,15,DET 25,13,10,Jared Goff pass incomplete short left,0.610,-0.280
2,8:25,2,15,DET 25,13,10,"D'Andre Swift up the middle for 1 yard (tackle by Sebastian Joseph-Day and Leonard Floyd). Penalty on Evan Brown: Offensive Holding, 10 yards (declined)",-0.280,-0.820
2,8:08,3,14,DET 26,13,10,Jared Goff pass complete short middle to Kalif Raymond for 12 yards (tackle by Donte Deayon and Kenny Young),-0.820,-0.850
2,7:18,4,2,DET 38,13,10,Jack Fox punts 36 yards downed by Geronimo Allison,-0.850,-0.670
2,7:07,1,10,LAR 26,13,10,Matthew Stafford pass incomplete intended for Tyler Higbee (defended by AJ Parker),0.670,0.130
2,7:02,2,10,LAR 26,13,10,Matthew Stafford pass complete to Cooper Kupp for 27 yards (tackle by AJ Parker and Tracy Walker),0.130,2.460
2,6:23,1,10,DET 47,13,10,Darrell Henderson left end for 1 yard (tackle by Charles Harris),2.460,2.050
2,5:39,2,9,DET 46,13,10,Matthew Stafford pass complete short right to Cooper Kupp for 3 yards (tackle by Tracy Walker),2.050,1.750
2,4:58,3,6,DET 43,13,10,Matthew Stafford pass complete short right to Robert Woods for 22 yards (tackle by Amani Oruwariye),1.750,4.170
2,4:16,,,,,,Timeout #1 by Los Angeles Rams,,
2,4:16,1,10,DET 21,13,10,Darrell Henderson right tackle for 1 yard (tackle by Alex Anzalone),4.170,3.760
2,3:38,2,9,DET 20,13,10,"Penalty on Tyler Higbee: False Start, 5 yards (accepted) (no play)",3.760,3.090
2,3:19,2,14,DET 25,13,10,Matthew Stafford pass complete short right to Robert Woods for 10 yards (tackle by Amani Oruwariye),3.090,3.810
2,2:33,3,4,DET 15,13,10,Matthew Stafford pass complete short left to Robert Woods for 4 yards (tackle by Jerry Jacobs and Jalen Reeves-Maybin),3.810,4.840
2,2:00,1,10,DET 11,13,10,Matthew Stafford pass incomplete short left intended for Tyler Higbee,4.840,4.140
2,1:55,2,10,DET 11,13,10,Matthew Stafford pass complete short middle to Robert Woods for 9 yards (tackle by AJ Parker and Tracy Walker),4.140,5.120
2,1:26,,,,,,Timeout #2 by Detroit Lions,,
