Quarter,Time,Down,ToGo,Location,LVR,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 62 yards, returned by Demetric Felton for 24 yards (tackle by Sutton Smith)",0.000,0.740
1,14:55,1,10,CLE 27,0,0,Nick Chubb left guard for 4 yards (tackle by Johnathan Abram and Divine Deablo),0.740,0.740
1,14:30,2,6,CLE 31,0,0,Nick Mullens pass complete short right to Rashard Higgins for 5 yards (tackle by Casey Hayward),0.740,0.700
1,14:08,3,1,CLE 36,0,0,Nick Mullens pass complete short left to David Njoku for 10 yards (tackle by Keisean Nixon),0.700,1.990
1,13:18,1,10,CLE 46,0,0,"Penalty on CLE: Delay of Game, 5 yards (accepted) (no play)",1.990,1.660
1,12:57,1,15,CLE 41,0,0,Nick Mullens pass complete short left to Donovan Peoples-Jones for 6 yards (tackle by Brandon Facyson),1.660,1.590
1,12:22,2,9,CLE 47,0,0,Nick Chubb right guard for -7 yards (tackle by Johnathan Abram),1.590,-0.030
1,11:45,3,16,CLE 40,0,0,D'Ernest Johnson right guard for -2 yards (tackle by Quinton Jefferson and Johnathan Abram),-0.030,-0.850
1,11:07,4,18,CLE 38,0,0,"Dustin Colquitt punts 49 yards, returned by Hunter Renfrow for 29 yards (tackle by Sione Takitaki and Miller Forristall)",-0.850,-1.730
1,10:53,1,10,LVR 42,0,0,Derek Carr pass complete short left to Daniel Helm for -1 yards (tackle by Sione Takitaki),1.730,1.050
1,10:20,2,11,LVR 41,0,0,Derek Carr pass complete short right to Hunter Renfrow for 12 yards (tackle by M.J. Stewart),1.050,2.460
1,9:44,1,10,CLE 47,0,0,"Josh Jacobs for no gain (tackle by M.J. Stewart). Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",2.460,1.800
1,9:24,1,20,LVR 43,0,0,Josh Jacobs left guard for 2 yards (tackle by Malcolm Smith and Jordan Elliott),1.800,0.830
1,8:51,2,18,LVR 45,0,0,Derek Carr pass complete short right to Foster Moreau for 14 yards (tackle by M.J. Stewart),0.830,2.010
1,8:05,3,4,CLE 41,0,0,Derek Carr pass complete short middle to DeSean Jackson for 11 yards (tackle by Denzel Ward),2.010,3.580
1,7:28,1,10,CLE 30,0,0,Josh Jacobs left guard for -2 yards (tackle by Joe Jackson and Sione Takitaki),3.580,2.760
1,6:41,2,12,CLE 32,0,0,Derek Carr pass complete short right to Josh Jacobs for 17 yards (tackle by M.J. Stewart),2.760,4.580
1,6:07,1,10,CLE 15,0,0,Derek Carr pass complete short middle to Peyton Barber for 12 yards (tackle by John Johnson and Jovante Moffatt),4.580,6.510
1,5:31,1,3,CLE 3,0,0,Derek Carr right end for 1 yard (tackle by Porter Gustin and John Johnson),6.510,5.720
1,4:50,2,2,CLE 2,0,0,"Josh Jacobs left guard for no gain (tackle by Malik Jackson). Penalty on Daniel Helm: Offensive Holding, 10 yards (accepted) (no play)",5.720,3.860
1,4:27,2,12,CLE 12,0,0,Derek Carr pass complete short middle to Hunter Renfrow for 7 yards (tackle by Malcolm Smith and M.J. Stewart),3.860,4.260
1,3:44,,,,,,Timeout #1 by Las Vegas Raiders,,
1,3:44,3,5,CLE 5,6,0,"Derek Carr pass complete short left to Bryan Edwards for 5 yards, touchdown",4.260,7.000
1,3:41,,,CLE 15,7,0,Daniel Carlson kicks extra point good,0.000,0.000
1,3:41,,,LVR 35,7,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,3:41,1,10,CLE 25,7,0,Nick Chubb left tackle for 8 yards (tackle by Divine Deablo),0.610,1.140
1,3:06,2,2,CLE 33,7,0,Nick Mullens pass complete short middle to David Njoku for 6 yards (tackle by Marquel Lee),1.140,1.530
1,2:30,1,10,CLE 39,7,0,Nick Mullens pass complete short right to Nick Chubb for 2 yards (tackle by Johnathan Abram),1.530,1.260
1,1:46,2,8,CLE 41,7,0,Nick Mullens pass incomplete deep right intended for Donovan Peoples-Jones (defended by Brandon Facyson),1.260,0.560
1,1:38,3,8,CLE 41,7,0,Nick Mullens pass complete short left to Demetric Felton for 4 yards (tackle by Keisean Nixon),0.560,-0.390
1,0:54,4,4,CLE 45,7,0,Dustin Colquitt punts 51 yards out of bounds,-0.390,0.380
1,0:46,1,10,LVR 4,7,0,Derek Carr pass complete short left to Zay Jones for 5 yards (tackle by Jeremiah Owusu-Koramoah),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,LVR,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,LVR 9,7,0,Derek Carr pass incomplete short left intended for Foster Moreau (defended by John Johnson),-0.420,-0.840
2,14:56,3,5,LVR 9,7,0,"Derek Carr pass incomplete deep right. Penalty on M.J. Stewart: Defensive Pass Interference, 46 yards (accepted) (no play)",-0.840,2.590
2,14:47,1,10,CLE 45,7,0,"Josh Jacobs for no gain. Penalty on Brandon Parker: Offensive Holding, 10 yards (accepted) (no play)",2.590,1.930
2,14:27,1,20,LVR 45,7,0,Derek Carr pass complete short right to Foster Moreau for 10 yards (tackle by Jeremiah Owusu-Koramoah),1.930,2.040
2,13:43,2,10,CLE 45,7,0,"Derek Carr pass complete short left to Bryan Edwards for -5 yards. Bryan Edwards fumbles (forced by M.J. Stewart), recovered by Hunter Renfrow at 50 and returned for -6 yards (tackle by Myles Garrett)",2.040,-0.100
2,12:55,3,21,LVR 44,7,0,Derek Carr pass incomplete short middle intended for Foster Moreau,-0.100,-0.460
2,12:49,4,21,LVR 44,7,0,"AJ Cole punts 42 yards, returned by Donovan Peoples-Jones for 20 yards (tackle by Clelin Ferrell)",-0.460,-1.200
2,12:37,1,10,CLE 34,7,0,Nick Chubb right tackle for 1 yard (tackle by Maxx Crosby and Marquel Lee),1.200,0.790
2,12:00,2,9,CLE 35,7,0,Nick Chubb right tackle for 4 yards (tackle by Johnathan Hankins),0.790,0.630
2,11:21,3,5,CLE 39,7,0,Nick Mullens pass complete short right to D'Ernest Johnson for 3 yards (tackle by Johnathan Abram),0.630,-0.590
2,10:39,4,2,CLE 42,7,0,"Dustin Colquitt punts 44 yards, fair catch by Hunter Renfrow at LV-14",-0.590,0.280
2,10:32,1,10,LVR 14,7,0,Peyton Barber left guard for 3 yards (tackle by Jordan Elliott),-0.280,-0.370
2,9:58,2,7,LVR 17,7,0,Peyton Barber left guard for 19 yards (tackle by John Johnson and Jovante Moffatt),-0.370,1.330
2,9:25,1,10,LVR 36,7,0,Derek Carr sacked by and Tommy Togiai for no gain and Joe Jackson for no gain,1.330,0.790
2,8:45,2,10,LVR 36,7,0,Peyton Barber left guard for 7 yards (tackle by Jeremiah Owusu-Koramoah and M.J. Stewart),0.790,1.030
2,8:05,3,3,LVR 43,7,0,Derek Carr pass incomplete deep right intended for DeSean Jackson,1.030,-0.520
2,7:59,4,3,LVR 43,7,0,AJ Cole punts 49 yards downed by Roderic Teamer,-0.520,0.380
2,7:49,1,10,CLE 8,7,0,Nick Mullens pass incomplete deep left intended for Donovan Peoples-Jones (defended by Brandon Facyson),-0.380,-0.780
2,7:41,2,10,CLE 8,7,0,Nick Chubb left tackle for 4 yards (tackle by Brandon Facyson and K.J. Wright),-0.780,-0.950
2,7:05,3,6,CLE 12,7,0,Nick Mullens pass complete short right to D'Ernest Johnson for 4 yards (tackle by Solomon Thomas),-0.950,-2.390
2,6:24,4,2,CLE 16,7,0,"Dustin Colquitt punts 45 yards, recovered by Hunter Renfrow at LV-39 and returned for 45 yards",-2.390,-1.530
2,6:14,1,10,LVR 39,7,0,Josh Jacobs left guard for 6 yards (tackle by John Johnson and M.J. Stewart),1.530,1.800
2,5:40,2,4,LVR 45,7,0,Marcus Mariota right guard for 3 yards (tackle by Myles Garrett),1.800,1.490
2,5:04,3,1,LVR 48,7,0,Josh Jacobs left guard for 3 yards (tackle by Myles Garrett),1.490,2.320
2,4:25,1,10,CLE 49,7,0,Derek Carr pass complete short right to Hunter Renfrow for 13 yards (tackle by Malcolm Smith),2.320,3.180
2,3:42,,,,,,Timeout #2 by Las Vegas Raiders,,
2,3:42,1,10,CLE 36,7,0,Josh Jacobs right guard for 6 yards (tackle by Sheldon Day and John Johnson),3.180,3.450
2,3:09,2,4,CLE 30,7,0,Josh Jacobs left guard for 3 yards (tackle by Jordan Elliott and Porter Gustin),3.450,3.070
2,2:26,3,2,CLE 27,7,0,Josh Jacobs left tackle for 5 yards (tackle by Sione Takitaki),3.070,4.110
2,2:00,1,10,CLE 22,7,0,Peyton Barber left guard for 8 yards (tackle by Sheldon Day),4.110,4.850
2,1:15,2,2,CLE 14,7,0,Derek Carr pass complete short right to Bryan Edwards for 8 yards (tackle by Greedy Williams),4.850,5.830
2,1:14,,,,,,Timeout #1 by Cleveland Browns,,
2,1:14,1,6,CLE 6,7,0,Derek Carr pass incomplete short left intended for Hunter Renfrow,5.830,4.950
2,1:11,2,6,CLE 6,7,0,Derek Carr pass incomplete short left intended for Hunter Renfrow (defended by M.J. Stewart),4.950,4.040
2,1:03,3,6,CLE 6,7,0,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",4.040,3.120
2,1:03,3,11,CLE 11,7,0,Derek Carr scrambles right tackle for 6 yards (tackle by Jovante Moffatt),3.120,3.010
2,0:59,,,,,,Timeout #2 by Cleveland Browns,,
2,0:59,4,5,CLE 5,10,0,Daniel Carlson 24 yard field goal good,3.010,3.000
2,0:56,,,LVR 35,10,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,0:56,1,10,CLE 25,10,0,Nick Mullens pass incomplete deep left intended for Donovan Peoples-Jones (defended by Brandon Facyson),0.610,0.060
2,0:51,2,10,CLE 25,10,0,Nick Mullens pass complete short left to D'Ernest Johnson for 4 yards (tackle by Johnathan Abram),0.060,-0.100
2,0:46,3,6,CLE 29,10,0,Nick Mullens pass complete short right to Demetric Felton for 9 yards (tackle by Keisean Nixon and K.J. Wright),-0.100,1.470
2,0:40,,,,,,Timeout #3 by Cleveland Browns,,
2,0:40,1,10,CLE 38,10,0,Nick Mullens pass incomplete short right intended for Donovan Peoples-Jones,1.470,0.920
2,0:35,2,10,CLE 38,10,0,Nick Mullens pass complete short right to Rashard Higgins for 13 yards (tackle by K.J. Wright and Johnathan Abram),0.920,2.320
2,0:22,1,10,LVR 49,10,0,Nick Mullens spiked the ball,2.320,1.780
2,0:21,2,10,LVR 49,10,0,"Nick Mullens pass incomplete intended for Donovan Peoples-Jones. Penalty on Brandon Facyson: Defensive Pass Interference, 14 yards (accepted) (no play)",1.780,3.250
2,0:15,1,10,LVR 35,10,0,Nick Mullens pass complete short right to Rashard Higgins for 6 yards,3.250,3.510
2,0:11,2,4,LVR 29,10,0,Nick Mullens pass incomplete deep right intended for Rashard Higgins,3.510,2.810
2,0:05,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:05,3,4,LVR 29,10,0,Chase McLaughlin 47 yard field goal no good,2.810,1.330
Quarter,Time,Down,ToGo,Location,LVR,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,0,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,10,0,Josh Jacobs left guard for 3 yards (tackle by Porter Gustin),0.610,0.470
3,14:28,2,7,LVR 28,10,0,Derek Carr pass incomplete short left intended for Bryan Edwards,0.470,-0.230
3,14:23,3,7,LVR 28,10,0,Derek Carr pass incomplete deep right intended for DeSean Jackson,-0.230,-1.500
3,14:18,4,7,LVR 28,10,0,AJ Cole punts 41 yards out of bounds,-1.500,-1.000
3,14:10,1,10,CLE 31,10,0,Nick Chubb right guard for -1 yards (tackle by Johnathan Abram and Johnathan Hankins),1.000,0.320
3,13:33,2,11,CLE 30,10,0,Nick Chubb left tackle for 2 yards (tackle by K.J. Wright),0.320,-0.100
3,12:51,3,9,CLE 32,10,0,Nick Mullens pass complete short right to Donovan Peoples-Jones for 6 yards (tackle by Casey Hayward),-0.100,-0.850
3,12:08,4,3,CLE 38,10,0,Dustin Colquitt punts 37 yards out of bounds,-0.850,-0.610
3,12:02,1,10,LVR 25,10,0,Derek Carr pass complete short left to Foster Moreau for 6 yards (tackle by Anthony Walker),0.610,0.870
3,11:19,2,4,LVR 31,10,0,Josh Jacobs left tackle for 3 yards (tackle by Anthony Walker),0.870,0.560
3,10:20,3,1,LVR 34,10,0,"Derek Carr aborted snap, recovered by Derek Carr at LV-34",0.560,-1.110
3,9:14,4,1,LVR 34,10,0,Dallin Leavitt right guard for 2 yards (tackle by M.J. Stewart),-1.110,1.330
3,8:37,1,10,LVR 36,10,0,Josh Jacobs right guard for 1 yard (tackle by Jovante Moffatt),1.330,0.930
3,8:02,2,9,LVR 37,10,0,Derek Carr pass complete short middle to Josh Jacobs for 16 yards (tackle by M.J. Stewart),0.930,2.460
3,7:24,1,10,CLE 47,10,0,"Derek Carr sacked by and Jeremiah Owusu-Koramoah for -6 yards and Sheldon Day for -6 yards. Derek Carr fumbles (forced by Jeremiah Owusu-Koramoah), recovered by Porter Gustin at LV-47 and returned for -6 yards",2.460,-2.460
3,7:13,1,10,LVR 47,10,0,Nick Mullens pass complete short right to David Njoku for 13 yards (tackle by Maxx Crosby),2.460,3.310
3,6:45,1,10,LVR 34,10,0,Nick Chubb left guard for 4 yards (tackle by Cory Littleton and Marquel Lee),3.310,3.310
3,6:08,2,6,LVR 30,10,0,Nick Chubb left tackle for 24 yards (tackle by Trevon Moehrig),3.310,5.830
3,5:23,1,6,LVR 6,10,0,Nick Chubb right guard for 2 yards (tackle by K.J. Wright),5.830,5.340
3,4:43,2,4,LVR 4,10,0,Nick Mullens pass incomplete short left intended for David Njoku (defended by Cory Littleton),5.340,4.490
3,4:37,3,4,LVR 4,10,6,"Nick Chubb left tackle for 4 yards, touchdown",4.490,7.000
3,4:33,,,LVR 15,10,7,Chase McLaughlin kicks extra point good,0.000,0.000
3,4:33,,,CLE 35,10,7,"Chase McLaughlin kicks off 52 yards, returned by Jalen Richard for 14 yards (tackle by Sione Takitaki)",0.000,0.740
3,4:29,1,10,LVR 27,10,7,Derek Carr pass complete short right to Foster Moreau for 14 yards (tackle by Sheldon Day),0.740,1.660
3,4:03,1,10,LVR 41,10,7,Josh Jacobs left guard for 6 yards (tackle by Jordan Elliott and Jovante Moffatt),1.660,1.930
3,3:24,2,4,LVR 47,10,7,Josh Jacobs right guard for 2 yards (tackle by Jordan Elliott and Sheldon Day),1.930,1.490
3,2:48,3,2,LVR 49,10,7,Derek Carr pass complete short left to Zay Jones for 16 yards,1.490,3.250
3,2:09,1,10,CLE 35,10,7,Josh Jacobs right guard for 9 yards (tackle by Jeremiah Owusu-Koramoah and Malcolm Smith),3.250,3.920
3,1:31,2,1,CLE 26,10,7,Josh Jacobs left tackle for 4 yards (tackle by M.J. Stewart and Joe Jackson),3.920,4.110
3,0:51,1,10,CLE 22,10,7,Josh Jacobs left guard for 1 yard (tackle by Sheldon Day),4.110,3.700
3,0:03,,,,,,Timeout #1 by Las Vegas Raiders,,
3,0:03,2,9,CLE 21,10,7,Derek Carr pass incomplete deep right intended for Zay Jones (defended by Greedy Williams),3.700,3.010
Quarter,Time,Down,ToGo,Location,LVR,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,CLE 21,10,7,Derek Carr pass incomplete short right,3.010,2.060
4,14:51,4,9,CLE 21,13,7,Daniel Carlson 40 yard field goal good,2.060,3.000
4,14:46,,,LVR 35,13,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,14:46,1,10,CLE 25,13,7,Nick Chubb right guard for 1 yard (tackle by Divine Deablo),0.610,0.200
4,14:13,2,9,CLE 26,13,7,Nick Mullens pass incomplete short left intended for Demetric Felton,0.200,-0.490
4,14:09,3,9,CLE 26,13,7,Nick Mullens pass incomplete deep right intended for David Njoku (defended by Dallin Leavitt),-0.490,-1.630
4,14:03,4,9,CLE 26,13,7,"Dustin Colquitt punts 44 yards, recovered by Hunter Renfrow at LV-31",-1.630,-1.000
4,13:55,1,10,LVR 31,13,7,Derek Carr pass incomplete deep right intended for Zay Jones,1.000,0.460
4,13:48,2,10,LVR 31,13,7,Peyton Barber left guard for -3 yards (tackle by Malik Jackson and Sione Takitaki),0.460,-0.630
4,13:07,3,13,LVR 28,13,7,Derek Carr pass complete short right to Zay Jones for 12 yards (tackle by Jovante Moffatt),-0.630,-0.720
4,12:14,4,1,LVR 40,13,7,"Penalty on LVR: Delay of Game, 5 yards (accepted) (no play)",-0.720,-1.040
4,12:14,4,6,LVR 35,13,7,"AJ Cole punts 45 yards, fair catch by Donovan Peoples-Jones at CLE-20",-1.040,-0.280
4,12:07,1,10,CLE 20,13,7,Nick Chubb right guard for 1 yard (tackle by Maxx Crosby),0.280,-0.130
4,11:32,2,9,CLE 21,13,7,Nick Chubb left tackle for 6 yards (tackle by K.J. Wright),-0.130,-0.030
4,10:51,3,3,CLE 27,13,7,Nick Mullens pass complete short left to Harrison Bryant for 5 yards (tackle by Brandon Facyson),-0.030,1.070
4,10:11,1,10,CLE 32,13,7,Nick Chubb right tackle for 4 yards (tackle by Quinton Jefferson and K.J. Wright),1.070,1.070
4,9:37,2,6,CLE 36,13,7,Nick Chubb left guard for 3 yards (tackle by Johnathan Abram and Johnathan Hankins),1.070,0.760
4,8:53,3,3,CLE 39,13,7,Nick Mullens pass complete deep right to Donovan Peoples-Jones for 25 yards (tackle by Trevon Moehrig),0.760,3.180
4,8:04,1,10,LVR 36,13,7,Nick Chubb right guard for 12 yards (tackle by Trevon Moehrig and Clelin Ferrell),3.180,3.970
4,7:24,1,10,LVR 24,13,7,Nick Chubb right guard for 2 yards (tackle by Clelin Ferrell),3.970,3.700
4,6:50,2,8,LVR 22,13,7,Nick Mullens pass incomplete short left intended for Rashard Higgins,3.700,3.010
4,6:45,3,8,LVR 22,13,7,Nick Mullens pass complete short right to Donovan Peoples-Jones for 11 yards (tackle by Brandon Facyson),3.010,4.840
4,6:06,1,10,LVR 11,13,7,"Nick Chubb for no gain, touchdown. Penalty on Wyatt Teller: Offensive Holding, 10 yards (accepted) (no play)",4.840,4.170
4,5:56,1,20,LVR 21,13,7,Nick Mullens pass complete short left to Demetric Felton for 3 yards (tackle by K.J. Wright and Keisean Nixon),4.170,3.230
4,5:22,2,17,LVR 18,13,7,Nick Chubb left tackle for 6 yards (tackle by Marquel Lee),3.230,3.110
4,4:43,3,11,LVR 12,13,7,Nick Mullens pass complete short right to D'Ernest Johnson for 6 yards (tackle by Trevon Moehrig),3.110,2.990
4,3:54,4,5,LVR 6,13,13,"Nick Mullens pass complete short left to Harrison Bryant for 6 yards, touchdown. Penalty on Trevon Moehrig: Defensive Holding, 5 yards (declined)",2.990,7.000
4,3:45,,,LVR 15,13,14,Chase McLaughlin kicks extra point good,0.000,0.000
4,3:45,,,CLE 35,13,14,"Chase McLaughlin kicks off 63 yards, returned by Jalen Richard for 23 yards (tackle by Jovante Moffatt and Elijah Lee)",0.000,0.610
4,3:40,1,10,LVR 25,13,14,Derek Carr pass complete short left to Foster Moreau for 6 yards (tackle by Richard LeCounte),0.610,0.870
4,3:05,2,4,LVR 31,13,14,Derek Carr pass complete short right to Zay Jones for 7 yards (tackle by Greedy Williams),0.870,1.470
4,2:59,1,10,LVR 38,13,14,Derek Carr pass intended for Zay Jones is intercepted by Greedy Williams at CLE-16 and returned for 7 yards (tackle by Hunter Renfrow),1.470,-0.480
4,2:47,1,10,CLE 23,13,14,Nick Chubb left tackle for 2 yards (tackle by Maxx Crosby),0.480,0.200
4,2:38,,,,,,Timeout #2 by Las Vegas Raiders,,
4,2:38,2,8,CLE 25,13,14,Nick Chubb left tackle for 5 yards (tackle by Marquel Lee),0.200,0.170
4,2:31,,,,,,Timeout #3 by Las Vegas Raiders,,
4,2:31,3,3,CLE 30,13,14,Nick Chubb right tackle for no gain (tackle by Johnathan Hankins and Divine Deablo),0.170,-1.370
4,2:00,4,3,CLE 30,13,14,"Dustin Colquitt punts 43 yards, returned by Hunter Renfrow for 2 yards (tackle by Elijah Lee)",-1.370,-0.870
4,1:50,1,10,LVR 29,13,14,Derek Carr pass incomplete short right intended for Josh Jacobs,0.870,0.330
4,1:45,2,10,LVR 29,13,14,Derek Carr pass complete short right to Foster Moreau for 3 yards (tackle by Denzel Ward),0.330,0.040
4,1:16,3,7,LVR 32,13,14,Derek Carr pass complete short right to Zay Jones for 12 yards (tackle by Denzel Ward),0.040,1.860
4,0:58,1,10,LVR 44,13,14,Derek Carr pass complete short middle to Josh Jacobs for 9 yards (tackle by Anthony Walker),1.860,2.530
4,0:37,2,1,CLE 47,13,14,"Derek Carr pass complete to Zay Jones for no gain. Penalty on Kolton Miller: Offensive Holding, 10 yards (accepted) (no play)",2.530,1.180
4,0:29,2,11,LVR 43,13,14,Derek Carr pass complete short right to Foster Moreau for 12 yards (tackle by Jovante Moffatt),1.180,2.590
4,0:22,1,10,CLE 45,13,14,Derek Carr pass complete short right to Zay Jones for 15 yards (tackle by M.J. Stewart),2.590,3.580
4,0:04,1,10,CLE 30,13,14,Derek Carr spiked the ball,3.580,3.030
4,0:03,,,,,,Timeout #1 by Cleveland Browns,,
4,0:03,2,10,CLE 30,16,14,Daniel Carlson 48 yard field goal good,3.030,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
