Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CHI 25,0,0,Andy Dalton pass incomplete short right,0.610,0.060
1,14:52,2,10,CHI 25,0,0,David Montgomery left guard for 2 yards (tackle by D.J. Reader and Larry Ogunjobi),0.060,-0.360
1,14:17,3,8,CHI 27,0,0,Andy Dalton pass complete short middle to Darnell Mooney for 10 yards (tackle by Jessie Bates),-0.360,1.400
1,13:37,1,10,CHI 37,0,0,Andy Dalton pass complete short right to Darnell Mooney for 17 yards (tackle by Jessie Bates),1.400,2.520
1,12:58,1,10,CIN 46,0,0,Andy Dalton pass complete short middle to Damien Williams for -5 yards (tackle by Larry Ogunjobi),2.520,1.300
1,12:15,2,15,CHI 49,0,0,Andy Dalton pass complete short middle to Damien Williams for 3 yards (tackle by Akeem Davis-Gaither),1.300,1.030
1,11:30,3,12,CIN 48,0,0,"Andy Dalton pass incomplete deep left. Penalty on Eli Apple: Defensive Pass Interference, 32 yards (accepted) (no play)",1.030,4.510
1,11:22,1,10,CIN 16,0,0,Andy Dalton pass complete short middle to David Montgomery for 3 yards (tackle by Mike Hilton),4.510,4.390
1,10:45,2,7,CIN 13,0,0,David Montgomery left guard for 2 yards (tackle by Logan Wilson and Wyatt Ray),4.390,3.940
1,10:02,3,5,CIN 11,0,6,"Andy Dalton pass complete short middle to Allen Robinson for 11 yards, touchdown",3.940,7.000
1,9:58,,,CIN 15,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,9:58,,,CHI 35,0,7,"Cairo Santos kicks off 66 yards, returned by Brandon Wilson for 9 yards (tackle by Christian Jones)",0.000,-0.380
1,9:52,1,10,CIN 9,0,7,Joe Burrow pass complete short left to Joe Mixon for 2 yards (tackle by Jaylon Johnson),-0.380,-0.630
1,9:12,2,8,CIN 11,0,7,Joe Burrow pass complete short left to Tee Higgins for 7 yards (tackle by Jaylon Johnson),-0.630,-0.370
1,8:32,3,1,CIN 18,0,7,Joe Mixon right guard for 2 yards (tackle by Robert Quinn),-0.370,0.280
1,7:58,1,10,CIN 20,0,7,Joe Mixon right tackle for 3 yards (tackle by Bilal Nichols and Alec Ogletree),0.280,0.140
1,7:14,2,7,CIN 23,0,7,Joe Mixon right tackle for 2 yards (tackle by Roquan Smith and Akiem Hicks),0.140,-0.300
1,6:30,3,5,CIN 25,0,7,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,-0.300,-1.700
1,6:26,4,5,CIN 25,0,7,"Penalty on Tashaun Gipson: Taunting / Defense, 15 yards (accepted) (no play)",-1.700,1.600
1,6:26,1,10,CIN 40,0,7,Joe Burrow pass complete short middle to Tyler Boyd for 12 yards (tackle by Tashaun Gipson and Kindle Vildor),1.600,2.390
1,5:42,1,10,CHI 48,0,7,Joe Mixon left tackle for 3 yards (tackle by Akiem Hicks),2.390,2.250
1,5:02,2,7,CHI 45,0,7,Joe Burrow pass complete short right to Tyler Boyd for 10 yards (tackle by Tashaun Gipson),2.250,3.250
1,4:17,1,10,CHI 35,0,7,Joe Burrow pass incomplete short left,3.250,2.700
1,4:13,2,10,CHI 35,0,7,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Jaylon Johnson),2.700,2.010
1,4:09,3,10,CHI 35,0,7,Joe Burrow sacked by Robert Quinn for -8 yards,2.010,0.400
1,3:27,4,18,CHI 43,0,7,"Kevin Huber punts 36 yards, fair catch by Nsimba Webster at CHI-7",0.400,0.380
1,3:22,1,10,CHI 7,0,7,David Montgomery left tackle for 3 yards (tackle by Sam Hubbard),-0.380,-0.560
1,2:35,,,,,,Timeout #1 by Chicago Bears,,
1,2:35,2,7,CHI 10,0,7,"Penalty on Germain Ifedi: False Start, 5 yards (accepted) (no play)",-0.560,-0.930
1,2:35,2,12,CHI 5,0,7,"Andy Dalton pass incomplete short left intended for David Montgomery (defended by Vonn Bell). Penalty on Vonn Bell: Taunting / Defense, 15 yards (accepted)",-0.930,0.280
1,2:32,1,10,CHI 20,0,7,Andy Dalton pass complete to Darnell Mooney for 2 yards (tackle by Chidobe Awuzie),0.280,0.000
1,1:50,2,8,CHI 22,0,7,David Montgomery right guard for 7 yards (tackle by Jordan Evans and Sam Hubbard),0.000,0.230
1,1:25,3,1,CHI 29,0,7,David Montgomery left tackle for 8 yards (tackle by Logan Wilson and Mike Hilton),0.230,1.400
1,0:52,1,10,CHI 37,0,7,"Andy Dalton pass complete short left to David Montgomery for no gain (tackle by Vonn Bell). Penalty on Sam Hubbard: Roughing the Passer, 15 yards (offset) . Penalty on Marquise Goodwin: Offensive Holding, 10 yards (offset) (no play)",1.400,1.400
1,0:22,1,10,CHI 37,0,7,Justin Fields pass incomplete deep right intended for Marquise Goodwin (defended by Eli Apple),1.400,0.860
1,0:11,2,10,CHI 37,0,7,"Damien Williams left guard for 6 yards (tackle by Germaine Pratt). Penalty on Larry Ogunjobi: Illegal Use of Hands / Defense, 5 yards (accepted)",0.860,2.130
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 48,0,7,Andy Dalton scrambles right end for 11 yards (tackle by Vonn Bell),2.130,2.850
2,14:37,1,10,CIN 41,0,7,"David Montgomery left guard for no gain (tackle by Sam Hubbard). Penalty on James Daniels: Offensive Holding, 10 yards (accepted) (no play)",2.850,2.190
2,13:57,1,20,CHI 49,0,7,Andy Dalton scrambles right end for 14 yards (tackle by Vonn Bell),2.190,2.850
2,13:21,2,6,CIN 37,0,7,David Montgomery right guard for 5 yards (tackle by B.J. Hill),2.850,2.810
2,12:49,3,1,CIN 32,0,7,David Montgomery right guard for no gain (tackle by Vonn Bell),2.810,1.310
2,12:31,4,1,CIN 32,0,7,Justin Fields left guard for no gain (tackle by Wyatt Ray),1.310,-1.070
2,12:24,1,10,CIN 32,0,7,Joe Mixon for 1 yard (tackle by Bilal Nichols),1.070,0.660
2,11:44,2,9,CIN 33,0,7,Joe Burrow pass complete short right to C.J. Uzomah for 3 yards (tackle by Roquan Smith),0.660,0.370
2,11:02,3,6,CIN 36,0,7,Joe Burrow pass complete short middle to Ja'Marr Chase for 12 yards (tackle by Eddie Jackson),0.370,2.130
2,10:34,1,10,CIN 48,0,7,Joe Burrow pass complete short right to C.J. Uzomah for 1 yard (tackle by Duke Shelley),2.130,1.720
2,9:56,2,9,CIN 49,0,7,Joe Mixon right tackle for 8 yards (tackle by DeAndre Houston-Carson),1.720,2.080
2,9:11,3,1,CHI 43,0,7,Joe Mixon right guard for -1 yards (tackle by Eddie Jackson),2.080,0.330
2,8:26,4,2,CHI 44,0,7,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Kindle Vildor),0.330,-1.930
2,8:22,1,10,CHI 45,0,7,Andy Dalton pass complete short left to David Montgomery for 10 yards (tackle by Jordan Evans),1.930,2.590
2,7:45,1,10,CIN 45,0,7,David Montgomery left guard for -1 yards (tackle by Vonn Bell),2.590,1.910
2,7:07,2,11,CIN 46,0,7,Andy Dalton sacked by D.J. Reader for -8 yards,1.910,0.170
2,6:19,3,19,CHI 46,0,7,Andy Dalton pass complete to Darnell Mooney for 5 yards (tackle by Eli Apple),0.170,0.000
2,5:39,4,14,CIN 49,0,7,"Pat O'Donnell punts 42 yards, fair catch by Darius Phillips at CIN-7",0.000,0.380
2,5:34,1,10,CIN 7,0,7,Joe Burrow pass complete short left to Tyler Boyd for 2 yards (tackle by Roquan Smith),-0.380,-0.630
2,4:55,2,8,CIN 9,0,7,Joe Mixon left end for -3 yards (tackle by Robert Quinn),-0.630,-1.540
2,4:11,3,11,CIN 6,0,7,Joe Burrow pass complete short left to Tee Higgins for 14 yards (tackle by Kindle Vildor),-1.540,0.280
2,3:37,1,10,CIN 20,0,7,"Penalty on Jonah Williams: False Start, 5 yards (accepted) (no play)",0.280,-0.310
2,3:17,1,15,CIN 15,0,7,Joe Burrow pass complete short middle to Tee Higgins for 8 yards (tackle by Duke Shelley),-0.310,0.140
2,2:40,2,7,CIN 23,0,7,Joe Mixon right tackle for 4 yards (tackle by Khalil Mack and Duke Shelley),0.140,-0.030
2,2:00,3,3,CIN 27,0,7,Joe Burrow pass incomplete short left intended for Joe Mixon (defended by Jaylon Johnson),-0.030,-1.570
2,1:56,4,3,CIN 27,0,7,Kevin Huber punts 39 yards out of bounds,-1.570,-1.200
2,1:50,1,10,CHI 34,0,7,Damien Williams right tackle for no gain (tackle by Cameron Sample and Logan Wilson),1.200,0.660
2,1:32,2,10,CHI 34,0,7,Justin Fields scrambles left end for 6 yards (tackle by Akeem Davis-Gaither),0.660,0.760
2,1:23,3,4,CHI 40,0,7,Justin Fields pass complete short right to Darnell Mooney for 11 yards,0.760,2.320
2,1:18,1,10,CIN 49,0,7,Justin Fields sacked by and Trey Hendrickson for -9 yards and Sam Hubbard for -9 yards,2.320,0.570
2,0:56,2,19,CHI 42,0,7,"Justin Fields pass complete short right to Marquise Goodwin for 10 yards (tackle by Eli Apple) Replay Assistant challenged the pass completion ruling, and the play was upheld.",0.570,1.220
2,0:47,,,,,,Timeout #2 by Chicago Bears,,
2,0:47,3,9,CIN 48,0,7,Justin Fields pass incomplete short middle intended for Damien Williams,1.220,0.070
2,0:42,4,9,CIN 48,0,7,"Pat O'Donnell punts 40 yards, fair catch by Darius Phillips at CIN-8",0.070,0.380
2,0:35,1,10,CIN 8,0,7,Joe Mixon right guard for 9 yards (tackle by Kindle Vildor),-0.380,0.050
2,0:28,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:28,2,1,CIN 17,0,7,Joe Burrow sacked by Bilal Nichols for -6 yards,0.050,-1.070
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CHI 35,0,7,"Cairo Santos kicks off 70 yards, returned by Brandon Wilson for 27 yards (tackle by Marqui Christian)",0.000,0.410
3,14:54,1,10,CIN 22,0,7,Joe Mixon left tackle for 5 yards (tackle by Angelo Blackson),0.410,0.540
3,14:17,2,5,CIN 27,0,7,Joe Mixon right guard for 1 yard (tackle by Angelo Blackson and Roquan Smith),0.540,-0.030
3,13:31,3,4,CIN 28,0,7,Joe Burrow pass complete short middle to Tyler Boyd for 7 yards (tackle by Kindle Vildor and Roquan Smith),-0.030,1.270
3,12:48,1,10,CIN 35,0,7,Joe Burrow pass incomplete deep left intended for Tee Higgins (defended by Jaylon Johnson),1.270,0.720
3,12:42,2,10,CIN 35,0,7,Joe Burrow sacked by Khalil Mack for -6 yards,0.720,-0.760
3,11:56,3,16,CIN 29,0,7,Joe Burrow sacked by Robert Quinn for no gain,-0.760,-1.440
3,11:56,4,16,CIN 29,0,7,"Penalty on Robert Quinn: Unnecessary Roughness / Defense, 15 yards (accepted)",-1.440,1.860
3,11:23,1,10,CIN 44,0,7,Joe Mixon left guard for 5 yards (tackle by Roquan Smith),1.860,1.990
3,10:44,2,5,CIN 49,0,7,Joe Mixon right end for 10 yards (tackle by Tashaun Gipson),1.990,2.850
3,10:02,1,10,CHI 41,0,7,Joe Burrow pass incomplete short left intended for Samaje Perine,2.850,2.310
3,9:55,2,10,CHI 41,0,7,Joe Burrow sacked by Roquan Smith for -8 yards,2.310,0.560
3,9:14,3,18,CHI 49,0,7,Joe Burrow pass complete to Chris Evans for 14 yards (tackle by Roquan Smith and DeAndre Houston-Carson),0.560,0.980
3,8:28,4,4,CHI 35,3,7,Evan McPherson 53 yard field goal good,0.980,3.000
3,8:22,,,CIN 35,3,7,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,8:22,1,10,CHI 25,3,7,David Montgomery left tackle for 6 yards (tackle by Vonn Bell),0.610,0.870
3,8:16,2,4,CHI 31,3,7,Justin Fields left end for 5 yards (tackle by Sam Hubbard),0.870,1.330
3,7:12,1,10,CHI 36,3,7,David Montgomery right tackle for 11 yards (tackle by Sam Hubbard),1.330,2.060
3,6:36,1,10,CHI 47,3,7,Justin Fields pass incomplete deep left intended for Darnell Mooney,2.060,1.520
3,6:32,2,10,CHI 47,3,7,"Penalty on Germain Ifedi: False Start, 5 yards (accepted) (no play)",1.520,0.840
3,6:32,2,15,CHI 42,3,7,Justin Fields scrambles for 7 yards (tackle by Sam Hubbard),0.840,1.090
3,5:53,3,8,CHI 49,3,7,"Justin Fields sacked by Trey Hendrickson for -16 yards. Justin Fields fumbles (forced by Trey Hendrickson), recovered by Justin Fields at CHI-33 (tackle by Trey Hendrickson)",1.090,-1.180
3,5:07,4,24,CHI 33,3,7,"Pat O'Donnell punts 47 yards, returned by Darius Phillips for 15 yards (tackle by DeAndre Houston-Carson)",-1.180,-1.270
3,5:01,1,10,CIN 35,3,7,"Joe Burrow pass complete short middle to Tee Higgins for 14 yards. Tee Higgins fumbles (forced by Eddie Jackson), recovered by Tashaun Gipson at CHI-48 and returned for 13 yards (tackle by Tee Higgins)",1.270,-2.980
3,4:48,1,10,CIN 39,3,7,David Montgomery left guard for 2 yards (tackle by B.J. Hill),2.980,2.710
3,4:09,2,8,CIN 37,3,7,David Montgomery left tackle for no gain (tackle by D.J. Reader and B.J. Hill),2.710,2.080
3,3:24,3,7,CIN 37,3,7,"Penalty on Justin Fields: False Start, 5 yards (accepted) (no play)",2.080,1.420
3,3:03,3,12,CIN 42,3,7,Justin Fields pass complete short left to Allen Robinson for 13 yards (tackle by Jessie Bates),1.420,3.640
3,2:17,1,10,CIN 29,3,7,Justin Fields pass complete deep left to Darnell Mooney for 21 yards,3.640,5.370
3,1:47,1,8,CIN 8,3,7,David Montgomery for -3 yards (tackle by Sam Hubbard and Eli Apple),5.370,4.020
3,1:05,2,11,CIN 11,3,7,Justin Fields scrambles right end for 6 yards (tackle by Sam Hubbard),4.020,4.260
3,0:23,3,5,CIN 5,3,7,"Penalty on Justin Fields: False Start, 5 yards (accepted) (no play)",4.260,3.130
Quarter,Time,Down,ToGo,Location,CIN,CHI,Detail,EPB,EPA
