Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 70 yards, returned by C.J. Board for 28 yards (tackle by Justin Strnad)",0.000,0.480
1,14:54,1,10,NYG 23,0,0,Saquon Barkley for 5 yards (tackle by Kareem Jackson and Shelby Harris),0.480,0.610
1,14:17,2,5,NYG 28,0,0,Daniel Jones pass incomplete short left intended for Darius Slayton,0.610,-0.100
1,14:14,3,5,NYG 28,0,0,"Daniel Jones pass complete deep right to Darius Slayton for 42 yards (tackle by Kyle Fuller). Penalty on Shelby Harris: Defensive Offside, 5 yards (declined)",-0.100,3.580
1,13:51,1,10,DEN 30,0,0,Daniel Jones pass complete short middle to Kadarius Toney for -6 yards (tackle by Von Miller),3.580,2.220
1,13:13,2,16,DEN 36,0,0,Devontae Booker for -2 yards (tackle by Shelby Harris),2.220,1.290
1,12:35,3,18,DEN 38,0,0,Daniel Jones pass incomplete short left intended for Sterling Shepard,1.290,0.720
1,12:30,4,18,DEN 38,0,0,"Penalty on NYG: Delay of Game, 5 yards (accepted) (no play)",0.720,0.400
1,12:30,4,23,DEN 43,0,0,"Riley Dixon punts 43 yards, touchback.",0.400,-0.280
1,12:21,1,10,DEN 20,0,0,Melvin Gordon left guard for -1 yards (tackle by Blake Martinez),0.280,-0.460
1,11:34,2,11,DEN 19,0,0,Teddy Bridgewater pass complete short middle to Noah Fant for 15 yards (tackle by Xavier McKinney and Tae Crowder),-0.460,1.200
1,10:51,1,10,DEN 34,0,0,Melvin Gordon right end for 2 yards (tackle by Lorenzo Carter and Blake Martinez),1.200,0.930
1,10:11,2,8,DEN 36,0,0,Javonte Williams right end for 5 yards (tackle by Blake Martinez),0.930,0.890
1,9:27,3,3,DEN 41,0,0,Teddy Bridgewater pass incomplete deep left intended for Courtland Sutton,0.890,-0.650
1,9:21,4,3,DEN 41,0,0,Sam Martin punts 37 yards downed by Mike Ford,-0.650,-0.410
1,9:12,1,10,NYG 22,0,0,Saquon Barkley right end for 4 yards (tackle by Justin Simmons),0.410,0.410
1,8:29,2,6,NYG 26,0,0,Daniel Jones pass complete short left to Kadarius Toney for 4 yards (tackle by Josey Jewell),0.410,0.230
1,7:53,3,2,NYG 30,0,0,Daniel Jones sacked by Von Miller for -8 yards,0.230,-1.900
1,7:12,4,10,NYG 22,0,0,"Riley Dixon punts 58 yards, returned by Diontae Spencer for 13 yards (tackle by Keion Crossen)",-1.900,-1.140
1,7:00,1,10,DEN 33,0,0,Teddy Bridgewater pass complete deep middle to Jerry Jeudy for 13 yards (tackle by Logan Ryan),1.140,1.990
1,6:19,1,10,DEN 46,0,0,Teddy Bridgewater pass complete short right to Eric Saubert for 7 yards (tackle by Adoree' Jackson),1.990,2.400
1,4:11,2,3,NYG 47,0,0,"Melvin Gordon for 2 yards (tackle by Lorenzo Carter and Logan Ryan). Penalty on Courtland Sutton: Offensive Illegal Block Above the Waist, 10 yards (accepted)",2.400,1.320
1,5:10,2,11,DEN 45,0,0,Javonte Williams right guard for 9 yards (tackle by Lorenzo Carter),1.320,1.820
1,4:25,3,2,NYG 46,0,0,Teddy Bridgewater pass complete short left to Tim Patrick for 6 yards (tackle by Reggie Ragland),1.820,2.920
1,3:47,1,10,NYG 40,0,0,Javonte Williams right guard for 2 yards (tackle by Darnay Holmes and Austin Johnson),2.920,2.640
1,3:04,2,8,NYG 38,0,0,Teddy Bridgewater pass complete short right to Melvin Gordon for 1 yard (tackle by Tae Crowder),2.640,2.080
1,2:16,3,7,NYG 37,0,0,Teddy Bridgewater pass incomplete deep left intended for Jerry Jeudy (defended by Xavier McKinney),2.080,0.790
1,2:10,4,7,NYG 37,0,0,Teddy Bridgewater pass complete short middle to Tim Patrick for 15 yards (tackle by Logan Ryan),0.790,4.110
1,1:30,1,10,NYG 22,0,0,Melvin Gordon right tackle for 2 yards (tackle by Austin Johnson and Reggie Ragland),4.110,3.830
1,0:48,2,8,NYG 20,0,0,Teddy Bridgewater pass complete short middle to KJ Hamler for 9 yards (tackle by Adoree' Jackson and Blake Martinez),3.830,4.840
Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 11,0,0,Teddy Bridgewater pass incomplete short right intended for Noah Fant (defended by Darnay Holmes),4.840,4.140
2,14:55,2,10,NYG 11,0,0,Javonte Williams right guard for -2 yards (tackle by Leonard Williams and Azeez Ojulari),4.140,3.080
2,14:10,3,12,NYG 13,0,0,Teddy Bridgewater scrambles left end for 8 yards (tackle by Adoree' Jackson),3.080,3.010
2,13:22,4,4,NYG 5,3,0,Brandon McManus 23 yard field goal good,3.010,3.000
2,13:18,,,DEN 35,3,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,13:18,1,10,NYG 25,3,0,Daniel Jones pass complete deep middle to Kenny Golladay for 17 yards (tackle by Ronald Darby),0.610,1.730
2,12:40,1,10,NYG 42,3,0,Saquon Barkley left tackle for 2 yards (tackle by Shelby Harris and Shamar Stephen),1.730,1.460
2,12:05,2,8,NYG 44,3,0,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Shamar Stephen),1.460,0.890
2,11:19,3,7,NYG 45,3,0,"Daniel Jones pass incomplete intended for Darius Slayton. Penalty on Ronald Darby: Defensive Pass Interference, 5 yards (accepted) (no play)",0.890,2.260
2,11:15,1,10,NYG 50,3,0,Daniel Jones pass complete short left to Devontae Booker for 6 yards (tackle by Malik Reed and DeShawn Williams),2.260,2.520
2,10:34,2,4,DEN 44,3,0,Saquon Barkley right tackle for -1 yards (tackle by Dre'Mont Jones),2.520,1.690
2,9:50,3,5,DEN 45,3,0,Daniel Jones pass complete short middle to Sterling Shepard for 8 yards (tackle by Josey Jewell),1.690,3.120
2,9:07,1,10,DEN 37,3,6,"Daniel Jones pass complete deep left to Sterling Shepard for 37 yards, touchdown",3.120,7.000
2,8:56,,,DEN 15,3,7,Graham Gano kicks extra point good,0.000,0.000
2,8:56,,,NYG 35,3,7,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,8:56,1,10,DEN 25,3,7,Teddy Bridgewater pass complete short left to Noah Fant for 5 yards (tackle by Reggie Ragland),0.610,0.740
2,8:13,2,5,DEN 30,3,7,Melvin Gordon left end for 7 yards (tackle by Logan Ryan),0.740,1.400
2,7:35,1,10,DEN 37,3,7,Teddy Bridgewater pass complete short left to Noah Fant for 25 yards (tackle by James Bradberry and Logan Ryan),1.400,3.050
2,6:54,1,10,NYG 38,3,7,Teddy Bridgewater pass complete short left to Javonte Williams for -4 yards (tackle by Logan Ryan and Lorenzo Carter),3.050,1.970
2,6:06,2,14,NYG 42,3,7,Teddy Bridgewater pass complete short right to Jerry Jeudy for 5 yards (tackle by Darnay Holmes and James Bradberry),1.970,1.950
2,5:22,3,9,NYG 37,3,7,Teddy Bridgewater pass complete short left to Jerry Jeudy for 11 yards (tackle by Darnay Holmes),1.950,3.840
2,5:22,1,10,NYG 26,3,7,"Penalty on Darnay Holmes: Unnecessary Roughness / Defense, 13 yards (accepted) (no play)",3.840,4.710
2,4:59,1,10,NYG 13,3,7,Teddy Bridgewater scrambles up the middle for 3 yards (tackle by Azeez Ojulari),4.710,4.580
2,4:17,2,7,NYG 10,3,7,"Teddy Bridgewater pass complete to Albert Okwuegbunam for 6 yards. Albert Okwuegbunam fumbles (forced by Logan Ryan), recovered by Logan Ryan at NYG-4 Replay Assistant challenged the loose ball recovery ruling, and the play was upheld.",4.580,0.380
2,4:05,1,10,NYG 4,3,7,Devontae Booker up the middle for 1 yard (tackle by Dre'Mont Jones),-0.380,-0.710
2,3:22,2,9,NYG 5,3,7,Daniel Jones pass incomplete short left intended for Elijhaa Penny,-0.710,-1.300
2,3:18,3,9,NYG 5,3,7,Daniel Jones pass complete short left to Kyle Rudolph for 2 yards (tackle by Ronald Darby),-1.300,-2.490
2,2:40,4,7,NYG 7,3,7,"Riley Dixon punts 61 yards, returned by Diontae Spencer for 11 yards (tackle by Kaden Smith)",-2.490,-1.800
2,2:25,1,10,DEN 43,3,7,Teddy Bridgewater pass complete short middle to Noah Fant for 2 yards (tackle by Blake Martinez),1.800,1.520
2,2:00,2,8,DEN 45,3,7,Javonte Williams right tackle for no gain (tackle by Tae Crowder and Leonard Williams),1.520,0.830
2,1:15,3,8,DEN 45,3,7,Teddy Bridgewater pass complete short middle to Jerry Jeudy for 6 yards (tackle by Blake Martinez),0.830,0.000
2,0:48,,,,,,Timeout #1 by Denver Broncos,,
2,0:48,4,2,NYG 49,3,7,Teddy Bridgewater pass complete short middle to Courtland Sutton for 14 yards (tackle by Logan Ryan),0.000,3.250
2,0:28,1,10,NYG 35,3,7,Teddy Bridgewater pass complete short right to Jerry Jeudy for 17 yards,3.250,4.370
2,0:19,1,10,NYG 18,3,7,Teddy Bridgewater pass complete short right to Tim Patrick for 16 yards (tackle by James Bradberry),4.370,6.740
2,0:13,,,,,,Timeout #1 by New York Giants,,
2,0:13,1,2,NYG 2,9,7,"Teddy Bridgewater pass complete short left to Tim Patrick for 2 yards, touchdown",6.740,7.000
2,0:08,,,NYG 15,10,7,Brandon McManus kicks extra point good,0.000,0.000
2,0:08,,,DEN 35,10,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,0:08,1,10,NYG 25,10,7,Daniel Jones kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,DEN,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,10,7,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,10,7,Melvin Gordon for 5 yards (tackle by James Bradberry),0.610,0.740
3,14:25,2,5,DEN 30,10,7,Teddy Bridgewater pass incomplete short left intended for Courtland Sutton (defended by James Bradberry),0.740,0.040
3,14:20,3,5,DEN 30,10,7,Teddy Bridgewater pass complete short middle to KJ Hamler for 10 yards (tackle by Xavier McKinney),0.040,1.600
3,13:30,1,10,DEN 40,10,7,Javonte Williams right tackle for 4 yards (tackle by Danny Shelton),1.600,1.590
3,12:47,2,6,DEN 44,10,7,Teddy Bridgewater pass incomplete deep right intended for Noah Fant (defended by Xavier McKinney),1.590,0.890
3,12:40,3,6,DEN 44,10,7,Teddy Bridgewater pass complete short left to Albert Okwuegbunam for 6 yards (tackle by Jabrill Peppers),0.890,2.260
3,11:59,1,10,NYG 50,10,7,Teddy Bridgewater pass incomplete deep middle intended for KJ Hamler,2.260,1.710
3,11:50,2,10,NYG 50,10,7,Melvin Gordon right end for 6 yards (tackle by Austin Johnson),1.710,1.820
3,11:09,3,4,NYG 44,10,7,Teddy Bridgewater pass complete short middle to Noah Fant for 8 yards (tackle by Logan Ryan),1.820,3.180
3,10:24,1,10,NYG 36,10,7,Melvin Gordon left tackle for 6 yards (tackle by Tae Crowder),3.180,3.450
3,9:38,2,4,NYG 30,10,7,Teddy Bridgewater sacked by Azeez Ojulari for -3 yards,3.450,2.350
3,8:50,3,7,NYG 33,10,7,"Teddy Bridgewater pass complete deep left to Jerry Jeudy for no gain. Jerry Jeudy fumbles (forced by James Bradberry) (tackle by James Bradberry), recovered by Jabrill Peppers at NYG-14 (tackle by Javonte Williams) Replay Assistant challenged the fumble ruling, and the original play was overturned. Teddy Bridgewater pass complete to Jerry Jeudy for 20 yards (tackle by James Bradberry)",2.350,4.710
3,8:32,1,10,NYG 13,10,7,Javonte Williams up the middle for 2 yards (tackle by Austin Johnson and Reggie Ragland),4.710,4.390
3,7:51,2,8,NYG 11,10,7,Teddy Bridgewater pass incomplete short right,4.390,3.450
3,7:44,3,8,NYG 11,10,7,Teddy Bridgewater pass complete to Noah Fant for 7 yards (tackle by Jabrill Peppers),3.450,3.040
3,6:58,4,1,NYG 4,16,7,"Teddy Bridgewater pass complete short right to Albert Okwuegbunam for 4 yards, touchdown",3.040,7.000
3,6:48,,,NYG 15,17,7,Brandon McManus kicks extra point good,0.000,0.000
3,6:48,,,,,,Timeout #1 by New York Giants,,
3,6:48,,,DEN 35,17,7,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,6:48,1,10,NYG 25,17,7,Saquon Barkley left guard for 5 yards (tackle by Shelby Harris),0.610,0.740
3,6:08,2,5,NYG 30,17,7,Daniel Jones pass incomplete short middle intended for Kyle Rudolph (defended by Alexander Johnson),0.740,0.040
3,6:03,3,5,NYG 30,17,7,Daniel Jones pass complete to Sterling Shepard for 15 yards (tackle by Justin Simmons),0.040,1.930
3,5:20,1,10,NYG 45,17,7,Saquon Barkley up the middle for 2 yards (tackle by Alexander Johnson),1.930,1.650
3,4:44,2,8,NYG 47,17,7,Daniel Jones pass incomplete short right intended for Sterling Shepard (defended by Josey Jewell),1.650,0.960
3,4:36,3,8,NYG 47,17,7,Daniel Jones pass complete to Sterling Shepard for 20 yards (tackle by Kyle Fuller),0.960,3.380
3,4:13,1,10,DEN 33,17,7,Daniel Jones pass complete to Darius Slayton for 8 yards (tackle by Kyle Fuller),3.380,3.850
3,3:49,2,2,DEN 26,17,7,Daniel Jones pass incomplete short right intended for Darius Slayton,3.850,3.200
3,3:45,3,2,DEN 25,17,7,Saquon Barkley for 3 yards (tackle by Andre Mintze and Shamar Stephen),3.200,4.110
