Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIA 25,0,0,Tua Tagovailoa sacked by Taron Johnson for no gain,0.610,-0.980
1,14:17,2,17,MIA 18,0,0,Myles Gaskin left tackle for 6 yards (tackle by Levi Wallace),-0.980,-0.760
1,13:36,3,11,MIA 24,0,0,Tua Tagovailoa sacked by Micah Hyde for -6 yards,-0.760,-2.240
1,12:59,4,17,MIA 18,0,0,"Michael Palardy punts 48 yards, returned by Isaiah McKenzie for 20 yards (tackle by Blake Ferguson)",-2.240,-2.520
1,12:45,1,10,MIA 46,0,0,Josh Allen pass incomplete short left intended for Stefon Diggs,2.520,1.980
1,12:41,2,10,MIA 46,6,0,"Devin Singletary right guard for 46 yards, touchdown",1.980,7.000
1,12:33,,,MIA 15,7,0,Tyler Bass kicks extra point good,0.000,0.000
1,12:33,,,BUF 35,7,0,"Tyler Bass kicks off 70 yards, returned by Jakeem Grant for 31 yards (tackle by Dane Jackson and Tyrel Dodson)",0.000,0.670
1,12:26,1,10,MIA 26,7,0,Myles Gaskin right tackle for 18 yards (tackle by Jordan Poyer),0.670,1.860
1,12:01,1,10,MIA 44,7,0,Tua Tagovailoa pass incomplete short left,1.860,1.320
1,11:55,2,10,MIA 44,7,0,"Tua Tagovailoa pass complete to DeVante Parker for no gain (tackle by Micah Hyde and Jordan Poyer). Penalty on Austin Jackson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.320,0.640
1,11:33,2,15,MIA 39,7,0,Tua Tagovailoa pass incomplete short right intended for Myles Gaskin,0.640,-0.030
1,11:29,3,15,MIA 39,7,0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 13 yards (tackle by Justin Zimmer and Tre'Davious White),-0.030,0.070
1,10:44,4,2,BUF 48,7,0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,0.070,-2.130
1,10:41,1,10,BUF 48,7,0,Josh Allen pass complete short left to Isaiah McKenzie for 1 yard (tackle by Justin Coleman),2.130,1.720
1,10:05,2,9,BUF 49,7,0,Devin Singletary right guard for 4 yards (tackle by Elandon Roberts and Emmanuel Ogbah),1.720,1.550
1,9:28,3,5,MIA 47,7,0,Josh Allen scrambles right end for 6 yards (tackle by Brandon Jones),1.550,2.850
1,8:42,1,10,MIA 41,7,0,Josh Allen pass complete deep left to Emmanuel Sanders for 35 yards (tackle by Byron Jones),2.850,5.830
1,7:59,1,6,MIA 6,7,0,Josh Allen pass incomplete short left,5.830,4.950
1,7:53,2,6,MIA 6,7,0,Devin Singletary left guard for 1 yard (tackle by Emmanuel Ogbah),4.950,4.260
1,7:10,3,5,MIA 5,13,0,"Josh Allen pass complete short middle to Stefon Diggs for 5 yards, touchdown",4.260,7.000
1,7:02,,,MIA 15,14,0,Tyler Bass kicks extra point good,0.000,0.000
1,7:02,,,BUF 35,14,0,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
1,7:02,1,10,MIA 25,14,0,Jacoby Brissett pass complete short left to DeVante Parker for 7 yards (tackle by Tre'Davious White),0.610,1.010
1,6:33,2,3,MIA 32,14,0,Myles Gaskin up the middle for -1 yards (tackle by Gregory Rousseau),1.010,0.170
1,5:59,3,4,MIA 31,14,0,Jacoby Brissett sacked by Gregory Rousseau for -4 yards,0.170,-1.570
1,5:22,4,8,MIA 27,14,0,"Michael Palardy punts 47 yards, fair catch by Isaiah McKenzie at BUF-26",-1.570,-0.670
1,5:16,1,10,BUF 26,14,0,Zack Moss right guard for 10 yards (tackle by Jevon Holland and Xavien Howard),0.670,1.330
1,4:39,1,10,BUF 36,14,0,Zack Moss right guard for 1 yard (tackle by Jevon Holland),1.330,0.930
1,4:01,2,9,BUF 37,14,0,"Josh Allen pass complete short right to Zack Moss for 6 yards. Zack Moss fumbles (forced by Jerome Baker), recovered by Brandon Jones at BUF-48 and returned for 3 yards. Brandon Jones fumbles (forced by Dawson Knox), recovered by Jevon Holland at BUF-45 and returned for 3 yards (tackle by Jerome Baker) (tackle by Dawson Knox)",0.930,-2.790
1,3:51,1,10,BUF 42,14,0,Salvon Ahmed right guard for 2 yards (tackle by Gregory Rousseau),2.790,2.510
1,3:14,2,8,BUF 40,14,0,"Penalty on Durham Smythe: False Start, 5 yards (accepted) (no play)",2.510,1.840
1,2:49,2,13,BUF 45,14,0,"Jacoby Brissett pass incomplete short right intended for DeVante Parker (defended by Levi Wallace). Penalty on Levi Wallace: Taunting / Defense, 15 yards (accepted)",1.840,3.580
1,2:45,1,10,BUF 30,14,0,Myles Gaskin for -1 yards (tackle by Matt Milano),3.580,2.900
1,2:04,2,11,BUF 31,14,0,Jacoby Brissett pass intended for Mike Gesicki is intercepted by Levi Wallace at BUF-15 and returned for 14 yards (tackle by Salvon Ahmed),2.900,-0.870
1,1:56,1,10,BUF 29,14,0,Devin Singletary left tackle for -1 yards (tackle by Eric Rowe and Emmanuel Ogbah),0.870,0.190
1,1:13,2,11,BUF 28,14,0,Josh Allen pass incomplete short left,0.190,-0.490
1,1:07,3,11,BUF 28,14,0,Josh Allen pass incomplete short right intended for Emmanuel Sanders (defended by Jerome Baker),-0.490,-1.500
1,0:00,4,11,BUF 28,14,0,"Matt Haack punts 42 yards, returned by Jakeem Grant for 1 yard (tackle by A.J. Klein). Penalty on Brandon Jones: Offensive Holding, 10 yards (accepted)",-1.500,-0.340
1,0:51,1,10,MIA 21,14,0,Jacoby Brissett pass complete short right to Myles Gaskin for 6 yards (tackle by Matt Milano),0.340,0.610
1,0:23,2,4,MIA 27,14,0,Jacoby Brissett pass incomplete short middle intended for Mike Gesicki (defended by Jordan Poyer),0.610,-0.100
1,0:19,3,4,MIA 27,14,0,Jacoby Brissett pass complete to Jaylen Waddle for 9 yards (tackle by Levi Wallace),-0.100,1.330
Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 36,14,0,Jacoby Brissett scrambles left end for 6 yards (tackle by Tremaine Edmunds),1.330,1.600
2,14:30,2,4,MIA 42,14,0,Jacoby Brissett pass complete short middle to Jaylen Waddle for 5 yards (tackle by Tre'Davious White),1.600,2.060
2,14:01,1,10,MIA 47,14,0,Salvon Ahmed up the middle for 2 yards (tackle by Matt Milano),2.060,1.790
2,13:25,2,8,MIA 49,14,0,Jacoby Brissett scrambles for 1 yard (tackle by Jerry Hughes and Gregory Rousseau),1.790,1.220
2,12:42,3,7,MIA 50,14,0,Jacoby Brissett pass complete deep middle to Mike Gesicki for 18 yards (tackle by Jordan Poyer),1.220,3.450
2,11:59,1,10,BUF 32,14,0,Jacoby Brissett pass incomplete deep middle intended for DeVante Parker,3.450,2.900
2,11:50,2,10,BUF 32,14,0,"Jacoby Brissett pass complete short middle to Adam Shaheen for no gain (tackle by Tremaine Edmunds). Penalty on Vernon Butler: Defensive Offside, 5 yards (accepted) (no play)",2.900,3.580
2,11:27,2,5,BUF 27,14,0,Jacoby Brissett pass complete to Mike Gesicki for 12 yards (tackle by Jordan Poyer),3.580,4.580
2,10:44,,,,,,Timeout #1 by Miami Dolphins,,
2,10:44,1,10,BUF 15,14,0,Jacoby Brissett pass complete short right to Jaylen Waddle for 4 yards (tackle by Jordan Poyer),4.580,4.640
2,10:02,2,6,BUF 11,14,0,Jacoby Brissett pass incomplete short left intended for Albert Wilson,4.640,3.780
2,9:58,3,6,BUF 11,14,0,"Jacoby Brissett pass complete short middle to Jakeem Grant for no gain. Jakeem Grant fumbles (forced by Taron Johnson), recovered by Matt Milano at BUF-11 (tackle by Taron Johnson)",3.780,0.370
2,9:53,1,10,BUF 11,14,0,Devin Singletary right tackle for 2 yards (tackle by Christian Wilkins and Andrew Van Ginkel),-0.370,-0.630
2,9:12,2,8,BUF 13,14,0,Josh Allen pass complete short left to Cole Beasley for 1 yard (tackle by Brandon Jones and Andrew Van Ginkel),-0.630,-1.070
2,8:27,3,7,BUF 14,14,0,Josh Allen pass complete short middle to Cole Beasley for 7 yards (tackle by Justin Coleman),-1.070,0.340
2,8:06,1,10,BUF 21,14,0,"Penalty on Daryl Williams: False Start, 5 yards (accepted) (no play)",0.340,-0.220
2,7:58,1,15,BUF 16,14,0,Josh Allen pass incomplete deep left intended for Devin Singletary,-0.220,-1.010
2,7:54,2,15,BUF 16,14,0,Josh Allen pass short middle intended for Stefon Diggs is intercepted by Xavien Howard at BUF-25 and returned for 1 yard (tackle by Stefon Diggs),-1.010,-3.970
2,7:46,1,10,BUF 24,14,0,Myles Gaskin left guard for 3 yards (tackle by Jerry Hughes),3.970,3.840
2,7:11,2,7,BUF 21,14,0,Jacoby Brissett sacked by Matt Milano for -9 yards,3.840,1.950
2,6:27,3,16,BUF 30,14,0,Jacoby Brissett pass complete short right to Jaylen Waddle for 14 yards (tackle by Tremaine Edmunds and Micah Hyde),1.950,2.500
2,5:43,4,2,BUF 16,14,0,Malcolm Brown right tackle for 1 yard (tackle by Dane Jackson),2.500,0.220
2,5:38,1,10,BUF 15,14,0,Devin Singletary left guard for 5 yards (tackle by Zach Sieler),-0.220,0.080
2,4:58,2,5,BUF 20,14,0,Devin Singletary left tackle for 4 yards (tackle by Zach Sieler),0.080,-0.270
2,4:14,3,1,BUF 24,14,0,Zack Moss up the middle for no gain (tackle by Christian Wilkins and Elandon Roberts),-0.270,-1.770
2,3:30,,,,,,Timeout #1 by Buffalo Bills,,
2,3:30,4,1,BUF 24,14,0,Matt Haack punts 41 yards out of bounds,-1.770,-1.270
2,3:21,1,10,MIA 35,14,0,"Jacoby Brissett scrambles for no gain (tackle by Dane Jackson). Penalty on Robert Hunt: Offensive Holding, 10 yards (accepted) (no play)",1.270,0.610
2,2:57,1,20,MIA 25,14,0,Jacoby Brissett pass complete short right to DeVante Parker for 4 yards (tackle by Tremaine Edmunds and Dane Jackson),0.610,-0.090
2,2:28,2,16,MIA 29,14,0,Jacoby Brissett pass complete short left to Myles Gaskin for 11 yards (tackle by Tre'Davious White),-0.090,0.700
2,2:00,3,5,MIA 40,14,0,"Jacoby Brissett pass complete short left to DeVante Parker for 16 yards (tackle by Tre'Davious White). Penalty on Tre'Davious White: Defensive Holding, 5 yards (declined)",0.700,2.650
2,1:54,1,10,BUF 44,14,0,Jacoby Brissett pass incomplete deep left intended for DeVante Parker,2.650,2.110
2,1:49,2,10,BUF 44,14,0,Jacoby Brissett scrambles left end for 2 yards (tackle by Matt Milano),2.110,1.690
2,1:41,3,8,BUF 42,14,0,Jacoby Brissett pass complete short left to Mike Gesicki for 11 yards (tackle by Micah Hyde),1.690,3.510
2,1:36,1,10,BUF 31,14,0,Jacoby Brissett pass incomplete short right intended for Albert Wilson,3.510,2.970
2,1:33,2,10,BUF 31,14,0,"Jacoby Brissett pass incomplete short right. Penalty on Jacoby Brissett: Intentional Grounding, 10 yards (accepted)",2.970,0.960
2,1:27,3,20,BUF 41,14,0,Jacoby Brissett pass complete short right to Jaylen Waddle for 3 yards (tackle by Mario Addison),0.960,0.720
2,1:21,,,,,,Timeout #2 by Buffalo Bills,,
2,1:21,4,17,BUF 38,14,0,"Michael Palardy punts 30 yards, fair catch by Isaiah McKenzie at BUF-8",0.720,0.380
2,1:15,1,10,BUF 8,14,0,Devin Singletary left tackle for 8 yards (tackle by Jaelan Phillips and Jerome Baker),-0.380,-0.090
2,0:54,2,2,BUF 16,14,0,"Devin Singletary left tackle for 1 yard (tackle by Jaelan Phillips and Adam Butler). Penalty on Cody Ford: Offensive Holding, 8 yards (accepted)",-0.090,-0.710
2,0:46,2,9,BUF 9,14,0,"Penalty on Daryl Williams: False Start, 4 yards (accepted) (no play)",-0.710,-1.000
2,0:46,2,13,BUF 5,14,0,Devin Singletary right guard for 4 yards (tackle by Christian Wilkins and Jaelan Phillips),-1.000,-1.300
2,0:43,,,,,,Timeout #2 by Miami Dolphins,,
2,0:43,3,9,BUF 9,14,0,Josh Allen pass incomplete short left intended for Emmanuel Sanders (defended by Christian Wilkins),-1.300,-2.490
2,0:38,4,9,BUF 9,14,0,"Matt Haack punts 47 yards, recovered by Taiwan Jones at MIA-42 Replay Assistant challenged the fumble ruling, and the play was upheld.",-2.490,2.790
2,0:29,1,10,MIA 42,14,0,Josh Allen pass incomplete deep left intended for Stefon Diggs (defended by Byron Jones),2.790,2.240
2,0:23,2,10,MIA 42,14,0,Josh Allen pass complete short left to Stefon Diggs for 7 yards (tackle by Brandon Jones),2.240,2.480
2,0:17,,,,,,Timeout #2 by Buffalo Bills,,
2,0:17,3,3,MIA 35,14,0,Josh Allen pass incomplete deep left,2.480,0.990
2,0:11,,,,,,Timeout #0 by Miami Dolphins,,
2,0:11,4,3,MIA 35,14,0,Tyler Bass 53 yard field goal no good,0.990,-1.800
2,0:06,1,10,MIA 43,14,0,Jacoby Brissett kneels for -1 yards,1.800,1.120
