Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,Kirk Cousins scrambles left end for 6 yards (tackle by Micah Parsons),0.610,0.870
1,14:22,2,4,MIN 31,0,0,Dalvin Cook up the middle for 2 yards (tackle by Micah Parsons and Osa Odighizuwa),0.870,0.430
1,13:42,3,2,MIN 33,0,0,"Kirk Cousins pass complete deep right to Tyler Conklin for 31 yards (tackle by Jayron Kearse). Penalty on Jayron Kearse: Defensive Holding, 5 yards (declined)",0.430,3.180
1,13:22,1,10,DAL 36,0,0,Kirk Cousins pass complete short left to Justin Jefferson for 3 yards (tackle by Jayron Kearse),3.180,3.040
1,12:50,2,7,DAL 33,0,0,Justin Jefferson pass incomplete deep right intended for Adam Thielen,3.040,2.350
1,12:41,3,7,DAL 33,0,0,"Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Trevon Diggs). Penalty on Trevon Diggs: Defensive Pass Interference, 14 yards (accepted) (no play)",2.350,4.310
1,12:36,1,10,DAL 19,0,0,Dalvin Cook right guard for -1 yards (tackle by Micah Parsons),4.310,3.630
1,11:55,2,11,DAL 20,0,6,"Kirk Cousins pass complete short left to Adam Thielen for 20 yards, touchdown",3.630,7.000
1,11:49,,,DAL 15,0,7,Greg Joseph kicks extra point good,0.000,0.000
1,11:49,,,MIN 35,0,7,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,11:49,1,10,DAL 25,0,7,Ezekiel Elliott left tackle for 8 yards (tackle by Danielle Hunter),0.610,1.140
1,11:16,2,2,DAL 33,0,7,Cooper Rush pass complete short left to Amari Cooper for 5 yards (tackle by Cameron Dantzler),1.140,1.470
1,10:37,1,10,DAL 38,0,7,Ezekiel Elliott up the middle for 2 yards (tackle by Harrison Smith and Bashaud Breeland),1.470,1.190
1,10:05,2,8,DAL 40,0,7,Cooper Rush pass complete short right to Ezekiel Elliott for 8 yards (tackle by Bashaud Breeland and Anthony Barr),1.190,2.130
1,9:16,1,10,DAL 48,0,7,"Cooper Rush pass incomplete short middle intended for Blake Jarwin. Penalty on Everson Griffen: Defensive Offside, 5 yards (accepted) (no play)",2.130,2.860
1,9:16,1,5,MIN 47,0,7,Tony Pollard right guard for 6 yards (tackle by Xavier Woods and Danielle Hunter),2.860,2.850
1,8:36,1,10,MIN 41,0,7,Tony Pollard up the middle for 2 yards (tackle by Harrison Smith and Dalvin Tomlinson),2.850,2.580
1,7:54,2,8,MIN 39,0,7,Cooper Rush pass complete deep right to CeeDee Lamb for 17 yards (tackle by Eric Kendricks),2.580,4.110
1,7:16,1,10,MIN 22,0,7,"Penalty on Terence Steele: False Start, 5 yards (accepted) (no play)",4.110,3.780
1,6:57,1,15,MIN 27,0,7,Cooper Rush pass incomplete short left intended for Amari Cooper (defended by Anthony Barr),3.780,2.890
1,6:53,2,15,MIN 27,0,7,Cooper Rush pass complete short right to CeeDee Lamb for 8 yards (tackle by Harrison Smith),2.890,3.260
1,6:08,3,7,MIN 19,0,7,Cooper Rush sacked by Eric Kendricks for -6 yards,3.260,1.800
1,5:24,4,13,MIN 25,0,7,Greg Zuerlein 43 yard field goal no good,1.800,-1.140
1,5:19,1,10,MIN 33,0,7,Dalvin Cook left tackle for 15 yards (tackle by Malik Hooker),1.140,2.130
1,4:52,1,10,MIN 48,0,7,Kirk Cousins pass complete short right to Adam Thielen for 3 yards (tackle by Anthony Brown),2.130,1.990
1,4:13,2,7,DAL 49,0,7,Kirk Cousins pass incomplete deep right intended for Justin Jefferson,1.990,1.290
1,4:04,,,,,,Timeout #1 by Minnesota Vikings,,
1,4:04,3,7,DAL 49,0,7,Kirk Cousins pass incomplete short left intended for Tyler Conklin,1.290,0.000
1,3:59,4,7,DAL 49,0,7,Jordan Berry punts 44 yards out of bounds,0.000,0.380
1,3:50,1,10,DAL 5,0,7,Ezekiel Elliott right end for 3 yards (tackle by Bashaud Breeland and Nick Vigil),-0.380,-0.560
1,3:06,2,7,DAL 8,0,7,Ezekiel Elliott right end for 5 yards (tackle by Harrison Smith and Danielle Hunter),-0.560,-0.480
1,2:37,3,2,DAL 13,0,7,Ezekiel Elliott left guard for 4 yards (tackle by Danielle Hunter),-0.480,-0.060
1,1:56,1,10,DAL 17,0,7,Cooper Rush pass complete deep left to CeeDee Lamb for 20 yards (tackle by Cameron Dantzler),-0.060,1.400
1,1:31,1,10,DAL 37,0,7,Cooper Rush scrambles right end for 2 yards (tackle by Bashaud Breeland),1.400,1.130
1,1:04,2,8,DAL 39,0,7,Tony Pollard left tackle for 7 yards (tackle by D.J. Wonnum and Xavier Woods),1.130,1.360
1,0:23,3,1,DAL 46,0,7,Tony Pollard right end for 2 yards (tackle by Xavier Woods),1.360,2.130
Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 48,0,7,Ezekiel Elliott left tackle for 5 yards (tackle by Dalvin Tomlinson),2.130,2.260
2,14:27,2,5,MIN 47,0,7,Cooper Rush pass deep middle (defended by Harrison Smith) intended for Blake Jarwin is intercepted by Xavier Woods at MIN-28 and returned for 12 yards (tackle by Blake Jarwin),2.260,-1.600
