Quarter,Time,Down,ToGo,Location,PHI,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 58 yards, returned by Jalen Reagor for 26 yards (tackle by Brandon Facyson)",0.000,1.140
1,14:53,1,10,PHI 33,0,0,Jalen Hurts pass incomplete short right intended for DeVonta Smith (defended by Brandon Facyson),1.140,0.590
1,14:49,2,10,PHI 33,0,0,"Miles Sanders left end for 3 yards (tackle by Cory Littleton and Johnathan Hankins). Penalty on Johnathan Hankins: Defensive Holding, 5 yards (accepted)",0.590,1.660
1,14:22,1,10,PHI 41,0,0,Miles Sanders left guard for 5 yards (tackle by Johnathan Abram),1.660,1.800
1,13:43,2,5,PHI 46,0,0,Jalen Hurts pass complete deep left to Dallas Goedert for 24 yards (tackle by Trevon Moehrig),1.800,3.580
1,13:00,1,10,LVR 30,0,0,Miles Sanders left guard for 9 yards (tackle by Trevon Moehrig and Quinton Jefferson),3.580,4.250
1,12:22,2,1,LVR 21,0,0,Miles Sanders left tackle for 7 yards (tackle by Cory Littleton and Trevon Moehrig),4.250,4.650
1,11:43,1,10,LVR 14,0,0,Miles Sanders left tackle for 1 yard (tackle by Yannick Ngakoue and Johnathan Hankins),4.650,4.160
1,11:08,2,9,LVR 13,6,0,"Jalen Hurts pass complete short middle to Kenneth Gainwell for 13 yards, touchdown",4.160,7.000
1,11:01,,,LVR 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,11:01,,,PHI 35,7,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,11:01,1,10,LVR 25,7,0,Josh Jacobs up the middle for 1 yard (tackle by Fletcher Cox),0.610,0.200
1,10:32,2,9,LVR 26,7,0,Derek Carr pass complete short left to Foster Moreau for 12 yards (tackle by Marcus Epps),0.200,1.470
1,10:01,1,10,LVR 38,7,0,Derek Carr pass complete short left to Henry Ruggs for 4 yards (tackle by Darius Slay),1.470,1.460
1,9:48,2,6,LVR 42,7,0,Josh Jacobs left tackle for 5 yards (tackle by Davion Taylor and Steven Nelson),1.460,1.420
1,9:15,3,1,LVR 47,7,0,Alec Ingold left guard for 1 yard (tackle by Rodney McLeod and Davion Taylor),1.420,2.130
1,8:37,1,10,LVR 48,7,0,Derek Carr scrambles right end for 2 yards (tackle by Derek Barnett),2.130,1.850
1,8:05,2,8,PHI 50,7,0,Josh Jacobs up the middle for 3 yards (tackle by Tarron Jackson),1.850,1.550
1,7:30,3,5,PHI 47,7,0,"Derek Carr pass complete short middle to Jalen Richard for no gain (tackle by Avonte Maddox). Penalty on John Simpson: Offensive Holding, 10 yards (accepted) (no play)",1.550,0.230
1,7:11,3,15,LVR 43,7,0,Derek Carr pass complete deep right to Zay Jones for 43 yards,0.230,4.650
1,6:25,1,10,PHI 14,7,0,Derek Carr pass complete short left to Foster Moreau for -1 yards (tackle by Avonte Maddox and Darius Slay),4.650,3.850
1,5:44,2,11,PHI 15,7,0,"Derek Carr pass complete short right to Josh Jacobs for no gain (tackle by Alex Singleton). Penalty on Brandon Parker: Offensive Holding, 10 yards (accepted) (no play)",3.850,2.610
1,5:24,2,21,PHI 25,7,0,Derek Carr pass complete short middle to Hunter Renfrow for 16 yards (tackle by Rodney McLeod),2.610,4.050
1,4:48,3,5,PHI 9,7,0,Derek Carr pass short middle intended for Jalen Richard is intercepted by Avonte Maddox at PHI-5 and returned for -1 yards (tackle by Alex Leatherwood and Bryan Edwards),4.050,0.380
1,4:39,1,10,PHI 4,7,0,Jalen Hurts pass incomplete short middle intended for DeVonta Smith,-0.380,-0.780
1,4:34,2,10,PHI 4,7,0,Jalen Hurts pass complete short right to DeVonta Smith for 8 yards (tackle by Brandon Facyson),-0.780,-0.480
1,3:51,3,2,PHI 12,7,0,Jalen Hurts scrambles right end for 5 yards (tackle by Denzel Perryman and Cory Littleton),-0.480,-0.060
1,3:05,1,10,PHI 17,7,0,Jalen Hurts left end for 7 yards (tackle by Johnathan Hankins),-0.060,0.480
1,2:22,2,3,PHI 24,7,0,Miles Sanders up the middle for 5 yards (tackle by Johnathan Abram and Solomon Thomas),0.480,0.870
1,1:44,1,10,PHI 29,7,0,Jalen Hurts pass complete short middle to Miles Sanders for -3 yards (tackle by Denzel Perryman),0.870,-0.080
1,1:10,2,13,PHI 26,7,0,Jalen Hurts pass incomplete short right intended for Dallas Goedert (defended by Cory Littleton) (defended by Yannick Ngakoue),-0.080,-0.760
1,1:05,3,13,PHI 26,7,0,Jalen Hurts pass incomplete short left intended for Kenneth Gainwell (defended by Yannick Ngakoue),-0.760,-1.630
1,1:00,4,13,PHI 26,7,0,"Arryn Siposs punts 46 yards, fair catch by Hunter Renfrow at LV-28",-1.630,-0.810
1,0:54,1,10,LVR 28,7,0,Derek Carr pass complete to Henry Ruggs for 2 yards (tackle by Darius Slay),0.810,0.530
1,0:19,2,8,LVR 30,7,0,Derek Carr pass complete short right to Hunter Renfrow for 8 yards (tackle by Eric Wilson),0.530,1.470
Quarter,Time,Down,ToGo,Location,PHI,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LVR 38,7,0,Derek Carr pass complete short middle to Josh Jacobs for 13 yards (tackle by Alex Singleton),1.470,2.320
2,14:29,1,10,PHI 49,7,0,Derek Carr pass complete short left to Foster Moreau for no gain (tackle by Eric Wilson and Alex Singleton),2.320,1.780
2,13:52,2,10,PHI 49,7,0,Kenyan Drake right guard for 12 yards (tackle by Marcus Epps and Derek Barnett),1.780,3.120
2,13:11,1,10,PHI 37,7,0,Kenyan Drake up the middle for 9 yards (tackle by Marcus Epps),3.120,3.790
2,12:33,2,1,PHI 28,7,0,Kenyan Drake right guard for 4 yards (tackle by Alex Singleton),3.790,3.970
2,11:56,1,10,PHI 24,7,0,Derek Carr pass complete short left to Hunter Renfrow for 6 yards (tackle by Davion Taylor),3.970,4.290
2,11:20,2,4,PHI 18,7,6,"Derek Carr pass complete deep right to Foster Moreau for 18 yards, touchdown",4.290,7.000
2,11:14,,,PHI 15,7,7,Daniel Carlson kicks extra point good,0.000,0.000
2,11:14,,,LVR 35,7,7,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,11:14,1,10,PHI 25,7,7,Kenneth Gainwell up the middle for 2 yards (tackle by Denzel Perryman),0.610,0.330
2,10:54,2,8,PHI 27,7,7,Jalen Hurts pass incomplete short middle intended for DeVonta Smith (defended by Brandon Facyson),0.330,-0.360
2,10:49,3,8,PHI 27,7,7,Kenneth Gainwell left guard for 7 yards (tackle by Denzel Perryman),-0.360,-1.110
2,10:26,,,,,,Timeout #1 by Philadelphia Eagles,,
2,10:26,4,1,PHI 34,7,7,Jalen Hurts up the middle for 1 yard (tackle by Quinton Jefferson and Johnathan Hankins),-1.110,1.270
2,9:44,1,10,PHI 35,7,7,Kenneth Gainwell up the middle for 1 yard (tackle by Johnathan Abram),1.270,0.860
2,9:06,2,9,PHI 36,7,7,Jalen Hurts pass complete deep right to DeVonta Smith for 20 yards,0.860,2.650
2,8:33,1,10,LVR 44,7,7,Boston Scott up the middle for 4 yards (tackle by Johnathan Abram),2.650,2.650
2,7:50,2,6,LVR 40,7,7,Boston Scott right tackle for 3 yards (tackle by Solomon Thomas and Johnathan Hankins),2.650,2.350
2,7:12,3,3,LVR 37,7,7,"Penalty on Landon Dickerson: False Start, 5 yards (accepted) (no play)",2.350,1.690
2,6:49,3,8,LVR 42,7,7,Jalen Hurts sacked by Yannick Ngakoue for -7 yards,1.690,0.000
2,6:08,4,15,LVR 49,7,7,"Arryn Siposs punts 45 yards, fair catch by Hunter Renfrow at LV-4",0.000,0.380
2,6:04,1,10,LVR 4,7,7,Derek Carr pass complete deep middle to Bryan Edwards for 18 yards (tackle by Rodney McLeod),-0.380,0.410
2,5:26,1,10,LVR 22,7,7,Josh Jacobs right guard for 3 yards (tackle by T.J. Edwards and Javon Hargrave),0.410,0.270
2,4:46,2,7,LVR 25,7,7,Derek Carr pass complete short right to Henry Ruggs for 8 yards (tackle by Rodney McLeod and Darius Slay),0.270,1.140
2,3:57,1,10,LVR 33,7,7,Josh Jacobs left guard for 9 yards (tackle by Davion Taylor),1.140,1.810
2,3:36,2,1,LVR 42,7,7,Derek Carr pass complete short left to Hunter Renfrow for 10 yards (tackle by Derek Barnett),1.810,2.390
2,2:59,1,10,PHI 48,7,7,Marcus Mariota for 4 yards (tackle by T.J. Edwards),2.390,2.390
2,2:23,2,6,PHI 44,7,7,Derek Carr pass complete short right to Henry Ruggs for 10 yards (tackle by Alex Singleton),2.390,3.310
2,2:00,1,10,PHI 34,7,7,Derek Carr pass complete short left to Josh Jacobs for 6 yards (tackle by Darius Slay),3.310,3.580
2,1:54,2,4,PHI 28,7,7,Derek Carr pass complete short middle to Josh Jacobs for 20 yards (tackle by Steven Nelson and Javon Hargrave),3.580,5.370
2,1:45,,,,,,Timeout #2 by Philadelphia Eagles,,
2,1:45,1,8,PHI 8,7,13,"Josh Jacobs left end for 8 yards, touchdown",5.370,7.000
2,1:38,,,PHI 15,7,14,Daniel Carlson kicks extra point good,0.000,0.000
2,1:38,,,LVR 35,7,14,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
