Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Younghoe Koo kicks off 67 yards, returned by Tony Pollard for 29 yards (tackle by Avery Williams)",0.000,0.740
1,14:53,1,10,DAL 27,0,0,Ezekiel Elliott right guard for 3 yards (tackle by Erik Harris and Grady Jarrett),0.740,0.600
1,14:25,2,7,DAL 30,0,0,Dak Prescott pass complete short left to CeeDee Lamb for 37 yards (tackle by Duron Harmon),0.600,3.380
1,13:51,1,10,ATL 33,0,0,Dak Prescott pass incomplete short left intended for Michael Gallup (defended by Erik Harris),3.380,2.840
1,13:47,2,10,ATL 33,0,0,Ezekiel Elliott right guard for 5 yards (tackle by Foyesade Oluokun and AJ Terrell),2.840,2.810
1,13:07,3,5,ATL 28,0,0,Dak Prescott pass complete short right to Michael Gallup for 11 yards (tackle by AJ Terrell),2.810,4.440
1,12:25,1,10,ATL 17,0,0,Tony Pollard right end for 4 yards (tackle by James Vaughters),4.440,4.500
1,11:52,2,6,ATL 13,0,0,Dak Prescott pass incomplete short left intended for CeeDee Lamb,4.500,3.680
1,11:48,3,6,ATL 13,0,6,"Dak Prescott pass complete to CeeDee Lamb for 13 yards, touchdown",3.680,7.000
1,11:42,,,ATL 15,0,7,Lirim Hajrullahu kicks extra point good,0.000,0.000
1,11:42,,,DAL 35,0,7,"Lirim Hajrullahu kicks off 65 yards, touchback.",0.000,0.610
1,11:42,1,10,ATL 25,0,7,Matt Ryan pass complete short right to Kyle Pitts for 17 yards (tackle by Jourdan Lewis and Trevon Diggs),0.610,1.730
1,11:10,1,10,ATL 42,0,7,Mike Davis left guard for 6 yards (tackle by Micah Parsons),1.730,2.000
1,10:35,2,4,ATL 48,0,7,Matt Ryan pass complete short right to Kyle Pitts for 18 yards (tackle by Jourdan Lewis),2.000,3.310
1,9:56,1,10,DAL 34,0,7,Cordarrelle Patterson right end for 14 yards (tackle by Anthony Brown and Jayron Kearse),3.310,4.240
1,9:17,1,10,DAL 20,0,7,Cordarrelle Patterson right tackle for 3 yards (tackle by Trysten Hill and Leighton Vander Esch),4.240,4.120
1,8:35,2,7,DAL 17,0,7,Matt Ryan pass incomplete short left intended for Olamide Zaccheaus,4.120,3.360
1,8:30,3,7,DAL 17,0,7,"Matt Ryan pass complete to Russell Gage for no gain DAL challenged the pass completion ruling, and the original play was overturned. Matt Ryan pass incomplete intended for Russell Gage (defended by Jayron Kearse)",3.360,2.310
1,8:27,4,7,DAL 17,3,7,Younghoe Koo 35 yard field goal good,2.310,3.000
1,8:24,,,ATL 35,3,7,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
1,8:24,1,10,DAL 25,3,7,"Penalty on La'el Collins: False Start, 5 yards (accepted) (no play)",0.610,0.280
1,8:24,1,15,DAL 20,3,7,Ezekiel Elliott left tackle for -3 yards (tackle by Grady Jarrett),0.280,-1.150
1,7:54,2,18,DAL 17,3,7,Dak Prescott pass complete short right to Ezekiel Elliott for 5 yards (tackle by Grady Jarrett),-1.150,-1.020
1,7:06,3,13,DAL 22,3,7,Dak Prescott pass incomplete short left intended for Tony Pollard,-1.020,-1.900
1,6:58,4,13,DAL 22,3,7,"Bryan Anger punts 51 yards, returned by Avery Williams for 5 yards (tackle by C.J. Goodwin)",-1.900,-1.070
1,6:48,1,10,ATL 32,3,7,Wayne Gallman up the middle for 2 yards (tackle by Micah Parsons and Jayron Kearse),1.070,0.800
1,6:14,2,8,ATL 34,3,7,Matt Ryan pass complete deep right to Kyle Pitts for 17 yards (tackle by Donovan Wilson),0.800,2.320
1,5:39,1,10,DAL 49,3,7,Matt Ryan pass complete to Cordarrelle Patterson for 14 yards (tackle by Anthony Brown and Keanu Neal),2.320,3.250
1,5:02,1,10,DAL 35,3,7,Cordarrelle Patterson right tackle for 3 yards (tackle by Chauncey Golston and Keanu Neal),3.250,3.110
1,4:19,2,7,DAL 32,3,7,Matt Ryan pass incomplete short left intended for Olamide Zaccheaus (defended by Chauncey Golston),3.110,2.410
1,4:16,3,7,DAL 32,3,7,Matt Ryan pass incomplete short right intended for Kyle Pitts (defended by Jourdan Lewis),2.410,1.240
1,4:12,4,7,DAL 32,3,7,Matt Ryan pass incomplete short right intended for Russell Gage (defended by Jourdan Lewis),1.240,-1.070
1,4:05,1,10,DAL 32,3,7,"Dak Prescott pass incomplete deep right intended for CeeDee Lamb. Penalty on Anthony Rush: Defensive Offside, 5 yards (accepted) (no play)",1.070,1.800
1,4:05,1,5,DAL 37,3,7,Dak Prescott pass complete short right to Tony Pollard for 9 yards (tackle by Erik Harris and Deion Jones),1.800,1.990
1,3:29,1,10,DAL 46,3,7,Tony Pollard up the middle for 4 yards (tackle by Mike Pennel and Foyesade Oluokun),1.990,1.920
1,2:56,2,7,DAL 50,3,7,Dak Prescott pass complete short left to Sean McKeon for 12 yards (tackle by Richie Grant),1.920,3.050
1,2:13,1,10,ATL 38,3,7,Tony Pollard left end for 2 yards (tackle by Grady Jarrett and Deion Jones),3.050,2.780
1,1:38,2,8,ATL 36,3,7,Tony Pollard right tackle for -3 yards (tackle by Foyesade Oluokun and Tyeler Davison),2.780,1.680
1,1:06,3,11,ATL 39,3,7,Dak Prescott pass complete to Amari Cooper for 6 yards (tackle by Fabian Moreau),1.680,1.170
1,0:24,4,5,ATL 33,3,7,Dak Prescott pass complete short right to CeeDee Lamb for 21 yards (tackle by AJ Terrell),1.170,4.780
Quarter,Time,Down,ToGo,Location,ATL,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 12,3,7,Ezekiel Elliott for 3 yards (tackle by Erik Harris),4.780,4.640
2,14:25,2,7,ATL 9,3,7,Dak Prescott pass complete short right to Ezekiel Elliott for 6 yards (tackle by Foyesade Oluokun),4.640,5.060
2,14:03,3,1,ATL 3,3,7,Ezekiel Elliott right guard for 2 yards (tackle by Daren Bates),5.060,6.970
2,13:30,1,1,ATL 1,3,7,Dak Prescott pass incomplete short left,6.970,5.910
2,13:27,2,1,ATL 1,3,13,"Ezekiel Elliott up the middle for 1 yard, touchdown",5.910,7.000
2,13:24,,,ATL 15,3,14,Lirim Hajrullahu kicks extra point good,0.000,0.000
2,13:24,,,DAL 35,3,14,"Lirim Hajrullahu kicks off 65 yards, touchback.",0.000,0.610
2,13:24,1,10,ATL 25,3,14,Matt Ryan pass complete to Tajae Sharpe for no gain (tackle by Jourdan Lewis),0.610,-0.070
2,12:46,2,11,ATL 24,3,14,Cordarrelle Patterson up the middle for 5 yards (tackle by Tarell Basham),-0.070,0.040
2,12:14,3,5,ATL 30,3,14,Matt Ryan pass incomplete short left intended for Cordarrelle Patterson,0.040,-1.370
2,12:09,4,5,ATL 30,3,14,"Dustin Colquitt punts 41 yards, returned by CeeDee Lamb for 3 yards (tackle by Olamide Zaccheaus)",-1.370,-1.070
