Quarter,Time,Down,ToGo,Location,LAC,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Dominik Eberle kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Justin Herbert pass complete short middle to Keenan Allen for 7 yards (tackle by Neville Hewitt),0.610,1.010
1,14:28,2,3,LAC 32,0,0,Justin Jackson left guard for 2 yards (tackle by Connor Strachan and Garret Wallow),1.010,0.560
1,13:53,3,1,LAC 34,0,0,Justin Herbert pass complete short right to Josh Palmer for 10 yards (tackle by Tremon Smith and Justin Reid),0.560,1.860
1,13:16,1,10,LAC 44,0,0,Justin Herbert pass complete short right to Jason Moore for 16 yards (tackle by Tremon Smith),1.860,2.920
1,12:41,1,10,HOU 40,0,0,"Justin Herbert pass complete short middle to Justin Jackson for no gain (tackle by Neville Hewitt). Penalty on Connor Strachan: Defensive Holding, 5 yards (accepted) (no play)",2.920,3.250
1,12:19,1,10,HOU 35,0,0,Justin Jackson left tackle for 1 yard (tackle by Garret Wallow and Connor Strachan),3.250,2.840
1,11:44,2,9,HOU 34,0,0,Joshua Kelley left tackle for 2 yards (tackle by Justin Reid),2.840,2.410
1,11:04,3,7,HOU 32,0,0,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Ross Blacklock),2.410,1.240
1,11:00,4,7,HOU 32,3,0,Dustin Hopkins 50 yard field goal good,1.240,3.000
1,10:55,,,LAC 35,3,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,10:55,1,10,HOU 25,3,0,Rex Burkhead left tackle for 9 yards (tackle by Alohi Gilman),0.610,1.280
1,10:17,2,1,HOU 34,3,0,Davis Mills pass complete short left to Phillip Dorsett for 7 yards,1.280,1.660
1,9:45,1,10,HOU 41,3,0,Rex Burkhead up the middle for 3 yards (tackle by Linval Joseph and Christian Covington),1.660,1.530
1,9:06,2,7,HOU 44,3,0,"Penalty on Pharaoh Brown: False Start, 5 yards (accepted) (no play)",1.530,0.850
1,8:46,2,12,HOU 39,3,0,Davis Mills pass complete short middle to Chris Moore for 4 yards (tackle by Drue Tranquill),0.850,0.700
1,8:10,3,8,HOU 43,3,0,Davis Mills pass complete to Nico Collins for 11 yards (tackle by Nasir Adderley and Kyzir White),0.700,2.520
1,7:26,1,10,LAC 46,3,0,"Davis Mills pass incomplete. Penalty on Asante Samuel: Defensive Pass Interference, 24 yards (accepted) (no play)",2.520,4.110
1,7:19,1,10,LAC 22,3,0,Royce Freeman up the middle for 4 yards (tackle by Drue Tranquill and Christian Covington),4.110,4.130
1,6:39,2,6,LAC 18,3,0,"Royce Freeman up the middle for 3 yards. Penalty on Jimmy Morrissey: Offensive Holding, 10 yards (accepted)",4.130,3.230
1,6:32,2,12,LAC 25,3,6,"Rex Burkhead left tackle for 25 yards, touchdown",3.230,7.000
1,6:25,,,LAC 15,3,7,Dominik Eberle kicks extra point good,0.000,0.000
1,6:25,,,HOU 35,3,7,"Dominik Eberle kicks off 64 yards, returned by Maurice Ffrench for 17 yards (tackle by Desmond King)",0.000,0.040
1,6:17,1,10,LAC 18,3,7,Justin Herbert pass complete short right to Justin Jackson for 9 yards (tackle by Garret Wallow),0.040,0.820
1,5:43,2,1,LAC 27,3,7,Justin Herbert pass complete short right to Josh Palmer for 12 yards (tackle by Garret Wallow),0.820,1.530
1,5:07,1,10,LAC 39,3,7,Maurice Ffrench left end for 3 yards (tackle by Tavierre Thomas),1.530,1.390
1,4:30,2,7,LAC 42,3,7,Justin Herbert pass complete short left to Justin Jackson for 25 yards (tackle by Desmond King),1.390,3.380
1,3:45,1,10,HOU 33,3,7,Joshua Kelley left guard for 5 yards (tackle by Justin Reid),3.380,3.510
1,3:09,2,5,HOU 28,3,7,"Joshua Kelley left guard for 1 yard (tackle by Jonathan Owens). Penalty on Scott Quessenberry: Offensive Holding, 10 yards (accepted)",3.510,2.230
1,2:45,2,15,HOU 37,3,7,Justin Herbert pass complete short right to Jared Cook for 9 yards (tackle by Tavierre Thomas),2.230,2.810
1,2:06,3,5,HOU 28,3,7,Justin Herbert pass incomplete short left intended for Jared Cook,2.810,1.630
1,2:01,4,5,HOU 28,6,7,Dustin Hopkins 46 yard field goal good,1.630,3.000
1,1:57,,,LAC 35,6,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,1:57,1,10,HOU 25,6,7,Royce Freeman left guard for 2 yards (tackle by Jerry Tillery and Christian Covington),0.610,0.330
1,1:19,2,8,HOU 27,6,7,Davis Mills sacked by Jerry Tillery for -6 yards,0.330,-1.150
1,0:36,3,14,HOU 21,6,7,Davis Mills pass complete short left to Rex Burkhead for -4 yards (tackle by Drue Tranquill),-1.150,-2.320
Quarter,Time,Down,ToGo,Location,LAC,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,18,HOU 17,6,7,"Cameron Johnston punts 53 yards, fair catch by Maurice Ffrench at LAC-30",-2.320,-0.940
2,14:53,1,10,LAC 30,6,7,Justin Jackson up the middle for 3 yards (tackle by Xavier Williams and Jonathan Owens),0.940,0.800
2,14:18,2,7,LAC 33,6,7,"Justin Herbert sacked by Demone Harris for no gain. Penalty on Demone Harris: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.800,1.470
2,13:53,1,10,LAC 38,6,7,Justin Herbert pass complete short right to Jared Cook for 18 yards (tackle by Justin Reid and Jonathan Owens),1.470,2.650
2,13:18,1,10,HOU 44,6,7,Justin Herbert pass complete to Josh Palmer for 12 yards (tackle by Desmond King),2.650,3.450
2,12:42,1,10,HOU 32,6,7,Joshua Kelley up the middle for no gain (tackle by Tavierre Thomas),3.450,2.900
2,12:06,2,10,HOU 32,6,7,Justin Herbert pass incomplete deep left intended for Jason Moore (defended by Desmond King),2.900,2.210
2,11:59,3,10,HOU 32,6,7,Justin Herbert pass complete short left to Keenan Allen for 15 yards (tackle by Tremon Smith),2.210,4.440
2,11:20,1,10,HOU 17,12,7,"Justin Jackson left end for 17 yards, touchdown",4.440,7.000
2,11:15,,,,,,Timeout #1 by Houston Texans,,
2,11:15,,,HOU 2,12,7,"Two Point Attempt: Justin Jackson rushes, conversion fails.",1.000,-1.000
2,11:15,,,LAC 35,12,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,11:15,1,10,HOU 25,12,7,Davis Mills pass complete short right to Brevin Jordan for 11 yards (tackle by Davontae Harris and Kenneth Murray),0.610,1.330
2,10:34,1,10,HOU 36,12,7,Rex Burkhead left tackle for 4 yards (tackle by Drue Tranquill),1.330,1.330
2,9:56,2,6,HOU 40,12,7,Rex Burkhead up the middle for 2 yards (tackle by Drue Tranquill),1.330,0.890
2,9:18,3,4,HOU 42,12,7,Davis Mills pass complete short left to Rex Burkhead for 4 yards (tackle by Davontae Harris),0.890,1.990
2,8:33,1,10,HOU 46,12,7,Royce Freeman right tackle for 13 yards (tackle by Alohi Gilman),1.990,2.850
2,7:55,1,10,LAC 41,12,7,Royce Freeman left tackle for 1 yard (tackle by Christian Covington and Breiden Fehoko),2.850,2.440
2,7:17,2,9,LAC 40,12,7,Davis Mills pass complete short right to Chris Moore for 14 yards (tackle by Kyzir White),2.440,3.840
2,6:36,1,10,LAC 26,12,7,Davis Mills pass incomplete deep right intended for Phillip Dorsett (defended by Chris Harris),3.840,3.300
2,6:30,2,10,LAC 26,12,7,"Davis Mills pass complete short left to Chris Conley for 1 yard (tackle by Kyzir White). Penalty on Chris Moore: Offensive Holding, 10 yards (accepted)",3.300,2.080
2,6:02,2,19,LAC 35,12,7,Rex Burkhead left guard for 2 yards (tackle by Emeke Egbule),2.080,1.690
2,5:19,3,17,LAC 33,12,7,Davis Mills pass incomplete short right intended for Nico Collins (defended by Asante Samuel),1.690,1.150
2,5:15,4,17,LAC 33,12,10,Dominik Eberle 51 yard field goal good,1.150,3.000
2,5:11,,,HOU 35,12,10,"Dominik Eberle kicks off 67 yards, returned by Michael Bandy for 23 yards (tackle by Desmond King). Penalty on Josh Watson: Low Block, 15 yards (accepted)",0.000,1.330
2,5:06,1,10,LAC 36,12,10,Justin Jackson up the middle for 9 yards (tackle by DeMarcus Walker and Justin Reid),1.330,2.010
2,4:45,2,1,LAC 45,12,10,Justin Herbert pass complete short left to Jason Moore for 16 yards (tackle by Tavierre Thomas and Neville Hewitt),2.010,2.980
2,4:06,1,10,HOU 39,12,10,Justin Herbert pass deep middle intended for Josh Palmer is intercepted by Jonathan Owens in end zone and returned for 7 yards (tackle by Josh Palmer),2.980,0.380
2,3:57,1,10,HOU 6,12,10,Royce Freeman up the middle for 1 yard (tackle by Kyzir White),-0.380,-0.710
2,3:24,2,9,HOU 7,12,10,"Royce Freeman right guard for no gain (tackle by Christian Covington and Drue Tranquill). Penalty on Jalen Camp: Illegal Formation, 3 yards (accepted) (no play)",-0.710,-0.930
2,2:54,,,,,,Timeout #2 by Houston Texans,,
2,2:54,2,12,HOU 4,12,10,"Penalty on Pharaoh Brown: False Start, 2 yards (accepted) (no play)",-0.930,-1.070
2,2:54,2,14,HOU 2,12,10,"Rex Burkhead left tackle for 2 yards (tackle by Christian Covington and Kyzir White). Penalty on Linval Joseph: Defensive Holding, 5 yards (accepted)",-1.070,-0.380
2,2:26,1,10,HOU 9,12,10,Davis Mills pass complete deep right to Phillip Dorsett for 36 yards (tackle by Asante Samuel),-0.380,1.930
2,2:00,1,10,HOU 45,12,10,Davis Mills pass complete short left to Pharaoh Brown for 6 yards (tackle by Kyzir White),1.930,2.190
2,1:32,2,4,LAC 49,12,10,Rex Burkhead right tackle for 3 yards (tackle by Alohi Gilman and Kyzir White),2.190,1.880
2,1:01,3,1,LAC 46,12,10,Rex Burkhead up the middle for 5 yards (tackle by Amen Ogbongbemiga),1.880,2.850
2,0:33,1,10,LAC 41,12,16,"Davis Mills pass complete deep right to Chris Conley for 41 yards, touchdown",2.850,7.000
2,0:27,,,LAC 15,12,17,Dominik Eberle kicks extra point good,0.000,0.000
2,0:27,,,HOU 35,12,17,"Dominik Eberle kicks off 58 yards, returned by Michael Bandy for 17 yards (tackle by Chris Moore and Grayland Arnold)",0.000,0.540
2,0:21,1,10,LAC 24,12,17,Justin Herbert scrambles up the middle for 4 yards (tackle by Neville Hewitt),0.540,0.540
Quarter,Time,Down,ToGo,Location,LAC,HOU,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,12,17,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,HOU 25,12,17,Rex Burkhead up the middle for 15 yards (tackle by Alohi Gilman),0.610,1.600
3,14:22,1,10,HOU 40,12,17,Rex Burkhead up the middle for 6 yards (tackle by Christian Covington),1.600,1.860
3,13:43,2,4,HOU 46,12,17,Rex Burkhead left tackle for 1 yard (tackle by Uchenna Nwosu),1.860,1.290
3,13:07,3,3,HOU 47,12,17,Davis Mills pass complete short middle to Chris Conley for 18 yards (tackle by Asante Samuel),1.290,3.250
3,12:23,1,10,LAC 35,12,17,Davis Mills pass incomplete short left intended for Pharaoh Brown,3.250,2.700
3,12:18,2,10,LAC 35,12,17,"Royce Freeman right tackle for no gain (tackle by Nick Niemann and Asante Samuel). Penalty on Jimmy Morrissey: Offensive Holding, 10 yards (accepted) (no play)",2.700,1.350
3,11:53,2,20,LAC 45,12,17,Davis Mills pass complete short right to Phillip Dorsett for 12 yards (tackle by Davontae Harris),1.350,2.280
3,11:16,3,8,LAC 33,12,17,Davis Mills pass incomplete short left intended for Phillip Dorsett,2.280,1.150
3,11:12,4,8,LAC 33,12,17,Dominik Eberle 52 yard field goal no good,1.150,-1.730
3,11:07,1,10,LAC 42,12,17,Justin Jackson left tackle for 13 yards (tackle by Justin Reid and Jonathan Owens),1.730,2.590
3,10:38,1,10,HOU 45,12,17,Justin Herbert pass incomplete deep right intended for Keenan Allen,2.590,2.040
3,10:31,2,10,HOU 45,12,17,Joshua Kelley left end for -1 yards (tackle by Michael Dwumfour and Neville Hewitt),2.040,1.220
3,10:11,3,11,HOU 46,12,17,Justin Herbert pass complete short left to Joshua Kelley for 14 yards (tackle by Desmond King),1.220,3.450
3,9:37,1,10,HOU 32,12,17,Justin Jackson up the middle for no gain (tackle by Jacob Martin and Tavierre Thomas),3.450,2.900
3,8:59,2,10,HOU 32,12,17,Justin Herbert pass complete short middle to Justin Jackson for 6 yards (tackle by Neville Hewitt),2.900,3.010
3,8:37,3,4,HOU 26,12,17,Justin Herbert pass complete short right to Tre' McKitty for 12 yards (tackle by Christian Kirksey),3.010,4.650
3,8:06,1,10,HOU 14,12,17,Justin Jackson left tackle for 2 yards (tackle by Michael Dwumfour),4.650,4.330
3,7:29,2,8,HOU 12,12,17,Justin Herbert sacked by and Michael Dwumfour for -8 yards and Chris Smith for -8 yards,4.330,2.610
3,6:46,3,16,HOU 20,12,17,"Penalty on Rashawn Slater: False Start, 5 yards (accepted) (no play)",2.610,1.950
3,6:26,3,21,HOU 25,12,17,Justin Herbert scrambles up the middle for 8 yards (tackle by Neville Hewitt),1.950,2.310
3,5:46,4,13,HOU 17,15,17,Dustin Hopkins 35 yard field goal good,2.310,3.000
3,5:42,,,LAC 35,15,17,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,5:42,1,10,HOU 25,15,17,Royce Freeman up the middle for 5 yards (tackle by Alohi Gilman),0.610,0.740
3,5:19,2,5,HOU 30,15,17,Davis Mills pass complete short left to Nico Collins for 9 yards (tackle by Davontae Harris),0.740,1.530
3,5:00,1,10,HOU 39,15,17,Royce Freeman left tackle for 2 yards (tackle by Jerry Tillery and Breiden Fehoko),1.530,1.260
3,4:26,2,8,HOU 41,15,17,Royce Freeman left tackle for 2 yards (tackle by Kyzir White and Kenneth Murray),1.260,0.830
3,3:42,3,6,HOU 43,15,17,Davis Mills pass complete short right to Brevin Jordan for 6 yards (tackle by Amen Ogbongbemiga),0.830,2.190
3,2:59,1,10,HOU 49,15,17,Davis Mills pass incomplete short left intended for Phillip Dorsett (defended by Asante Samuel),2.190,1.650
3,2:52,2,10,HOU 49,15,17,Rex Burkhead right tackle for 4 yards (tackle by Uchenna Nwosu and Davontae Harris),1.650,1.490
3,2:09,3,6,LAC 47,15,17,Davis Mills pass complete short left to Brevin Jordan for 27 yards (tackle by Alohi Gilman),1.490,4.240
3,1:25,1,10,LAC 20,15,17,"Davis Mills pass incomplete short left intended for Rex Burkhead. Penalty on Kenneth Murray: Defensive Holding, 5 yards (accepted) (no play)",4.240,4.580
3,1:21,1,10,LAC 15,15,17,Tremon Smith right end for 7 yards (tackle by Kyzir White),4.580,5.220
3,0:39,2,3,LAC 8,15,17,Rex Burkhead up the middle for 4 yards (tackle by Breiden Fehoko and Christian Covington),5.220,6.280
Quarter,Time,Down,ToGo,Location,LAC,HOU,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,4,LAC 4,15,17,Rex Burkhead up the middle for 2 yards (tackle by Christian Covington),6.280,5.720
4,14:25,2,2,LAC 2,15,17,Rex Burkhead up the middle for 1 yard (tackle by Christian Covington and Linval Joseph),5.720,5.170
4,13:40,3,1,LAC 1,15,23,"Rex Burkhead right tackle for 1 yard, touchdown",5.170,7.000
4,13:37,,,LAC 15,15,24,Dominik Eberle kicks extra point good,0.000,0.000
4,13:37,,,HOU 35,15,24,"Dominik Eberle kicks off 60 yards, returned by Michael Bandy for 27 yards (tackle by Terrence Brooks and Connor Strachan)",0.000,1.070
4,13:32,1,10,LAC 32,15,24,Justin Herbert pass complete short right to Jared Cook for 17 yards (tackle by Neville Hewitt),1.070,2.190
4,12:56,1,10,LAC 49,15,24,"Justin Jackson up the middle for 1 yard. Justin Jackson fumbles (forced by DeMarcus Walker), recovered by Jonathan Owens at HOU-47 and returned for 6 yards (tackle by Stephen Anderson)",2.190,-2.460
4,12:48,1,10,LAC 47,15,24,Davis Mills pass complete short middle to Chris Moore for -1 yards (tackle by Nasir Adderley),2.460,1.780
4,12:06,2,11,LAC 48,15,24,Royce Freeman right guard for 2 yards (tackle by Breiden Fehoko),1.780,1.350
4,11:31,3,9,LAC 46,15,24,"Davis Mills pass complete short right to Brevin Jordan for 12 yards (tackle by Asante Samuel). Penalty on Asante Samuel: Defensive Pass Interference, 15 yards (declined)",1.350,3.310
4,11:08,1,10,LAC 34,15,24,Davis Mills pass complete deep right to Chris Moore for 23 yards (tackle by Essang Bassey),3.310,4.840
4,10:28,1,10,LAC 11,15,24,Royce Freeman right guard for 1 yard (tackle by Uchenna Nwosu and Forrest Merrill),4.840,4.320
4,9:42,2,9,LAC 10,15,24,Rex Burkhead right guard for 3 yards (tackle by Breiden Fehoko),4.320,3.980
4,9:01,3,6,LAC 7,15,24,Davis Mills pass incomplete short left intended for Jordan Akins,3.980,2.980
4,8:57,4,6,LAC 7,15,27,Dominik Eberle 25 yard field goal good,2.980,3.000
4,8:54,,,HOU 35,15,27,"Dominik Eberle kicks off 65 yards, touchback.",0.000,0.610
4,8:54,1,10,LAC 25,15,27,Justin Herbert pass complete short left to Justin Jackson for 11 yards (tackle by Neville Hewitt),0.610,1.330
4,8:33,1,10,LAC 36,15,27,Justin Herbert pass complete short middle to Justin Jackson for 9 yards (tackle by Neville Hewitt),1.330,2.010
4,8:14,2,1,LAC 45,15,27,Justin Herbert pass complete short middle to Justin Jackson for 17 yards (tackle by Neville Hewitt),2.010,3.050
4,7:53,1,10,HOU 38,15,27,Justin Jackson left guard for 7 yards (tackle by Neville Hewitt and Tavierre Thomas),3.050,3.450
4,7:29,2,3,HOU 31,15,27,Justin Herbert pass complete short right to Stephen Anderson for 7 yards (tackle by Tavierre Thomas),3.450,3.970
4,6:58,1,10,HOU 24,15,27,"Justin Herbert scrambles up the middle for 1 yard (tackle by Chris Smith). Penalty on Ron'Dell Carter: Illegal Use of Hands / Defense, 5 yards (accepted)",3.970,4.370
4,6:51,1,10,HOU 18,15,27,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by Justin Reid),4.370,5.010
4,6:20,2,3,HOU 11,15,27,Justin Herbert scrambles right end for 2 yards (tackle by Tavierre Thomas),5.010,4.740
4,5:52,3,1,HOU 9,21,27,"Justin Jackson right guard for 9 yards, touchdown",4.740,7.000
4,5:50,,,HOU 2,23,27,Two Point Attempt: Justin Herbert pass complete to to Jared Cook for no gain,1.000,1.000
4,5:50,,,LAC 35,23,27,"Dustin Hopkins kicks off 37 yards, returned by Jaylen Samuels for no gain",0.000,0.810
4,5:49,1,10,HOU 28,23,27,Rex Burkhead right guard for 3 yards (tackle by Linval Joseph and Christian Covington),0.810,0.670
4,5:06,2,7,HOU 31,23,27,Davis Mills pass complete short right to Pharaoh Brown for 4 yards (tackle by Kyzir White),0.670,0.500
4,4:21,,,,,,Timeout #1 by Los Angeles Chargers,,
4,4:21,3,3,HOU 35,23,27,Rex Burkhead left guard for 4 yards (tackle by Jerry Tillery),0.500,1.530
4,3:38,1,10,HOU 39,23,27,Rex Burkhead right guard for 36 yards (tackle by Nasir Adderley),1.530,3.910
4,3:26,,,,,,Timeout #2 by Los Angeles Chargers,,
4,3:26,1,10,LAC 25,23,27,Royce Freeman up the middle for -2 yards (tackle by Amen Ogbongbemiga and Kyzir White),3.910,3.090
4,3:22,,,,,,Timeout #3 by Los Angeles Chargers,,
4,3:22,2,12,LAC 27,23,27,Rex Burkhead right end for 14 yards (tackle by Amen Ogbongbemiga),3.090,4.710
4,2:36,1,10,LAC 13,23,33,"Davis Mills pass complete short right to Nico Collins for 13 yards, touchdown",4.710,7.000
4,2:32,,,LAC 15,23,34,Dominik Eberle kicks extra point good,0.000,0.000
4,2:32,,,HOU 35,23,34,"Dominik Eberle kicks off 60 yards, returned by Michael Bandy for 21 yards (tackle by Desmond King)",0.000,0.670
4,2:27,1,10,LAC 26,23,34,Justin Herbert pass complete short right to Josh Palmer for 6 yards (tackle by Christian Kirksey and Tremon Smith),0.670,0.940
4,2:07,2,4,LAC 32,23,34,Justin Herbert pass incomplete short left intended for Justin Jackson,0.940,0.230
4,2:04,3,4,LAC 32,23,34,Justin Herbert pass complete short left to Keenan Allen for 6 yards (tackle by Desmond King),0.230,1.470
4,1:59,1,10,LAC 38,23,40,"Justin Herbert pass short right intended for Jared Cook is intercepted by Tavierre Thomas at LAC-48 and returned for 48 yards, touchdown",1.470,-7.000
4,1:49,,,LAC 15,23,41,Dominik Eberle kicks extra point good,0.000,0.000
4,1:49,,,HOU 35,23,41,"Dominik Eberle kicks off 65 yards, touchback.",0.000,0.610
4,1:49,1,10,LAC 25,23,41,Justin Herbert pass complete deep left to Jason Moore for 24 yards (tackle by Desmond King),0.610,2.190
4,1:28,1,10,LAC 49,23,41,Justin Herbert pass complete short left to Justin Jackson for 13 yards (tackle by Christian Kirksey),2.190,3.050
4,1:09,1,10,HOU 38,23,41,Justin Herbert pass complete short left to Justin Jackson for 8 yards (tackle by Desmond King),3.050,3.590
4,1:03,2,2,HOU 30,23,41,Justin Herbert pass complete deep middle to Stephen Anderson for 27 yards (tackle by Desmond King),3.590,6.510
4,0:44,1,3,HOU 3,23,41,Justin Herbert pass incomplete short right,6.510,5.530
4,0:38,2,3,HOU 3,29,41,"Justin Herbert pass complete short middle to Josh Palmer for 3 yards, touchdown",5.530,7.000
4,0:34,,,HOU 2,29,41,Two Point Attempt: Justin Herbert pass incomplete intended for intended for Joshua Kelley,1.000,-1.000
4,0:34,,,LAC 35,29,41,"Dustin Hopkins kicks onside 14 yards, returned by Tremon Smith for no gain",0.000,2.320
4,0:33,1,10,LAC 49,29,41,Davis Mills kneels for -1 yards,2.320,1.650
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
