Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Budda Baker,ARI,0,5,3,60.0%,69,23.0,13.8,1,143.7,7.4,37,32,1,0,0,0.0,0,10,3,23.1%
Starling Thomas,ARI,0,4,3,75.0%,54,18.0,13.5,0,116.7,22.5,49,5,0,0,0,0.0,0,3,0,0.0%
Sean Murphy-Bunting,ARI,0,4,3,75.0%,23,7.7,5.8,0,88.5,5.0,14,9,0,0,0,0.0,0,5,0,0.0%
Owen Pappoe,ARI,0,3,2,66.7%,15,7.5,5.0,0,78.5,-1.3,-4,19,0,1,0,0.0,1,4,0,0.0%
Kei'Trel Clark,ARI,0,1,1,100.0%,12,12.0,12.0,0,116.7,6.0,6,6,0,0,0,1.0,1,3,0,0.0%
Kyzir White,ARI,0,3,1,33.3%,35,35.0,11.7,0,78.5,3.3,7,28,1,0,1,0.0,1,11,0,0.0%
Zaven Collins,ARI,0,1,1,100.0%,3,3.0,3.0,0,79.2,-6.0,-6,9,2,0,0,0.0,0,9,0,0.0%
Mack Wilson,ARI,0,1,1,100.0%,12,12.0,12.0,0,116.7,1.0,1,11,1,0,0,0.0,0,9,0,0.0%
Garrett Williams,ARI,0,2,1,50.0%,14,14.0,7.0,0,72.9,-1.0,2,12,0,0,0,0.0,0,3,0,0.0%
Max Melton,ARI,0,1,1,100.0%,19,19.0,19.0,0,118.7,8.0,8,11,0,0,0,0.0,0,2,1,33.3%
Jalen Thompson,ARI,0,1,1,100.0%,11,11.0,11.0,1,152.1,11.0,11,0,1,0,0,0.0,0,6,0,0.0%
Roy Lopez,ARI,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%
Dennis Gardeck,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Xavier Thomas,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Terrel Bernard,BUF,0,6,5,83.3%,32,6.4,5.3,0,88.9,1.5,15,17,1,0,0,0.0,0,11,1,8.3%
Cameron Lewis,BUF,0,8,5,62.5%,33,6.6,4.1,0,71.4,7.4,21,12,4,0,0,0.0,0,10,1,9.1%
Dorian Williams,BUF,0,5,4,80.0%,46,11.5,9.2,0,105.0,2.8,14,32,2,0,0,0.0,0,9,2,18.2%
Rasul Douglas,BUF,0,4,2,50.0%,8,4.0,2.0,0,56.2,4.3,2,6,1,0,0,0.0,0,2,1,33.3%
Ja'Marcus Ingram,BUF,0,3,2,66.7%,38,19.0,12.7,0,109.7,12.0,9,29,0,0,0,0.0,0,2,0,0.0%
Christian Benford,BUF,0,3,1,33.3%,19,19.0,6.3,1,95.8,8.7,14,5,0,0,0,0.0,0,3,0,0.0%
Taron Johnson,BUF,0,1,1,100.0%,8,8.0,8.0,0,100.0,6.0,6,2,0,0,0,0.0,0,1,0,0.0%
Damar Hamlin,BUF,0,3,1,33.3%,12,12.0,4.0,0,46.5,9.3,3,9,1,0,0,0.0,0,4,0,0.0%
Gregory Rousseau,BUF,0,2,0,0.0%,2,,1.0,0,39.6,0.0,-3,5,0,1,0,3.0,4,6,0,0.0%
Von Miller,BUF,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%
A.J. Epenesa,BUF,0,0,0,,,,,,,,,,0,1,1,0.0,2,1,0,0.0%
DaQuan Jones,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Austin Johnson,BUF,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
Taylor Rapp,BUF,0,2,0,0.0%,8,,4.0,0,43.7,13.5,6,2,1,0,0,0.0,0,5,0,0.0%
Kaiir Elam,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
