Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Derwin James,LAC,0,5,5,100.0%,24,4.8,4.8,0,86.7,-2.2,-11,35,1,0,0,0.0,0,6,1,14.3%
Daiyan Henley,LAC,0,4,3,75.0%,16,5.3,4.0,0,81.2,3.3,1,15,2,0,0,0.0,0,9,0,0.0%
Elijah Molden,LAC,1,4,3,75.0%,19,6.3,4.8,0,44.8,4.3,17,2,0,0,0,0.0,0,7,0,0.0%
Ja'Sir Taylor,LAC,0,2,2,100.0%,12,6.0,6.0,0,91.7,4.5,9,3,1,0,0,0.0,0,5,0,0.0%
Denzel Perryman,LAC,0,1,1,100.0%,1,1.0,1.0,0,79.2,1.0,1,0,2,0,0,1.0,1,8,0,0.0%
Kristian Fulton,LAC,0,3,1,33.3%,-2,-2.0,-0.7,0,42.4,5.3,-2,0,0,0,0,0.0,0,1,0,0.0%
Cam Hart,LAC,0,1,1,100.0%,1,1.0,1.0,0,79.2,0.0,0,1,0,0,0,0.0,0,1,0,0.0%
Asante Samuel Jr.,LAC,0,2,1,50.0%,7,7.0,3.5,0,58.3,-1.5,5,2,0,0,0,0.0,0,1,1,50.0%
Deane Leonard,LAC,0,2,1,50.0%,6,6.0,3.0,0,56.2,4.5,2,4,0,0,0,0.0,0,3,0,0.0%
Joey Bosa,LAC,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
Junior Colson,LAC,0,1,0,0.0%,,,0.0,,39.6,12.0,,,1,0,0,0.0,0,1,0,0.0%
Bud Dupree,LAC,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
Troy Dye,LAC,0,1,0,0.0%,,,0.0,,39.6,-2.0,,,0,0,0,0.0,0,0,0,
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Shaq Thompson,CAR,0,3,3,100.0%,16,5.3,5.3,0,88.9,2.3,7,9,2,0,0,0.0,0,14,2,12.5%
Jadeveon Clowney,CAR,0,2,2,100.0%,30,15.0,15.0,0,118.7,4.5,9,21,0,0,0,0.0,0,6,0,0.0%
Eku Leota,CAR,0,2,2,100.0%,8,4.0,4.0,0,83.3,0.0,0,8,0,0,0,0.0,0,0,0,
Josey Jewell,CAR,0,3,2,66.7%,12,6.0,4.0,1,113.9,4.0,9,3,2,0,0,0.0,0,11,1,8.3%
Michael Jackson,CAR,0,4,2,50.0%,16,8.0,4.0,0,60.4,11.5,-1,17,0,0,0,0.0,0,3,0,0.0%
Jaycee Horn,CAR,1,4,2,50.0%,37,18.5,9.3,1,82.3,14.0,36,1,1,0,0,0.0,0,6,1,14.3%
Troy Hill,CAR,0,1,1,100.0%,11,11.0,11.0,0,112.5,6.0,6,5,2,0,0,0.0,0,4,0,0.0%
Jayden Peevy,CAR,0,0,0,,,,,,,,,,0,0,1,0.5,2,1,0,0.0%
DJ Johnson,CAR,0,0,0,,,,,,,,,,1,0,0,0.5,1,4,0,0.0%
Charles Harris,CAR,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,1,100.0%
Xavier Woods,CAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,6,1,14.3%
