Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Jake Luton,,,1,0,0.0%,,,0.0,,39.6,,,,0,0,0,,0,,0,
Kendre Miller,,,1,0,0.0%,,,0.0,,39.6,3.0,,,0,0,0,,0,,0,
John Ridgeway,,,0,0,,,,,,,,,,0,0,0,,0,,1,
Michael Jackson,CAR,0,7,5,71.4%,28,5.6,4.0,1,117.9,11.6,26,2,1,0,0,0.0,0,7,0,0.0%
Xavier Woods,CAR,0,5,4,80.0%,56,14.0,11.2,1,152.9,12.4,43,13,0,0,0,0.0,0,8,0,0.0%
Jordan Fuller,CAR,0,4,4,100.0%,46,11.5,11.5,0,114.6,-0.3,-1,47,0,0,0,0.0,0,7,1,12.5%
Shaq Thompson,CAR,0,2,2,100.0%,-1,-0.5,-0.5,0,79.2,-1.5,-3,2,2,0,0,0.0,0,10,1,9.1%
Josey Jewell,CAR,0,3,2,66.7%,35,17.5,11.7,0,106.2,9.7,21,14,0,0,0,0.0,0,7,1,12.5%
Troy Hill,CAR,0,2,2,100.0%,-1,-0.5,-0.5,0,79.2,-4.5,-9,8,0,0,0,0.0,0,4,1,20.0%
Jaycee Horn,CAR,0,1,1,100.0%,59,59.0,59.0,1,158.3,44.0,44,15,0,0,0,0.0,0,1,1,50.0%
Eku Leota,CAR,0,0,0,,,,,,,,,,3,0,0,1.0,1,4,0,0.0%
Jadeveon Clowney,CAR,0,0,0,,,,,,,,,,4,1,0,0.0,1,1,0,0.0%
A'Shawn Robinson,CAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,9,1,10.0%
Nick Scott,CAR,0,1,0,0.0%,,,0.0,,39.6,22.0,,,0,0,0,0.0,0,0,0,
Jamie Sheriff,CAR,0,0,0,,,,,,,,,,5,0,0,0.0,0,0,0,
Adam Thielen,CAR,0,1,0,0.0%,,,0.0,,39.6,33.0,,,0,0,0,0.0,0,0,0,
DJ Johnson,CAR,0,0,0,,,,,,,,,,6,0,0,0.0,0,2,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Paulson Adebo,NOR,0,12,6,50.0%,68,11.3,5.7,0,67.4,9.4,47,21,0,0,0,0.0,0,5,0,0.0%
Marshon Lattimore,NOR,0,4,3,75.0%,35,11.7,8.8,0,101.0,11.3,29,6,0,0,0,0.0,0,2,0,0.0%
Alontae Taylor,NOR,0,3,1,33.3%,32,32.0,10.7,0,74.3,21.0,18,14,4,0,0,3.0,3,6,0,0.0%
Kool-Aid McKinstry,NOR,0,3,1,33.3%,5,5.0,1.7,0,42.4,9.0,5,0,1,0,0,0.0,0,2,0,0.0%
Jordan Howden,NOR,1,1,1,100.0%,35,35.0,35.0,0,79.2,19.0,19,16,1,0,0,0.0,0,3,0,0.0%
Will Harris,NOR,1,2,1,50.0%,4,4.0,2.0,0,16.7,-0.5,-3,7,3,0,0,0.0,0,2,0,0.0%
Pete Werner,NOR,0,1,1,100.0%,14,14.0,14.0,0,118.7,14.0,14,0,4,0,0,0.0,0,2,1,33.3%
Carl Granderson,NOR,0,0,0,,,,,,,,,,1,3,0,0.0,3,3,1,25.0%
Payton Turner,NOR,0,0,0,,,,,,,,,,0,2,0,0.0,2,0,0,
Chase Young,NOR,0,0,0,,,,,,,,,,0,0,2,0.0,2,0,0,
Cameron Jordan,NOR,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
Willie Gay Jr.,NOR,0,0,0,,,,,,,,,,2,1,0,0.0,1,2,0,0.0%
Demario Davis,NOR,0,1,0,0.0%,,,0.0,,39.6,11.0,,,4,0,0,1.0,1,4,0,0.0%
Tyrann Mathieu,NOR,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,1,20.0%
Khaleke Hudson,NOR,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Rico Payton,NOR,0,2,0,0.0%,,,0.0,,39.6,23.0,,,0,0,0,0.0,0,0,0,
J.T. Gray,NOR,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%
Isaiah Foskey,NOR,0,0,0,,,,,,,,,,2,0,0,0.0,0,4,0,0.0%
