Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Kyle Hamilton,BAL,0,7,5,71.4%,62,12.4,8.9,0,98.5,6.6,36,26,4,0,1,0.0,1,12,1,7.7%
Roquan Smith,BAL,0,9,5,55.6%,80,16.0,8.9,1,122.5,6.4,43,37,4,1,0,0.0,1,11,0,0.0%
Nate Wiggins,BAL,0,5,4,80.0%,82,20.5,16.4,0,118.7,14.8,52,30,0,0,0,0.0,0,2,1,33.3%
Brandon Stephens,BAL,0,8,4,50.0%,41,10.3,5.1,0,65.1,18.3,38,3,0,0,0,0.0,0,5,0,0.0%
Marcus Williams,BAL,0,5,3,60.0%,64,21.3,12.8,0,104.2,10.6,41,23,0,0,0,0.0,0,4,2,33.3%
Marlon Humphrey,BAL,0,4,2,50.0%,18,9.0,4.5,0,62.5,6.3,7,11,2,0,1,0.0,1,1,0,0.0%
Ar'Darius Washington,BAL,0,6,2,33.3%,22,11.0,3.7,1,84.7,9.3,22,0,2,0,0,0.0,0,2,0,0.0%
Trenton Simpson,BAL,0,3,2,66.7%,10,5.0,3.3,0,71.5,3.7,6,4,6,0,0,0.0,0,4,0,0.0%
Kyle Van Noy,BAL,0,0,0,,,,,,,,,,2,1,0,2.0,3,2,0,0.0%
Nnamdi Madubuike,BAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
Odafe Oweh,BAL,0,0,0,,,,,,,,,,1,0,1,0.0,1,0,0,
Michael Pierce,BAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
Eddie Jackson,BAL,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,2,1,33.3%
David Ojabo,BAL,0,1,0,0.0%,,,0.0,,39.6,-1.0,,,0,0,0,0.0,0,1,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Donovan Wilson,DAL,0,4,4,100.0%,42,10.5,10.5,1,150.0,5.0,20,22,2,0,0,0.0,0,6,1,14.3%
Trevon Diggs,DAL,0,3,3,100.0%,40,13.3,13.3,0,118.7,3.0,9,31,0,0,0,0.0,0,6,2,25.0%
Caelen Carson,DAL,0,4,3,75.0%,63,21.0,15.8,0,116.7,3.3,5,58,0,0,0,0.0,0,7,3,30.0%
DeMarvion Overshown,DAL,0,2,1,50.0%,7,7.0,3.5,0,58.3,3.5,-4,11,0,0,0,0.0,0,6,1,14.3%
Malik Hooker,DAL,0,1,1,100.0%,30,30.0,30.0,0,118.7,1.0,1,29,0,0,0,0.0,0,5,0,0.0%
Micah Parsons,DAL,0,0,0,,,,,,,,,,1,1,1,0.0,2,5,2,28.6%
Marist Liufau,DAL,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Jourdan Lewis,DAL,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
Eric Kendricks,DAL,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,2,0,0,0.0,0,12,0,0.0%
