Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jaire Alexander,GNB,1,17,0,17,2,0.0,4,4,0,0,0,0,0,0,0
Xavier McKinney,GNB,1,17,0,17,1,0.0,4,3,1,0,0,0,0,0,0
Keisean Nixon,GNB,0,0,0,0,1,1.0,7,6,1,2,2,0,0,0,0
Rashan Gary,GNB,0,0,0,0,1,1.0,3,1,2,1,2,0,0,0,0
Javon Bullard,GNB,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
Quay Walker,GNB,0,0,0,0,0,0.0,11,7,4,1,0,0,0,0,0
Isaiah McDuffie,GNB,0,0,0,0,0,0.0,6,3,3,0,1,0,0,0,0
Tedarrell Slaton,GNB,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Karl Brooks,GNB,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Edgerrin Cooper,GNB,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Eric Wilson,GNB,0,0,0,0,0,0.0,4,3,1,2,0,0,0,0,0
Kenny Clark,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Preston Smith,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Eric Stokes,GNB,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Lukas Van Ness,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Zayne Anderson,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devonte Wyatt,GNB,0,0,0,0,0,0.0,1,1,0,1,0,1,0,0,0
Bo Melton,GNB,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Reed Blankenship,PHI,1,1,0,1,1,0.0,8,4,4,0,0,0,0,0,0
Zack Baun,PHI,0,0,0,0,0,2.0,15,11,4,1,2,0,0,0,0
C.J. Gardner-Johnson,PHI,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Quinyon Mitchell,PHI,0,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0
Nakobe Dean,PHI,0,0,0,0,1,0.0,4,4,0,2,0,0,0,0,0
Jalen Carter,PHI,0,0,0,0,0,0.0,3,0,3,0,1,0,0,0,0
Avonte Maddox,PHI,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Darius Slay,PHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,1
Nolan Smith,PHI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Thomas Booker,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Brandon Graham,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Bryce Huff,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Will Shipley,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Josh Sweat,PHI,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
Milton Williams,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Saquon Barkley,PHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Moro Ojomo,PHI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
